time/iterations,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_fraction,train/entropy_loss,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/std,train/clip_range,train/explained_variance,train/loss,train/learning_rate,train/value_loss
1,32768,572,57,301.0,-216.02522,,,,,,,,,,,
2,65536,437,149,164.31,-1704.566,0.9977081298828125,-6.066967405565083,270.6151,10,0.31715785412125114,1.101045846939087,0.2,-0.0009120702743530273,44.146461486816406,0.01,103.12250356525183
3,98304,399,246,176.98,-5344.3564,0.955767822265625,-6.1845894902944565,153.48056,20,0.26218819039395386,1.138771891593933,0.2,0.0,39013.921875,0.01,45693.69433822632
4,131072,381,343,301.0,-521.17676,0.9480682373046875,-6.190270983241499,511.8086,30,0.19865810260871514,1.1418673992156982,0.2,0.0,639833.0625,0.01,1503119.8750976562
5,163840,370,442,188.75,-3337.2068,0.9892364501953125,-6.692629545740783,293.6611,40,0.20912444812893227,1.3416552543640137,0.2,5.960464477539063e-08,3850.81884765625,0.01,6807.972228813172
6,196608,363,540,176.92,-5099.6206,0.994708251953125,-6.669289042428136,403.93646,50,0.18987428413147428,1.335230827331543,0.2,0.0,369357.75,0.01,568095.2366287231
7,229376,358,639,185.6,-5832.088,0.99718017578125,-6.481957935541868,137.44232,60,0.21688245966106479,1.271065592765808,0.2,-1.1920928955078125e-07,785936.4375,0.01,1469070.0024414062
8,262144,354,739,139.77,-4196.9717,0.997552490234375,-7.275086384639144,252.02408,70,0.20363087723089848,1.5460500717163086,0.2,0.0,1142284.375,0.01,2130685.5680786134
9,294912,351,839,177.64,-5093.9316,0.9995513916015625,-7.275212080590427,387.28784,80,0.21066255631776584,1.5146591663360596,0.2,0.0,981883.375,0.01,1454039.7477905273
10,327680,349,938,144.27,-4335.2446,0.999395751953125,-7.5972754752263425,301.5799,90,0.20955509491250268,1.7139184474945068,0.2,0.0,177257.078125,0.01,1333078.4116333008
11,360448,347,1037,157.0,-2776.654,0.9994293212890625,-7.433467984944582,1436.7493,100,0.20839135025853467,1.7813613414764404,0.2,0.0,646793.6875,0.01,1396516.2604003907
12,393216,346,1136,139.88,-5985.6733,0.9992767333984375,-7.79955871924758,614.71136,110,0.17902301202375384,1.987438440322876,0.2,0.0,181589.65625,0.01,371825.95630493166
13,425984,344,1236,139.85,-5965.4805,0.9956329345703125,-8.294380938075482,117.02969,120,0.22777752009824326,2.2891411781311035,0.2,0.0,1162837.375,0.01,2110748.4115478517
14,458752,337,1358,139.85,-5985.5713,0.998333740234375,-8.223619542643428,71.032036,130,0.23169844714502688,2.1708297729492188,0.2,-2.384185791015625e-07,1272748.875,0.01,2217154.8916015625
15,491520,337,1457,139.87,-6158.616,0.9976531982421875,-8.310073393955827,208.92691,140,0.2288626599984127,2.202388286590576,0.2,0.0,741066.5625,0.01,2113015.3783935546
16,524288,336,1556,157.13,-2779.02,0.9994476318359375,-8.5551866941154,278.34763,150,0.2251969974102394,2.200308322906494,0.2,0.0,1175326.25,0.01,2030574.297302246
17,557056,333,1668,157.0,-2847.778,0.9959716796875,-8.93639298416674,55.900272,160,0.17241513638691686,2.405324697494507,0.2,0.0,224558.359375,0.01,435560.611138916
18,589824,334,1765,159.71,-2867.9978,0.9886993408203125,-10.570973033457994,23.564722,170,0.17244374373640312,3.573444128036499,0.2,0.0,209171.25,0.01,353058.0749435425
19,622592,333,1869,157.0,-2703.9048,0.9941802978515625,-11.316236659884453,101.15733,180,0.17859669728713926,4.514538764953613,0.2,0.0,152811.078125,0.01,379748.1942108154
20,655360,332,1969,157.0,-2692.3792,0.997442626953125,-11.82387531735003,43.834892,190,0.17946712946795743,4.822126388549805,0.2,5.960464477539063e-08,197396.734375,0.01,369647.2393661499
21,688128,329,2085,208.58,-8735.756,0.9983795166015625,-12.007463700324298,79.43857,200,0.18156602550407114,5.143010139465332,0.2,0.0,129859.7421875,0.01,369767.1864517212
22,720896,327,2200,301.0,-1604.3124,0.9918487548828125,-12.058562251552939,85.096794,210,0.2029348824718909,5.253820419311523,0.2,0.0,1956784.875,0.01,2922504.841418457
