time/total_timesteps,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/entropy_loss,train/loss,train/value_loss,train/learning_rate,train/std,train/n_updates,train/approx_kl,train/explained_variance,train/clip_fraction,train/clip_range,eval/mean_reward,eval/mean_ep_length
32768,1,297.5612244897959,208,156,979.7455,,,,,,,,,,,,,
65536,2,298.46,189,345,1038.5981,-0.0005449950974025341,-2.4620095916092395,7270.59765625,23745.808222961427,1e-05,0.44947510957717896,2470,0.0018835614,0.5927519500255585,0.0031158447265625,0.2,,
98304,3,298.86,184,533,1080.225,-0.0007142202456179803,-2.4615857099182903,13640.193359375,24124.253973388673,1e-05,0.4493896961212158,2480,0.0029154196,0.6234304308891296,0.0064544677734375,0.2,,
131072,4,301.0,181,721,1285.0417,-0.0004412864079768042,-2.4610634171403944,9580.9189453125,25497.717512893676,1e-05,0.4493621289730072,2490,0.0027400088,0.63327956199646,0.0069732666015625,0.2,,
163840,5,298.34,179,911,1246.7751,-0.0008295239359995321,-2.46062689954415,5566.9853515625,25647.07662410736,1e-05,0.449289470911026,2500,0.0036829028,0.6760274469852448,0.015386962890625,0.2,,
196608,6,299.6,178,1099,1169.6749,0.0001610735494068649,-2.4600562791340055,17636.005859375,25180.90726661682,1e-05,0.4492291212081909,2510,0.0029300833,0.6730124652385712,0.009027099609375,0.2,,
229376,7,299.66,178,1287,1260.7756,-0.00042554563196972595,-2.459733121283352,10205.4609375,25887.160446166992,1e-05,0.44921767711639404,2520,0.0025845447,0.692428320646286,0.0072662353515625,0.2,,
262144,8,301.0,177,1476,1118.1637,-0.0008839046632147074,-2.460017102584243,12519.001953125,26116.22229423523,1e-05,0.4492836594581604,2530,0.0021786147,0.683493971824646,0.0042755126953125,0.2,,
294912,9,301.0,177,1664,993.5598,-3.415711371417274e-05,-2.46037487545982,15946.6279296875,24244.033404922484,1e-05,0.44929373264312744,2540,0.0028857887,0.7014383971691132,0.0081024169921875,0.2,,
327680,10,298.93,176,1853,916.36334,-0.0002481680790879182,-2.4604038463905455,4797.8720703125,24515.016927146913,1e-05,0.4492875933647156,2550,0.0024330893,0.6876634955406189,0.0068084716796875,0.2,,
360448,11,295.87,176,2042,955.7497,-0.0004371700627871178,-2.460107097309083,7338.6708984375,24815.44789276123,1e-05,0.4492294192314148,2560,0.0027252855,0.6881909370422363,0.006048583984375,0.2,,
393216,12,301.0,176,2230,1040.0219,-0.000318891484357664,-2.4598947883583606,11067.7001953125,24085.88430557251,1e-05,0.4492339789867401,2570,0.0028294586,0.6941029131412506,0.0074462890625,0.2,,
425984,13,298.88,176,2419,966.3615,-0.0006360686802054261,-2.45997196175158,6905.06201171875,22588.643629455568,1e-05,0.44924867153167725,2580,0.0028844457,0.695867270231247,0.0079132080078125,0.2,,
458752,14,299.32,175,2607,1071.8584,9.314869116678892e-05,-2.4598580937832595,6353.05615234375,19997.871710586547,1e-05,0.44920140504837036,2590,0.003583306,0.7248864471912384,0.0172393798828125,0.2,,
491520,15,301.0,175,2796,1254.8315,-0.00048049944239210164,-2.4595385547727346,9890.4248046875,25604.628081703187,1e-05,0.4491780698299408,2600,0.0023642182,0.6756670475006104,0.0042205810546875,0.2,,
524288,16,296.68,175,2985,1171.729,8.787898132140981e-05,-2.4591390064917507,5546.69140625,24298.451550865175,1e-05,0.44911566376686096,2610,0.002455493,0.7084980010986328,0.0063232421875,0.2,,
557056,17,301.0,175,3173,1270.878,-0.0004090420028660446,-2.458742597140372,7263.220703125,27238.623237991334,1e-05,0.44908422231674194,2620,0.0036325606,0.665482372045517,0.0115631103515625,0.2,,
589824,18,299.22,175,3363,1097.768,-0.00016345815561180643,-2.458346447441727,10494.2451171875,25479.380310821532,1e-05,0.4490295648574829,2630,0.0032171698,0.6823807060718536,0.010040283203125,0.2,,
