rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/std,train/entropy_loss,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/n_updates,train/explained_variance,train/clip_range,train/loss,train/approx_kl
923.19,272,1,6382.348,30,622592,,,,,,,,,,,
900.25,238,2,6038.69,68,630784,0.3834810256958008,-1.833901952765882,0.0003,12682.52657546997,-0.000832577291657799,0.0740478515625,3230,0.6530394554138184,0.2,2025.775634765625,0.007847584
876.09,225,3,5675.7017,108,638976,0.38315194845199585,-1.8313681406900286,0.0003,16937.71573219299,-0.0017064199844753602,0.10406494140625,3240,0.44381678104400635,0.2,4663.341796875,0.009123351
863.92,217,4,6131.504,150,647168,0.3830241560935974,-1.8288929861038923,0.0003,17090.819521713256,0.0005459067797346506,0.078076171875,3250,0.4999191164970398,0.2,4214.224609375,0.008419149
843.49,213,5,6052.6733,191,655360,0.38302910327911377,-1.8282391127198934,0.0003,14158.998136138916,-2.46628931563464e-05,0.08546142578125,3260,0.48946380615234375,0.2,1735.3231201171875,0.008692624
839.72,209,6,6058.822,234,663552,0.38272207975387573,-1.826754741743207,0.0003,15676.118514633179,-0.0023666543140279826,0.0959228515625,3270,0.4962642788887024,0.2,3488.82666015625,0.008432627
823.36,206,7,6066.425,277,671744,0.3825339078903198,-1.824079678580165,0.0003,12652.296862983703,0.00023089297974365763,0.09178466796875,3280,0.5168583989143372,0.2,1490.4241943359375,0.009255692
830.06,203,8,6401.585,321,679936,0.38199442625045776,-1.8207641780376433,0.0003,7883.787192726135,-0.0017966070783586475,0.08734130859375,3290,0.650529533624649,0.2,778.5789794921875,0.0077058543
806.77,202,9,6060.0977,363,688128,0.3820454776287079,-1.8176217369735241,0.0003,16077.448966217042,-0.002033593320084037,0.09459228515625,3300,0.5914210379123688,0.2,2472.290283203125,0.008707149
823.74,201,10,6211.1167,405,696320,0.3819471001625061,-1.8173506151884795,0.0003,17331.64387626648,9.813103752094321e-05,0.0904296875,3310,0.34477144479751587,0.2,3177.204833984375,0.008384855
805.74,200,11,6206.556,449,704512,0.3822064995765686,-1.818128046579659,0.0003,12564.720891571045,0.000926369470107602,0.07822265625,3320,0.44460242986679077,0.2,1475.683837890625,0.007196972
828.61,198,12,6476.254,494,712704,0.38189172744750977,-1.818008630350232,0.0003,16179.906153106689,-0.0011090905318269506,0.07718505859375,3330,0.5016285479068756,0.2,2580.66455078125,0.008123245
848.44,198,13,6668.5557,537,720896,0.38191965222358704,-1.8163046335801483,0.0003,10906.284572792054,-0.00045616866991622375,0.10030517578125,3340,0.6651785671710968,0.2,2983.224365234375,0.00880813
843.93,197,14,6615.1377,580,729088,0.381774365901947,-1.8160117404535412,0.0003,14012.82114830017,-0.0010172548227274092,0.080078125,3350,0.4816443920135498,0.2,3089.04736328125,0.0073527074
851.69,197,15,6627.1924,622,737280,0.3817238509654999,-1.814822899736464,0.0003,18120.08578491211,-0.0012700731214863481,0.08079833984375,3360,0.5359916388988495,0.2,7793.21923828125,0.0077718054
870.4,197,16,6832.8687,664,745472,0.3815537691116333,-1.8139150561764836,0.0003,15950.297555160523,-0.002113789583017933,0.05880126953125,3370,0.3947361707687378,0.2,3956.501953125,0.007319183
865.46,196,17,6754.264,707,753664,0.3817608058452606,-1.8139421489089727,0.0003,13549.089875411988,-0.00013271944553707726,0.07132568359375,3380,0.49284088611602783,0.2,2841.031005859375,0.0075418395
824.4,196,18,6237.9556,749,761856,0.3817467987537384,-1.8151269374415278,0.0003,13064.588818740845,-0.00012641632165468763,0.082861328125,3390,0.4040495753288269,0.2,2644.33642578125,0.008273872
848.77,196,19,6636.497,792,770048,0.38172000646591187,-1.8151307333260776,0.0003,13043.386246490478,-0.0016122050456033321,0.09119873046875,3400,0.5302178859710693,0.2,4383.30224609375,0.008846121
835.25,195,20,6518.7275,836,778240,0.3817714750766754,-1.8151062693446876,0.0003,12482.70213508606,-0.0021839381151949055,0.08717041015625,3410,0.5650270879268646,0.2,2185.352783203125,0.008278068
840.63,195,21,6500.926,878,786432,0.3816486597061157,-1.814970619417727,0.0003,12208.908915328979,-0.0012065703402186045,0.093994140625,3420,0.486325740814209,0.2,2345.289794921875,0.008257242
824.44,195,22,6337.507,920,794624,0.381570965051651,-1.8140029216185212,0.0003,12373.162224578857,-0.003291097272085608,0.10606689453125,3430,0.34636539220809937,0.2,3731.73193359375,0.00995755
801.47,195,23,6098.2207,961,802816,0.38179099559783936,-1.8144257286563517,0.0003,12556.293730163574,-0.0017023384709318635,0.084228515625,3440,0.534012496471405,0.2,1944.5399169921875,0.009134952
818.35,195,24,6307.446,1004,811008,0.38181018829345703,-1.8159361075609923,0.0003,13085.272928237915,-0.0006483776076493086,0.06971435546875,3450,0.49918490648269653,0.2,1962.6436767578125,0.007136059
830.84,195,25,6593.607,1046,819200,0.38178443908691406,-1.8159436438232661,0.0003,12685.572952270508,-0.0005050548574217828,0.078076171875,3460,0.6649116277694702,0.2,2266.001708984375,0.008276408
