rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/std,train/clip_fraction,train/explained_variance,train/clip_range,train/learning_rate,train/loss,train/approx_kl,train/value_loss,train/n_updates,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
867.6,32768,1,341,95,2153.703,,,,,,,,,,,,,
899.0909090909091,65536,2,341,192,2358.5347,0.002059289764292771,0.39453786611557007,0.10264892578125,0.03888207674026489,0.2,0.0001,11140.0390625,0.011975125,38541.17178955078,2480,-1.9471375973895193,,
926.989247311828,98304,3,339,289,3008.167,0.0006027980627550278,0.3945000171661377,0.0489288330078125,0.1314716339111328,0.2,0.0001,11565.3212890625,0.006805693,42294.194107055664,2490,-1.9466601096093654,,
990.93,131072,4,338,387,3568.7097,5.090762824693229e-05,0.39436429738998413,0.05771484375,0.18921351432800293,0.2,0.0001,12627.1064453125,0.0075343437,38964.41602478027,2500,-1.9457680637016892,,
1025.45,163840,5,338,484,4184.146,0.0016738216458179523,0.39431971311569214,0.061102294921875,0.22454309463500977,0.2,0.0001,13366.6943359375,0.007716445,36140.87632751465,2510,-1.9448657901957631,,
1037.11,196608,6,337,583,4296.8823,0.0008707539627721417,0.3942732810974121,0.043310546875,0.273460328578949,0.2,0.0001,14463.5634765625,0.0060887877,38197.683822631836,2520,-1.9444198878481984,,
1013.23,229376,7,334,685,4193.2935,0.0012417183515935903,0.39420080184936523,0.061517333984375,0.2527095079421997,0.2,0.0001,10911.69140625,0.008307371,36482.56149749756,2530,-1.9438246758654714,,
1003.41,262144,8,331,790,4134.205,-0.0001865595353592653,0.3941477835178375,0.0398712158203125,0.254297137260437,0.2,0.0001,10795.474609375,0.0061485316,40828.775994873045,2540,-1.9431357756257057,,
980.74,294912,9,329,896,3857.4377,4.037602848256938e-05,0.3941095471382141,0.035107421875,0.2805973291397095,0.2,0.0001,12400.5361328125,0.0054998016,38236.322573852536,2550,-1.9426406579092146,,
1020.53,327680,10,309,1057,4337.9526,0.00027584350464167074,0.394076943397522,0.0471954345703125,0.3429454565048218,0.2,0.0001,11081.578125,0.0065616164,35730.42904052734,2560,-1.9422354616224766,,
1037.83,360448,11,307,1171,4787.627,0.00024073514905467163,0.3940107822418213,0.0413055419921875,0.2604100704193115,0.2,0.0001,10678.4052734375,0.0057655154,34365.81043243408,2570,-1.9417272007092834,,
1075.42,393216,12,307,1276,5382.1787,-0.001030391312451684,0.39384758472442627,0.0384918212890625,0.3459034562110901,0.2,0.0001,16562.576171875,0.0056264633,34669.608799743655,2580,-1.9406219959259032,,
1092.59,425984,13,307,1385,5704.475,0.0004698344273492694,0.3938497304916382,0.0532928466796875,0.3367983102798462,0.2,0.0001,15018.6318359375,0.007097191,38261.64185180664,2590,-1.939758843742311,,
1097.59,458752,14,305,1503,5871.8066,-0.00021678141638403758,0.3937685489654541,0.0397308349609375,0.3140133023262024,0.2,0.0001,11382.087890625,0.00589915,85264.56030273438,2600,-1.939417569898069,,
1122.82,491520,15,305,1607,6104.017,0.0004238706242176704,0.39378196001052856,0.048394775390625,0.4738621115684509,0.2,0.0001,10729.41796875,0.006333218,34266.70635070801,2610,-1.9389903098344803,,
1178.32,524288,16,307,1706,6541.8105,0.0003575981980247889,0.39372551441192627,0.042706298828125,0.47282153367996216,0.2,0.0001,9547.7470703125,0.0060442835,32155.975790405275,2620,-1.9388320922851563,,
1161.27,557056,17,308,1803,6768.25,0.00022293777492450318,0.393684059381485,0.049603271484375,0.5037884414196014,0.2,0.0001,10166.646484375,0.0066300007,30805.726483154296,2630,-1.9382604237645864,,
1206.26,589824,18,309,1905,7310.223,-4.802987641596701e-05,0.3936668634414673,0.0337432861328125,0.46887677907943726,0.2,0.0001,11171.501953125,0.0052584847,36639.28367614746,2640,-1.9379166267812251,,
1199.88,622592,19,310,2006,7582.122,-0.0004542400252830703,0.3935794234275818,0.0352020263671875,0.4960319995880127,0.2,0.0001,9935.3798828125,0.0054664207,39784.83286437988,2650,-1.93737776260823,,
1174.94,655360,20,311,2106,7750.747,-3.909969891537912e-05,0.3935445547103882,0.0439239501953125,0.43908369541168213,0.2,0.0001,10790.8037109375,0.0062658824,35067.76494445801,2660,-1.9367288349196314,,
1184.65,688128,21,311,2206,7690.569,-0.0002861900691641495,0.3934716582298279,0.0449432373046875,0.435907244682312,0.2,0.0001,14353.9599609375,0.006034498,37902.67427368164,2670,-1.9362246286123992,,
1183.93,720896,22,312,2305,8093.0737,-0.00015442365984199568,0.39336952567100525,0.03895263671875,0.41042274236679077,0.2,0.0001,100299.6796875,0.0061028446,102460.74603271484,2680,-1.9353204570710658,,
1166.1,753664,23,313,2404,8204.139,0.00028146810218458994,0.39338913559913635,0.0465850830078125,0.4932103753089905,0.2,0.0001,10433.4482421875,0.0059217913,33177.94537658691,2690,-1.9348264692351222,,
1167.86,786432,24,314,2503,7951.7954,0.0007767145092657301,0.3934016227722168,0.0453369140625,0.5021355748176575,0.2,0.0001,11079.31640625,0.0063463496,37177.49656677246,2700,-1.9349837921559812,,
1143.52,819200,25,314,2604,8208.523,3.7414667167468e-05,0.39334025979042053,0.030816650390625,0.5022087395191193,0.2,0.0001,17378.08984375,0.005241273,87211.29192199706,2710,-1.9347554322332143,,
1100.55,851968,26,315,2701,6508.1987,0.0008631918099126779,0.39325958490371704,0.04842529296875,0.5324399173259735,0.2,0.0001,11436.0556640625,0.006083944,37258.00186462402,2720,-1.9340455619618298,,
1112.6,884736,27,315,2801,5870.797,-0.0006432295525883091,0.39320939779281616,0.036865234375,0.39857685565948486,0.2,0.0001,241804.34375,0.0057632946,307533.0377410889,2730,-1.9333750497549773,,
1155.53,917504,28,316,2901,6705.8057,0.0002770319020783063,0.393197238445282,0.0313446044921875,0.52391117811203,0.2,0.0001,333037.09375,0.0050655203,357489.22967529297,2740,-1.9330047631636262,,
1174.1,950272,29,316,3003,6803.507,0.0007200332100183004,0.393141508102417,0.0354339599609375,0.5720424056053162,0.2,0.0001,9190.5791015625,0.0049463175,31056.145846557618,2750,-1.9327233193442226,,
1073.44,983040,30,316,3106,7572.123,-2.2157232888275757e-05,0.39311280846595764,0.0355621337890625,0.6275719106197357,0.2,0.0001,8724.1806640625,0.0053908518,151628.3689971924,2760,-1.9322341430932284,,
1065.14,1015808,31,315,3220,7299.7104,0.000735986575455172,0.3931114971637726,0.0399169921875,0.5235081017017365,0.2,0.0001,72853.625,0.005709845,278107.1778503418,2770,-1.9320185294374823,,
1041.94,1048576,32,315,3328,7201.254,-0.0006365009227010887,0.39304929971694946,0.0317535400390625,0.5965960025787354,0.2,0.0001,10533.806640625,0.0054573156,34626.14561767578,2780,-1.9317994087934494,,
1136.72,1081344,33,315,3432,8207.566,0.0007338726591115119,0.39309170842170715,0.0347625732421875,0.6561544835567474,0.2,0.0001,11429.6591796875,0.005166025,34769.50462646484,2790,-1.9315889416262508,,
1078.96,1114112,34,315,3532,8289.464,-5.196204328967724e-05,0.39310961961746216,0.045263671875,0.6211420595645905,0.2,0.0001,11486.0771484375,0.0061123553,35755.601678466795,2800,-1.9318993736058474,,
1124.74,1146880,35,315,3633,8212.95,-0.0007195061400125269,0.39306989312171936,0.029486083984375,0.6756505072116852,0.2,0.0001,13383.20703125,0.0047070286,34984.77526550293,2810,-1.931814043968916,,
1098.88,1179648,36,315,3734,7736.29,-0.00012571446313813794,0.393118679523468,0.03553466796875,0.5997469127178192,0.2,0.0001,73722.046875,0.0047048815,138611.02744140624,2820,-1.9317440256476401,,
1148.62,1212416,37,315,3836,7445.2607,0.0015610742979333737,0.3931233286857605,0.0301422119140625,0.6735751330852509,0.2,0.0001,45987.6875,0.0045349104,82405.47102050782,2830,-1.9320907128974796,,
1183.72,1245184,38,316,3936,7998.0376,-0.00022474218858405947,0.3931571841239929,0.0370758056640625,0.526408314704895,0.2,0.0001,471673.375,0.0056098867,404731.74230041506,2840,-1.9322447940707206,,
1135.32,1277952,39,316,4036,8585.013,0.000626278342679143,0.39310815930366516,0.0341644287109375,0.6552504599094391,0.2,0.0001,10558.1015625,0.0049530445,36213.6740814209,2850,-1.9321844611316918,,
1097.14,1310720,40,316,4135,7682.728,-0.0003273984340921743,0.393052875995636,0.0292022705078125,0.7736772000789642,0.2,0.0001,16951.296875,0.0049424376,39909.45495605469,2860,-1.931621853262186,,
1049.21,1343488,41,317,4237,6653.1704,0.0004630499923223397,0.3930794596672058,0.0375030517578125,0.515495777130127,0.2,0.0001,27769.255859375,0.0056424914,464529.25769958494,2870,-1.9314221372827887,,
1050.26,1376256,42,317,4340,5914.074,-0.00022058591384848113,0.39308395981788635,0.031683349609375,0.7091471254825592,0.2,0.0001,58876.890625,0.0050527463,209030.52758789062,2880,-1.9316125497221948,,
983.69,1409024,43,317,4437,6372.7407,0.0004902075997961219,0.3930586576461792,0.040679931640625,0.5350507199764252,0.2,0.0001,12366.33984375,0.0054879934,167664.7599243164,2890,-1.931498027406633,,
993.31,1441792,44,317,4538,6943.6777,-6.352208765747491e-05,0.3930489420890808,0.0345001220703125,0.7544949948787689,0.2,0.0001,61842.2578125,0.0054049874,80973.42294311523,2900,-1.9313393011689186,,
1001.94,1474560,45,317,4638,7357.726,0.0004993979506252799,0.39304450154304504,0.0282379150390625,0.7807166576385498,0.2,0.0001,11353.15234375,0.004907623,39495.835131835935,2910,-1.931257856078446,,
1121.27,1507328,46,317,4742,8535.139,0.00051918171448051,0.3930589556694031,0.0391265869140625,0.6575916111469269,0.2,0.0001,15593.6103515625,0.005516989,39379.95712890625,2920,-1.931299921683967,,
1103.47,1540096,47,318,4842,8855.605,-0.0004336552679887973,0.3930169343948364,0.0367645263671875,0.6262166202068329,0.2,0.0001,75025.7734375,0.005328316,204693.56834106444,2930,-1.9311771854758262,,
1162.44,1572864,48,318,4943,9593.312,5.034708337916527e-05,0.3929714560508728,0.037884521484375,0.5875645279884338,0.2,0.0001,11871.962890625,0.0055790283,37052.86556396484,2940,-1.930747042223811,,
,1600000,,,,,-0.000216356370219728,0.3929007351398468,0.0465057373046875,0.6854740977287292,0.2,0.0001,14540.8876953125,0.0062019564,35949.51166992188,2950,-1.9301987998187542,1260.38,3620.261962890625
1127.64,1605632,49,289,5539,9191.984,,,,,,,,,,,,,
1060.35,1638400,50,290,5639,6992.127,-0.00028911805711686613,0.3928837180137634,0.029742431640625,0.6234473288059235,0.2,0.0001,12522.2470703125,0.0048575294,42520.11862487793,2960,-1.9297726582735777,,
944.45,1671168,51,291,5737,5495.993,0.0013579811940871878,0.39290350675582886,0.0312713623046875,0.575772762298584,0.2,0.0001,356958.78125,0.0050213505,337802.20966491697,2970,-1.9297697279602288,,
841.15,1703936,52,291,5835,4820.447,0.0004278642238205066,0.3928757905960083,0.0403900146484375,0.6120106875896454,0.2,0.0001,15249.6279296875,0.0052129757,43029.808334350586,2980,-1.9297585217282176,,
936.61,1736704,53,292,5933,6650.448,-0.00042021658337034753,0.39285701513290405,0.02467041015625,0.6730874180793762,0.2,0.0001,52548.95703125,0.0043456797,70455.65835266114,2990,-1.9295072760432959,,
979.26,1769472,54,293,6035,7051.665,0.0007513962184020784,0.3928097188472748,0.0357086181640625,0.6676971316337585,0.2,0.0001,27300.283203125,0.005129841,101204.855859375,3000,-1.9291640784591437,,
1040.5,1802240,55,293,6138,7523.3066,-0.0010627076129821945,0.392772376537323,0.041827392578125,0.6889743208885193,0.2,0.0001,39561.5859375,0.0057062195,91808.02825622559,3010,-1.9287951555103064,,
1083.47,1835008,56,294,6238,8081.3843,0.00026421602742630055,0.39276474714279175,0.0363433837890625,0.5834152400493622,0.2,0.0001,69615.71875,0.0053657247,147455.2858154297,3020,-1.9285286778584123,,
