rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/value_loss,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/n_updates,train/loss,train/std,train/learning_rate,train/approx_kl,eval/mean_reward,eval/mean_ep_length
301.0,270,8192,30,-197.83788,1,,,,,,,,,,,,,
301.0,260,16384,62,-203.29181,2,185.8983184814453,0.0,-5.675985813140869,-0.0012950562580954284,-0.0017381906509399414,0.2,10,80.21989440917969,1.0001263618469238,1e-05,0.00017648294,,
301.0,257,24576,95,-200.71213,3,168.35445327758788,0.0,-5.676372480392456,-0.0017411449283827097,-0.0012186765670776367,0.2,20,77.44842529296875,1.0001660585403442,1e-05,0.00025942267,,
301.0,256,32768,127,-201.71133,4,168.42291145324708,0.0,-5.676461708545685,-0.0015771521837450563,-0.0007151365280151367,0.2,30,79.97421264648438,1.0001881122589111,1e-05,0.0003101394,,
301.0,255,40960,160,-185.2961,5,154.49513511657716,0.0,-5.676409983634949,-0.0019829541881335897,-0.0004769563674926758,0.2,40,74.66361236572266,1.0001240968704224,1e-05,0.000438995,,
301.0,254,49152,193,-163.89871,6,134.86948680877686,0.0,-5.676205217838287,-0.0030073672387516126,-0.0001627206802368164,0.2,50,63.14475631713867,1.000112533569336,1e-05,0.00083118334,,
301.0,253,57344,226,-115.13465,7,111.92029857635498,0.00028076171875,-5.676123321056366,-0.004902550298720598,-0.00022399425506591797,0.2,60,54.853397369384766,1.00006103515625,1e-05,0.0020247605,,
301.0,253,65536,258,-37.984146,8,1194.015687561035,0.0101806640625,-5.6760728597640995,-0.003193446312798187,-9.5367431640625e-06,0.2,70,883.7716674804688,1.0000901222229004,1e-05,0.005053157,,
301.0,253,73728,291,46.765102,9,2419.2382110595704,0.0,-5.676034796237945,-0.0008692217234056443,4.4345855712890625e-05,0.2,80,1338.585693359375,1.000052571296692,1e-05,0.00023470295,,
301.0,252,81920,323,124.62194,10,3541.1478118896484,0.0,-5.675926816463471,2.543161390349269e-05,8.970499038696289e-05,0.2,90,1585.75439453125,1.0000386238098145,1e-05,2.3016473e-06,,
301.0,252,90112,356,161.93224,11,4619.52437133789,0.0,-5.675893640518188,5.0314966938458386e-05,0.00029927492141723633,0.2,100,2432.511962890625,1.0000337362289429,1e-05,1.6713311e-06,,
301.0,252,98304,389,150.27336,12,3467.6497497558594,0.0,-5.67589681148529,6.542712799273431e-06,0.000249326229095459,0.2,110,1746.8572998046875,1.0000425577163696,1e-05,1.2067976e-06,,
301.0,252,106496,422,255.59865,13,2275.993341064453,0.0,-5.675941729545594,-9.029082430060953e-05,0.00019019842147827148,0.2,120,865.0050048828125,1.0000563859939575,1e-05,2.0730404e-05,,
301.0,252,114688,454,276.89453,14,11470.089599609375,0.0,-5.675991952419281,-7.06255028489977e-05,0.00011664628982543945,0.2,130,5496.001953125,1.0000619888305664,1e-05,1.0684678e-05,,
