time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/fps,train/approx_kl,train/entropy_loss,train/loss,train/learning_rate,train/clip_fraction,train/explained_variance,train/std,train/clip_range,train/policy_gradient_loss,train/value_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
1376256,5961,11071.027,967.68,42,230,0.0055263247,-1.921772114187479,16679.478515625,0.0001,0.0413848876953125,0.670148491859436,0.39206719398498535,0.2,-0.00015294674394681352,36674.51169128418,2880,,
1409024,6100,11438.628,989.66,43,230,0.0067578657,-1.9209698786959053,10567.787109375,0.0001,0.0529052734375,0.7019054591655731,0.3919995129108429,0.2,-2.2682383132632822e-05,32859.626501464845,2890,,
1441792,6240,11606.103,1003.37,44,231,0.0044727665,-1.9203470051288605,12913.2861328125,0.0001,0.0307647705078125,0.6872189939022064,0.3919479250907898,0.2,0.0004164914802458952,34211.95060424805,2900,,
1474560,6382,11760.6875,1011.57,45,231,0.0059964214,-1.9197772707790137,12653.712890625,0.0001,0.0433074951171875,0.6194723844528198,0.39188313484191895,0.2,0.0010892412450630219,41785.3245300293,2910,,
1507328,6523,11088.834,964.33,46,231,0.005695291,-1.9190207486972213,11967.197265625,0.0001,0.0419281005859375,0.6903172731399536,0.3917968273162842,0.2,0.00019895900641131448,34308.94372863769,2920,,
1540096,6665,11407.438,982.82,47,231,0.004279523,-1.918351089209318,18218.943359375,0.0001,0.0251190185546875,0.6091245412826538,0.39175617694854736,0.2,-0.000123735646775458,42940.667172241214,2930,,
1572864,6804,11108.263,964.98,48,231,0.005551073,-1.9178022019565106,15999.2763671875,0.0001,0.042218017578125,0.6777210235595703,0.39168933033943176,0.2,0.00010636414608597989,35472.096844482425,2940,,
1600000,,,,,,0.0058146045,-1.9172508910298347,13830.802734375,0.0001,0.047564697265625,0.6621845066547394,0.39164796471595764,0.2,0.0004410771573020611,38040.55231628418,2950,397.31,4017.85791015625
1605632,7210,11074.845,961.45,49,222,,,,,,,,,,,,,
1638400,7350,10866.229,942.76,50,222,0.0062848255,-1.9168709643185138,15485.8955078125,0.0001,0.043389892578125,0.5834088623523712,0.3916061520576477,0.2,0.00012021020484098699,45376.11676940918,2960,,
1671168,7489,11031.987,945.79,51,223,0.004925322,-1.9163181975483894,10919.169921875,0.0001,0.03065185546875,0.6806177496910095,0.3915424346923828,0.2,0.00013203484331825166,36686.952896118164,2970,,
1703936,7629,11201.0,954.97,52,223,0.0052385246,-1.9156355664134026,15560.732421875,0.0001,0.0334503173828125,0.7116296887397766,0.3914753794670105,0.2,-0.0002292457096700673,36218.78698730469,2980,,
1736704,7771,10872.554,924.1,53,223,0.005296567,-1.9152513226494192,15708.94140625,0.0001,0.0350067138671875,0.7188269197940826,0.39146849513053894,0.2,0.0004077921489624714,32938.83117980957,2990,,
1769472,7911,10843.869,940.15,54,223,0.005648936,-1.9152549112215638,14326.20703125,0.0001,0.041741943359375,0.6842024624347687,0.391471266746521,0.2,-0.00018759658760245657,40996.76544799805,3000,,
1802240,8053,10582.164,934.43,55,223,0.004987778,-1.915037776902318,11806.9912109375,0.0001,0.02867431640625,0.6941332221031189,0.39142534136772156,0.2,0.00047235469501174523,39572.22522277832,3010,,
1835008,8197,11096.519,965.58,56,223,0.0044656727,-1.9144514137879014,13000.478515625,0.0001,0.02723388671875,0.6883222758769989,0.3913557529449463,0.2,0.0005460434767883271,37311.57524414062,3020,,
1867776,8337,12197.321,998.16,57,224,0.0053216866,-1.9140328630805015,16017.294921875,0.0001,0.034814453125,0.6937412321567535,0.3913489282131195,0.2,-0.00029441811584547396,38234.812890625,3030,,
1900544,8475,12569.818,1012.09,58,224,0.005591945,-1.9135835938155652,9587.0078125,0.0001,0.0386871337890625,0.7544997781515121,0.3912581503391266,0.2,-8.64180159624084e-05,31719.906680297852,3040,,
1933312,8612,12546.054,1020.47,59,224,0.0060437294,-1.913009107671678,11354.279296875,0.0001,0.0474822998046875,0.6975874304771423,0.3912503719329834,0.2,-0.00045828451420675264,36740.48440246582,3050,,
1966080,8748,11760.085,997.07,60,224,0.0058366815,-1.9128532303497194,13931.1005859375,0.0001,0.0401123046875,0.7125162482261658,0.39122310280799866,0.2,-0.00022280684825091158,35262.91469726562,3060,,
1998848,8885,12181.894,1019.19,61,224,0.0045513622,-1.9125188196077942,18687.626953125,0.0001,0.028228759765625,0.686789482831955,0.39118748903274536,0.2,-0.0002254973931485438,37113.46937561035,3070,,
2031616,9026,12069.358,1032.68,62,225,0.0034845797,-1.912045275233686,13731.3525390625,0.0001,0.02021484375,0.7152930498123169,0.3911285102367401,0.2,8.230110297517968e-05,34499.823260498044,3080,,
