time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/entropy_loss,train/approx_kl,train/std,train/value_loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/clip_fraction,train/explained_variance,train/clip_range,train/loss,eval/mean_reward,eval/mean_ep_length
1,479,68,1041.0114,32768,476.25,,,,,,,,,,,,,
2,446,146,1759.2059,65536,536.16,-1.9469755149446428,0.013444221,0.39452672004699707,27463.272023010253,0.0030646909024653725,2480,0.0001,0.1391204833984375,-0.020438432693481445,0.2,7951.65234375,,
3,436,225,1967.2183,98304,548.09,-1.9469683746807278,0.008086928,0.39455199241638184,27171.900276184082,0.001986790787850623,2490,0.0001,0.0755126953125,0.11206203699111938,0.2,5918.18701171875,,
4,434,301,2285.9216,131072,578.41,-1.947217291034758,0.0066556027,0.39455822110176086,23609.64561958313,0.0005242246208581492,2500,0.0001,0.052679443359375,0.2209654450416565,0.2,6599.1484375,,
5,432,378,2531.1152,163840,605.07,-1.9467331347987056,0.00740212,0.3944638967514038,26975.838298797607,0.0009674878270743648,2510,0.0001,0.0592926025390625,0.2918117046356201,0.2,6365.59619140625,,
6,430,456,2603.6633,196608,615.57,-1.9455197321251034,0.007597921,0.3943063020706177,23865.488398742677,0.0011310654634144157,2520,0.0001,0.0634002685546875,0.3237113356590271,0.2,7606.31298828125,,
7,429,533,2223.1208,229376,586.37,-1.9436284005641937,0.006561909,0.3940918445587158,24574.4883102417,0.0002278436852066079,2530,0.0001,0.05291748046875,0.3798995018005371,0.2,5995.56689453125,,
8,426,614,2859.2507,262144,636.12,-1.9416174617595972,0.0068321885,0.3939136266708374,24014.682692718507,-0.0006678117613773793,2540,0.0001,0.0532806396484375,0.3734867572784424,0.2,7477.20263671875,,
9,424,693,3655.8381,294912,696.17,-1.9399994047358633,0.0069548665,0.39378106594085693,25730.96830062866,0.0007665899547646404,2550,0.0001,0.05390625,0.4419807195663452,0.2,6156.47216796875,,
10,423,773,4121.353,327680,741.51,-1.9388465940952302,0.0068770875,0.3937199115753174,26200.271046447753,0.0003619293174779159,2560,0.0001,0.05289306640625,0.43393462896347046,0.2,10861.2216796875,,
11,422,853,4744.0254,360448,794.17,-1.9374112324789166,0.007048987,0.39348283410072327,20270.183040237425,-0.0006980293497690582,2570,0.0001,0.062603759765625,0.45254677534103394,0.2,8285.4873046875,,
12,420,934,4989.7295,393216,803.35,-1.9353266339749098,0.0061860974,0.39332079887390137,22362.054930496215,0.0011100618216005388,2580,0.0001,0.047344970703125,0.4392358064651489,0.2,5139.9541015625,,
13,417,1020,5109.8433,425984,803.06,-1.934282325115055,0.006344408,0.3932875394821167,22063.534718322753,-0.00017285589638049714,2590,0.0001,0.047698974609375,0.5017535984516144,0.2,5248.2353515625,,
14,413,1108,5795.6987,458752,862.52,-1.9335600977763534,0.0060765524,0.3931509852409363,21194.048780441284,0.00018757275902316905,2600,0.0001,0.047686767578125,0.5334962904453278,0.2,5689.470703125,,
15,411,1194,5998.0933,491520,886.82,-1.9320902904495596,0.005645747,0.39300933480262756,22268.04889984131,0.0004576553461447475,2610,0.0001,0.04041748046875,0.5539927184581757,0.2,5328.015625,,
16,409,1279,6323.5645,524288,903.46,-1.930548998247832,0.0063781976,0.39286285638809204,24183.28092727661,-0.0003118628101219656,2620,0.0001,0.053253173828125,0.49444615840911865,0.2,7898.35498046875,,
17,408,1363,6034.527,557056,879.04,-1.929014596529305,0.006378594,0.39271029829978943,18039.96635246277,4.7521517262794075e-05,2630,0.0001,0.0463165283203125,0.5314314365386963,0.2,4548.22216796875,,
18,406,1449,6144.6577,589824,891.72,-1.9277856072410942,0.0051581766,0.3926295042037964,21401.906689834595,-0.0008403577245189809,2640,0.0001,0.0323394775390625,0.5147534012794495,0.2,5301.4267578125,,
19,405,1534,6247.4795,622592,899.54,-1.9267397741787136,0.0062035825,0.39248940348625183,17506.92107772827,0.0003919944785593543,2650,0.0001,0.04901123046875,0.6311387717723846,0.2,4662.798828125,,
20,404,1618,6438.1704,655360,896.84,-1.9256116591393948,0.0063092588,0.3924292027950287,21508.134688568116,0.0004649099928428768,2660,0.0001,0.053631591796875,0.5070159137248993,0.2,7259.41796875,,
21,403,1703,7287.5244,688128,952.51,-1.9253152432851492,0.0058834585,0.39244896173477173,20558.17195777893,-3.091353028139565e-05,2670,0.0001,0.0467010498046875,0.5664890706539154,0.2,4748.70849609375,,
22,403,1787,7221.57,720896,935.98,-1.9254074510186912,0.0060854116,0.3924531638622284,17617.887287521364,0.00034496091666369466,2680,0.0001,0.0481170654296875,0.6184401214122772,0.2,6237.15087890625,,
23,402,1872,7627.261,753664,955.89,-1.9250129144638777,0.00516722,0.3923513889312744,21426.816582489013,-0.00031907422508083985,2690,0.0001,0.0367431640625,0.5787887573242188,0.2,4096.87060546875,,
24,402,1953,6758.578,786432,887.63,-1.9240585569292308,0.005498351,0.3922562301158905,21998.449151992798,0.000131520632567117,2700,0.0001,0.03927001953125,0.6143431067466736,0.2,5197.73046875,,
25,401,2039,6814.345,819200,885.41,-1.9231650969013572,0.0060079945,0.39215439558029175,22109.340398025513,-0.000395859728087089,2710,0.0001,0.0452178955078125,0.5693182349205017,0.2,12969.69140625,,
26,400,2126,7002.764,851968,892.4,-1.9221554532647134,0.0054766387,0.39206352829933167,18347.98553695679,0.0004658175173972268,2720,0.0001,0.0364898681640625,0.6843096017837524,0.2,4056.164794921875,,
27,399,2212,7169.5073,884736,898.0,-1.9208214443176985,0.0054005934,0.3918877840042114,20201.276065444945,-0.0010421305894851684,2730,0.0001,0.0422607421875,0.6572660505771637,0.2,5242.099609375,,
28,398,2300,6874.631,917504,875.17,-1.9195843864232303,0.005184974,0.39182624220848083,22328.29656867981,-0.000303388081920275,2740,0.0001,0.0362518310546875,0.6434476673603058,0.2,5942.50390625,,
29,398,2386,6744.845,950272,865.85,-1.919072373956442,0.0062222322,0.39180120825767517,20454.68745994568,0.0011266602949035586,2750,0.0001,0.0506439208984375,0.6224959492683411,0.2,4472.38134765625,,
30,397,2470,7011.5,983040,881.06,-1.9190111802890897,0.0063871397,0.3918033242225647,22037.522393798827,0.00045772551784466485,2760,0.0001,0.0478912353515625,0.6180242896080017,0.2,5135.99365234375,,
31,397,2555,7225.1167,1015808,880.63,-1.9188164244405925,0.0053273994,0.39176368713378906,17653.509407043457,-0.00044031231154804116,2770,0.0001,0.04056396484375,0.6229053437709808,0.2,5841.19873046875,,
32,397,2637,7265.868,1048576,867.05,-1.9181757962331176,0.0060945824,0.3916867971420288,20204.962005233763,-0.0007715775245742407,2780,0.0001,0.0449737548828125,0.7089124917984009,0.2,8506.876953125,,
33,397,2719,6781.16,1081344,809.19,-1.9177059422247111,0.0055897953,0.39168989658355713,20162.896462249755,-0.0007954556540425983,2790,0.0001,0.044952392578125,0.6235653460025787,0.2,3267.394775390625,,
34,396,2811,5875.747,1114112,742.06,-1.9175378100015223,0.0048990487,0.3916422426700592,24777.134896850584,0.00023083579017111334,2800,0.0001,0.0300079345703125,0.5556952059268951,0.2,10377.2587890625,,
35,395,2901,7116.8926,1146880,813.34,-1.916879422031343,0.005181145,0.3915446698665619,23874.38963699341,-0.0004313614810598665,2810,0.0001,0.0357879638671875,0.6232940554618835,0.2,6395.23876953125,,
36,394,2992,6949.1787,1179648,801.28,-1.9159547967836261,0.004890171,0.39146485924720764,26909.060609436034,8.252431071014144e-05,2820,0.0001,0.033819580078125,0.6208727657794952,0.2,10562.52734375,,
37,393,3078,6213.739,1212416,767.29,-1.9151062386110425,0.0053224773,0.3913784623146057,22621.739822769166,0.000386666413032799,2830,0.0001,0.0353607177734375,0.6615336239337921,0.2,9702.22265625,,
38,394,3158,5545.612,1245184,729.91,-1.9141089471057058,0.005078163,0.39126691222190857,26300.72132644653,-0.00027974806034762877,2840,0.0001,0.0352813720703125,0.588673323392868,0.2,7965.53564453125,,
