time/iterations,rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/clip_range,train/learning_rate,train/clip_fraction,train/n_updates,train/approx_kl,train/value_loss,train/std,train/policy_gradient_loss,train/entropy_loss,train/loss,train/explained_variance
1,301.0,32768,572,57,-216.13818,,,,,,,,,,,
2,301.0,65536,456,143,-133.57184,0.2,0.0001,0.127294921875,10,0.008819301,83.773637740314,0.9951585531234741,-0.013374012041322204,-5.662099802494049,32.738609313964844,0.0009233951568603516
3,301.0,98304,426,230,6.775026,0.2,0.0001,0.1565093994140625,20,0.010543825,95.28093912750482,0.9912741184234619,-0.01729072848111173,-5.647545179352164,54.10810089111328,0.21396404504776
4,301.0,131072,413,317,157.43906,0.2,0.0001,0.166583251953125,30,0.010919549,120.04344145059585,0.9852267503738403,-0.01874317253495974,-5.6265038277953865,56.07101821899414,0.32611095905303955
5,301.0,163840,405,404,165.72029,0.2,0.0001,0.1285919189453125,40,0.009339526,2057.142761039734,0.9765725135803223,-0.00947514819490607,-5.598278631642461,122.06954956054688,0.0863485336303711
6,301.0,196608,400,491,124.96435,0.2,0.0001,0.1120697021484375,50,0.008872122,2456.7550322413445,0.9638139009475708,-0.007644339740636497,-5.549236108921468,126.8869857788086,0.07263314723968506
7,301.0,229376,396,578,72.3338,0.2,0.0001,0.0652008056640625,60,0.006808971,2249.5316876113416,0.9539398550987244,-0.004260369301027822,-5.500385373644531,459.4053039550781,0.03818857669830322
8,301.0,262144,393,665,58.58095,0.2,0.0001,0.06802978515625,70,0.0068207216,1478.114519906044,0.9432960748672485,-0.00468997736302299,-5.454998711869121,178.5968475341797,-0.015750527381896973
9,301.0,294912,391,753,-51.700787,0.2,0.0001,0.0397979736328125,80,0.004369198,2704.8077587485313,0.9341700673103333,-0.002601331996356748,-5.4197943020612005,717.5309448242188,0.09352010488510132
10,301.0,327680,389,841,-132.87828,0.2,0.0001,0.019732666015625,90,0.0043053767,1116.7231698095798,0.9348321557044983,-0.0016998661249999713,-5.404620036296547,140.15432739257812,0.4821072816848755
