time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/std,train/n_updates,train/learning_rate,train/value_loss,train/clip_range,train/loss,train/explained_variance,train/clip_fraction
104,-157062.0,32768,364.8101265822785,1,314,,,,,,,,,,,
278,-120107.2,65536,335.29,2,235,0.0867885117384958,0.20617902,-1.9474483537487686,0.39461028575897217,2480,0.0001,608666737.8485839,0.2,359257824.0,0.00183790922164917,0.624053955078125
