rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/entropy_loss,train/n_updates,train/loss,train/value_loss,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/std,train/explained_variance,train/learning_rate,train/clip_range,eval/mean_reward,eval/mean_ep_length
301.0,960.8229,17,298,139264,467,-5.664022094011306,160,8845.7109375,19329.85594482422,0.0,5.155935e-05,-7.097849884303286e-05,0.9970860481262207,0.0,0.0001,0.2,,
301.0,958.356,18,298,147456,494,-5.66399701833725,170,13929.22265625,29584.99479980469,0.0,0.00023286247,-0.0004038650920847431,0.9970878958702087,4.172325134277344e-07,0.0001,0.2,,
301.0,958.68884,19,298,155648,521,-5.663923668861389,180,9874.4306640625,23813.43977050781,0.0,0.0010124517,-0.0011730003767297602,0.9970446825027466,9.5367431640625e-07,0.0001,0.2,,
301.0,981.2857,20,298,163840,548,-5.663813698291778,190,15464.2265625,29764.2591796875,0.0,0.000110242334,-0.00011722905910573899,0.9970407485961914,3.5762786865234375e-07,0.0001,0.2,,
301.0,902.5121,21,298,172032,576,-5.663846701383591,200,13968.4267578125,26199.857568359374,0.0,0.00027453975,-0.00031032350671011955,0.9970598220825195,2.980232238769531e-07,0.0001,0.2,,
301.0,990.3032,22,298,180224,603,-5.663913625478744,210,12764.6083984375,26236.770727539064,0.0,0.00035385875,-0.00041180347034242004,0.9970697164535522,2.384185791015625e-07,0.0001,0.2,,
301.0,952.22845,23,298,188416,631,-5.663863343000412,220,15960.208984375,36148.44052734375,0.0,0.00090057554,-0.0010047706309705973,0.9970308542251587,4.76837158203125e-07,0.0001,0.2,,
301.0,905.9046,24,298,196608,659,-5.663739114999771,230,12374.61328125,24746.203369140625,0.0,0.0008710035,-0.0007452289180946536,0.9970158338546753,3.5762786865234375e-07,0.0001,0.2,,
301.0,884.2039,25,297,204800,687,-5.663791388273239,240,11816.6806640625,22559.79415283203,0.0,0.0007472604,-0.00045890901819802823,0.9970604181289673,0.0,0.0001,0.2,,
301.0,861.339,26,297,212992,715,-5.6639528453350065,250,13023.8779296875,32325.103100585937,0.0,0.0003902585,-0.00028637966315727683,0.9970866441726685,1.1920928955078125e-07,0.0001,0.2,,
301.0,829.71985,27,297,221184,742,-5.66407344341278,260,11043.4560546875,24174.34169921875,0.0,0.00065022794,-0.00044501617812784386,0.9971217513084412,5.960464477539063e-08,0.0001,0.2,,
301.0,849.4152,28,297,229376,770,-5.664077186584473,270,20273.5234375,27211.416064453126,0.0,0.00076052255,-0.0004782760748639703,0.9970821142196655,5.960464477539063e-08,0.0001,0.2,,
301.0,799.53345,29,297,237568,798,-5.663909828662872,280,15263.759765625,38339.003686523436,9.765625e-05,0.0014214008,-0.0010043970891274513,0.997046172618866,1.1920928955078125e-07,0.0001,0.2,,
301.0,853.8552,30,297,245760,826,-5.663835287094116,290,15742.9658203125,28597.296142578125,0.0,0.0010365675,-0.0004592497702105902,0.9970510601997375,1.1920928955078125e-07,0.0001,0.2,,
301.0,823.1929,31,297,253952,854,-5.663909083604812,300,18085.927734375,35120.15822753906,0.0,0.0003870388,-0.00021524358744500204,0.9970788955688477,0.0,0.0001,0.2,,
301.0,748.305,32,297,262144,881,-5.663915985822678,310,15428.1240234375,26695.103662109374,0.01591796875,0.0059340266,-0.0028471516765421257,0.9970255494117737,5.960464477539063e-08,0.0001,0.2,,
301.0,767.35,33,297,270336,909,-5.663726139068603,320,16568.09765625,29924.4248046875,0.00108642578125,0.00265302,-0.0010039381828391924,0.9970273971557617,1.1920928955078125e-07,0.0001,0.2,,
301.0,669.17596,34,297,278528,937,-5.663617336750031,330,22900.830078125,38890.03620605469,0.0005615234375,0.0021919897,-0.0008917171522625722,0.9969465136528015,1.1920928955078125e-07,0.0001,0.2,,
