time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/iterations,train/n_updates,train/value_loss,train/approx_kl,train/clip_fraction,train/loss,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/std,train/explained_variance
568,-220.82776,57,301.0,32768,1,,,,,,,,,,,
507,-159.48145,129,301.0,65536,2,10,96.85575155615807,0.00860025,0.15313720703125,50.742984771728516,0.2,0.001,-0.011059326115901057,-5.6566212706267835,0.9938424229621887,-3.707408905029297e-05
483,-10.186404,203,301.0,98304,3,20,91.8407016813755,0.009363059,0.1474639892578125,34.531150817871094,0.2,0.001,-0.01667005805684312,-5.6374787975102665,0.9885126352310181,0.08528047800064087
474,150.37627,276,301.0,131072,4,30,393.4062553465366,0.011210398,0.145880126953125,47.79743194580078,0.2,0.001,-0.01498086024848817,-5.622200988605618,0.9845594167709351,0.11911070346832275
467,170.30434,350,301.0,163840,5,40,1530.9027517676354,0.008382808,0.117578125,1725.9429931640625,0.2,0.001,-0.00910661804191477,-5.608367137983441,0.9813522696495056,0.09972149133682251
463,144.3145,423,301.0,196608,6,50,2182.7679108262064,0.008082643,0.0987548828125,1002.08544921875,0.2,0.001,-0.005863906123340712,-5.5923658631742,0.9771292209625244,0.07267290353775024
460,81.10942,497,301.0,229376,7,60,2225.5490610957145,0.0066851354,0.064544677734375,1130.8118896484375,0.2,0.001,-0.003685697882610839,-5.572215419635176,0.9733332395553589,0.02831435203552246
458,33.1912,571,301.0,262144,8,70,1385.004902589321,0.006763001,0.0756805419921875,375.51507568359375,0.2,0.001,-0.004379667160719691,-5.5491734351962805,0.9666695594787598,0.020182490348815918
457,6.311523,645,301.0,294912,9,80,1498.4176424622535,0.004701961,0.033367919921875,138.24301147460938,0.2,0.001,-0.0021654815730471457,-5.512644570320845,0.9557527303695679,0.19502109289169312
455,-53.681416,718,301.0,327680,10,90,951.7739853978157,0.0053048376,0.05003662109375,154.80014038085938,0.2,0.001,-0.0021070136386697413,-5.4644475992769,0.9471946358680725,0.4265030026435852
454,-89.933205,792,301.0,360448,11,100,723.9360930204391,0.0048189936,0.040411376953125,248.21920776367188,0.2,0.001,-0.0017292690483373008,-5.440296468511224,0.942394495010376,0.6099952459335327
453,-35.998367,867,301.0,393216,12,110,697.0884284973145,0.004103273,0.0305755615234375,192.3192138671875,0.2,0.001,-0.0006688602616122807,-5.434408063814044,0.9407259225845337,0.6475737392902374
452,-86.969826,941,301.0,425984,13,120,1231.2716252088546,0.0047171717,0.031219482421875,169.23382568359375,0.2,0.001,-0.0007783907243720023,-5.394389102980495,0.9288367033004761,0.6651530861854553
451,-74.16794,1015,301.0,458752,14,130,697.8874143362045,0.0069239195,0.0555572509765625,187.95883178710938,0.2,0.001,-0.0019298983020235028,-5.350466444715858,0.9184725880622864,0.8099611699581146
451,-79.38767,1088,301.0,491520,15,140,749.5691734790802,0.003977743,0.03177490234375,571.2920532226562,0.2,0.001,-0.0010398012548648694,-5.330027183890342,0.9180776476860046,0.8214416354894638
450,-25.292854,1162,301.0,524288,16,150,1544.904701089859,0.0051394375,0.037664794921875,650.1351928710938,0.2,0.001,-0.0009808865210288787,-5.330005149543285,0.9172772169113159,0.7028211951255798
450,-27.945877,1236,301.0,557056,17,160,998.33626973629,0.0055212295,0.054486083984375,641.454833984375,0.2,0.001,-0.00228592503708569,-5.311312880367041,0.9140046834945679,0.7729755938053131
