time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/n_updates,train/learning_rate,train/explained_variance,train/entropy_loss,train/std,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/loss,train/value_loss,train/approx_kl
62,1,32768,3194.1375,524,301.0,,,,,,,,,,,
162,2,65536,3304.1453,403,301.0,630,0.001,0.2866593599319458,-4.373615722544491,0.7221489548683167,0.4938720703125,0.039834477241220155,0.2,6593.61474609375,22714.625580978394,0.072306305
258,3,98304,3331.5378,380,301.0,640,0.001,0.3060948848724365,-4.370691850967705,0.7228721380233765,0.4040252685546875,0.022909694342342846,0.2,3657.688720703125,21024.7502995491,0.04771865
353,4,131072,3231.1143,371,301.0,650,0.001,0.3448259234428406,-4.364372593723237,0.7204664945602417,0.3734130859375,0.02045916433758066,0.2,9372.4423828125,19677.265744876862,0.039238162
446,5,163840,3559.8828,366,301.0,660,0.001,0.3700176477432251,-4.353901197761298,0.7196471095085144,0.3519744873046875,0.015063272379939008,0.2,7719.3876953125,17863.02316493988,0.036090896
544,6,196608,3897.4094,361,301.0,670,0.001,0.40079188346862793,-4.350697149522603,0.71854567527771,0.3677459716796875,0.017696292668733803,0.2,2817.629638671875,19060.778561592102,0.038723864
637,7,229376,4201.349,359,301.0,680,0.001,0.3578836917877197,-4.345343986712396,0.7166967391967773,0.33804931640625,0.012484264369322772,0.2,6114.37451171875,20605.409155654906,0.034817662
728,8,262144,3947.628,359,301.0,690,0.001,0.337211549282074,-4.332772122882306,0.7150020003318787,0.3313262939453125,0.01669267079269048,0.2,4159.5244140625,22364.842828941346,0.03272734
820,9,294912,4172.409,359,301.0,700,0.001,0.3291662931442261,-4.338492395915091,0.7174062728881836,0.3507049560546875,0.01619650655984515,0.2,9641.5068359375,21627.931729602813,0.03357035
912,10,327680,4545.564,359,301.0,710,0.001,0.31394636631011963,-4.324763317778706,0.7120591998100281,0.3473236083984375,0.017952648268965275,0.2,7431.19287109375,22883.916594696046,0.036184683
1006,11,360448,4306.805,358,301.0,720,0.001,0.32065558433532715,-4.305390853248537,0.7100146412849426,0.3320098876953125,0.01499038736892544,0.2,3375.312744140625,23379.858533859253,0.033538196
1100,12,393216,4467.703,357,301.0,730,0.001,0.35110217332839966,-4.292383233644069,0.7083514332771301,0.3478851318359375,0.016185995825890132,0.2,4434.93994140625,21365.850703716278,0.034926616
1194,13,425984,4513.4536,356,301.0,740,0.001,0.30433666706085205,-4.283123505674302,0.7064715623855591,0.341290283203125,0.015929085418474643,0.2,2848.893310546875,24625.260247421265,0.03497763
1286,14,458752,4336.4634,356,301.0,750,0.001,0.310688316822052,-4.279117552004754,0.7056384086608887,0.333892822265625,0.016771883537694522,0.2,3572.997802734375,24471.766639328,0.033588
1382,15,491520,4473.9805,355,301.0,760,0.001,0.34777605533599854,-4.27768568713218,0.7064309120178223,0.3381866455078125,0.01600944604738288,0.2,6366.5986328125,22057.157050800324,0.03593596
1476,16,524288,4409.097,355,301.0,770,0.001,0.29006946086883545,-4.275532947666943,0.7044289708137512,0.350042724609375,0.01580271845464267,0.2,3176.739501953125,24115.19333114624,0.035763398
1570,17,557056,4523.736,354,301.0,780,0.001,0.3528767228126526,-4.259489439800381,0.7017560601234436,0.34625244140625,0.016368694787070127,0.2,4431.123046875,23708.857373809813,0.036483586
1663,18,589824,4691.111,354,301.0,790,0.001,0.32106590270996094,-4.241860774159432,0.6986327171325684,0.326177978515625,0.01571412434832382,0.2,4320.1845703125,25286.97271347046,0.034037046
1756,19,622592,4604.038,354,301.0,800,0.001,0.31802308559417725,-4.228712572343648,0.6966241598129272,0.360565185546875,0.021606716322685314,0.2,4959.8505859375,26758.532413768768,0.03828691
