time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,train/loss,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/clip_range,train/clip_fraction,train/explained_variance,train/std,train/learning_rate
1,58,-220.09367,559,32768,301.0,,,,,,,,,,,
2,205,-133.93816,318,65536,301.0,62.81521224975586,10,-5.675337126664817,-0.010456221209273054,0.0083835125,121.66289291866124,0.2,0.074151611328125,0.0008716583251953125,0.9996770620346069,1e-06
3,366,0.4576483,267,98304,301.0,47.90314865112305,20,-5.674016474187374,-0.011059561317995303,0.009107145,111.32976676858962,0.2,0.0803070068359375,4.8995018005371094e-05,0.9993299245834351,1e-06
4,521,117.88717,251,131072,301.0,68.70246124267578,30,-5.6720387865789235,-0.013087580437070302,0.008861938,400.2511569764465,0.2,0.108465576171875,4.76837158203125e-07,0.9988018274307251,1e-06
5,668,134.53546,244,163840,301.0,59.69341278076172,40,-5.670441209664569,-0.009384791116713132,0.008154757,1291.725080339238,0.2,0.086578369140625,4.7087669372558594e-05,0.9984614849090576,1e-06
6,815,93.99671,241,196608,301.0,72.60749816894531,50,-5.66884878622368,-0.006335726524571328,0.007178233,2977.820446014032,0.2,0.06038818359375,0.0005927681922912598,0.9980194568634033,1e-06
7,961,57.286083,238,229376,301.0,179.4732208251953,60,-5.667029430670664,-0.00609173736061166,0.006394998,1350.5998879499734,0.2,0.0549835205078125,0.0010495781898498535,0.9975919723510742,1e-06
8,1110,24.554832,235,262144,301.0,162.4263916015625,70,-5.665742209088057,-0.004859531503223024,0.0052713873,551.5601999565959,0.2,0.0377593994140625,0.0019234418869018555,0.9973052144050598,1e-06
9,1264,-25.450367,233,294912,301.0,180.30081176757812,80,-5.664494382124394,-0.002082772535959521,0.00441676,1507.15419138968,0.2,0.0151885986328125,0.001833796501159668,0.997011125087738,1e-06
10,1412,-57.273705,231,327680,301.0,142.79498291015625,90,-5.663917865324765,-0.001255936410530012,0.0036161724,742.0724753394722,0.2,0.0050750732421875,0.012375235557556152,0.9970275163650513,1e-06
11,1559,-82.8736,231,360448,301.0,249.61557006835938,100,-5.664038461633027,-0.0015566870139195998,0.0034099491,798.372768342495,0.2,0.0057586669921875,0.053804874420166016,0.9970834255218506,1e-06
12,1707,-131.99928,230,393216,301.0,219.1525421142578,110,-5.663919207034633,-0.0006347341943069296,0.0019560629,1161.5988116428257,0.2,0.000250244140625,0.1319822072982788,0.9969793558120728,1e-06
13,1854,-155.91318,229,425984,301.0,303.0144348144531,120,-5.663862771214918,-0.0007827315682675362,0.0028228837,652.3497978538275,0.2,0.001416015625,0.39196085929870605,0.9970630407333374,1e-06
14,2001,-169.22745,229,458752,301.0,287.2556457519531,130,-5.6641723773442205,-0.0002868271971351533,0.0014066991,1043.9777631521224,0.2,2.44140625e-05,0.399583101272583,0.9971600770950317,1e-06
15,2148,-144.51834,228,491520,301.0,336.4819030761719,140,-5.66399532854557,-0.00043796748276463403,0.001961324,763.4174538075924,0.2,0.0002471923828125,0.5264701843261719,0.9969658851623535,1e-06
16,2297,-153.23532,228,524288,301.0,381.3879699707031,150,-5.663797409879043,-0.00016325930906759822,0.0005988155,1346.6139646351337,0.2,0.0,0.3847706913948059,0.997066080570221,1e-06
17,2445,-132.16321,227,557056,301.0,380.0374755859375,160,-5.663953821500764,-0.000395851905238942,0.0010891308,1373.202881115675,0.2,6.103515625e-06,0.41005653142929077,0.9970405101776123,1e-06
18,2592,-71.39097,227,589824,301.0,306.3687438964844,170,-5.663804096588865,-0.00039733000531896325,0.0015496291,1009.3713144302368,0.2,6.40869140625e-05,0.48941171169281006,0.9970124959945679,1e-06
19,2739,-119.30542,227,622592,301.0,1916.0791015625,180,-5.663806132599712,-0.0008078812197481966,0.0029276838,2417.712474492192,0.2,0.001580810546875,0.31086093187332153,0.9970107078552246,1e-06
20,2888,-42.73608,226,655360,301.0,229.0589599609375,190,-5.663768898462877,-0.0007216975542178261,0.0019849027,939.696236974001,0.2,0.0003265380859375,0.536723405122757,0.9970144033432007,1e-06
21,3036,-33.809402,226,688128,301.0,457.3570556640625,200,-5.663651585532352,-0.0005759351676033475,0.0019770153,1676.1545426040889,0.2,0.0002960205078125,0.3831649422645569,0.9969368577003479,1e-06
22,3184,39.090115,226,720896,301.0,167.9843292236328,210,-5.663275683438405,-0.0004051539287843298,0.0013768281,1078.9130616292357,0.2,1.8310546875e-05,0.475597620010376,0.9968386292457581,1e-06
23,3331,37.64442,226,753664,301.0,242.05702209472656,220,-5.662831287179142,-7.132955973361277e-05,0.00031669711,678.4407977774739,0.2,0.0,0.5737225413322449,0.9966985583305359,1e-06
24,3478,101.037735,226,786432,301.0,159.41172790527344,230,-5.662278301920741,-0.0005469523914200635,0.0020198831,371.52640027552843,0.2,0.0002166748046875,0.7033149003982544,0.9965881109237671,1e-06
25,3626,96.49247,225,819200,301.0,232.10012817382812,240,-5.661683248449117,-0.0007583270707755219,0.0024075222,971.9976678997278,0.2,0.000970458984375,0.49931836128234863,0.996420681476593,1e-06
26,3773,99.03509,225,851968,301.0,246.33042907714844,250,-5.661489553144202,-0.0011972106147709384,0.00322953,1519.506555865705,0.2,0.0032012939453125,0.38969099521636963,0.9964407682418823,1e-06
27,3921,66.817024,225,884736,301.0,218.1198272705078,260,-5.661465893732384,-0.0010735126249016957,0.0030527266,1630.7699124097824,0.2,0.00235595703125,0.3975721001625061,0.9963685274124146,1e-06
28,4068,134.82803,225,917504,301.0,183.24803161621094,270,-5.660812727874145,-0.0012628078801242282,0.0034635472,1309.8463484078645,0.2,0.0042449951171875,0.4676090478897095,0.996143102645874,1e-06
29,4215,43.333233,225,950272,301.0,1249.926513671875,280,-5.660557234287262,-0.0007393634068463939,0.0024824264,2477.348523889482,0.2,0.0009552001953125,0.33337587118148804,0.9962745904922485,1e-06
30,4363,21.220957,225,983040,301.0,181.5999755859375,290,-5.6609656668733805,-0.00018001447024289518,0.00086916075,1029.5736579313875,0.2,0.0,0.5538710653781891,0.9963434934616089,1e-06
31,4510,76.41998,225,1015808,301.0,170.612060546875,300,-5.661005775909871,-0.0005791395193455173,0.0016175552,708.2815578520298,0.2,7.62939453125e-05,0.6314645409584045,0.9963016510009766,1e-06
