time/iterations,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/clip_range,train/explained_variance,train/approx_kl,train/value_loss,train/loss,train/n_updates,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/std,train/clip_fraction,eval/mean_ep_length,eval/mean_reward
13,509,425984,835,-5602.7007,151.17,0.2,-1.1920928955078125e-07,61.5349,1725551.564501953,737095.625,120,-5.932136885821819,0.001,0.2080602452304447,1.0672838687896729,0.9969757080078125,,
14,510,458752,898,-6333.8237,149.29,0.2,-1.1920928955078125e-07,311.1215,1645370.9974853515,576281.4375,130,-5.89715711735189,0.001,0.20777831503000926,1.0582258701324463,0.9882598876953125,,
15,511,491520,961,-5972.7393,151.5,0.2,0.0,60.609245,1906573.6516601562,765245.3125,140,-5.999139116704464,0.001,0.20952601700410015,1.0869181156158447,0.990191650390625,,
16,511,524288,1024,-5603.9004,165.85,0.2,-1.1920928955078125e-07,190.34512,1995146.621142578,1082674.25,150,-6.0870474997907875,0.001,0.20529192477697505,1.1110509634017944,0.9935211181640625,,
17,512,557056,1086,-4995.1636,150.09,0.2,0.0,164.14188,1915332.60390625,846646.3125,160,-6.186766437068582,0.001,0.19675290127051995,1.139025092124939,0.9948211669921875,,
18,513,589824,1148,-5007.107,148.74,0.2,0.0,186.67712,1788780.1822753907,500833.9375,170,-6.203765943646431,0.001,0.1991007261822233,1.1445715427398682,0.992755126953125,,
19,514,622592,1209,-5753.096,164.82,0.2,0.0,304.2116,1589528.7276367187,837332.0,180,-6.136532877013087,0.001,0.2033311716193566,1.1246013641357422,0.98934326171875,,
20,515,655360,1271,-2362.8018,299.9,0.2,0.0,62.192547,1702428.5787597657,564170.125,190,-6.097421001642942,0.001,0.19739622573033558,1.1146714687347412,0.98900146484375,,
21,516,688128,1332,-327.96793,301.0,0.2,0.022845208644866943,25.69273,668508.7923767089,47004.8046875,200,-6.109712789580226,0.001,0.11707384223627741,1.1197996139526367,0.9667510986328125,,
22,516,720896,1394,-375.11194,301.0,0.2,0.0,624.3679,60013.736596679686,18472.662109375,210,-6.204559338465333,0.001,0.20614991496804577,1.1464829444885254,0.94744873046875,,
23,517,753664,1457,-357.25464,301.0,0.2,-1.1920928955078125e-07,156.51572,38113.294998168945,14950.3046875,220,-6.271141905710101,0.001,0.2063534689012158,1.1662132740020752,0.9458526611328125,,
24,517,786432,1520,-367.78192,301.0,0.2,0.0,232.56808,25343.177460098268,8128.84765625,230,-6.3881512619555,0.001,0.20794330637145322,1.2021228075027466,0.9403045654296875,,
25,517,819200,1582,-368.4764,301.0,0.2,0.0,124.684006,16487.14331932068,8896.9423828125,240,-6.432495808973909,0.001,0.21053274922669515,1.2121094465255737,0.9490875244140625,,
