rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/std,train/learning_rate,train/policy_gradient_loss,train/clip_range,train/value_loss,train/entropy_loss,train/n_updates,train/loss,train/explained_variance,train/clip_fraction,train/approx_kl
358.741935483871,483.4612,1,142,12288,86,,,,,,,,,,,
354.75757575757575,570.27075,2,258,24576,95,0.39440658688545227,0.0003,0.00892743588774465,0.2,30599.596314493814,-1.9462480953584114,2480,9714.712890625,0.05957871675491333,0.22523600260416668,0.021513557
367.90625,682.28217,3,390,36864,94,0.394237220287323,0.0003,0.0005545359628740699,0.2,30347.667491149903,-1.944701830794414,2490,9049.4404296875,0.15645235776901245,0.116015625,0.011686762
385.56,973.3847,4,522,49152,93,0.39394596219062805,0.0003,0.002661879711376969,0.2,23367.494171651204,-1.9422550305724144,2500,4014.2666015625,0.23439908027648926,0.1455078125,0.013674346
403.57,1152.1199,5,646,61440,95,0.3936402201652527,0.0003,0.0011987181370689845,0.2,24285.915944925942,-1.9392495880524316,2510,4323.49169921875,0.4070128798484802,0.128662109375,0.011956279
424.03,1395.1597,6,757,73728,97,0.3933247923851013,0.0003,0.0024278244614833965,0.2,22265.05805867513,-1.9360914227863153,2520,3294.394775390625,0.3768512010574341,0.14169921875,0.012676799
436.38,1445.2712,7,889,86016,96,0.3929789364337921,0.0003,0.0024171292078487266,0.2,16119.348309071858,-1.9326535393794377,2530,4002.040771484375,0.5058355331420898,0.1071044921875,0.009879627
435.35,1394.337,8,998,98304,98,0.39227497577667236,0.0003,-0.001092738776060287,0.2,14910.87732111613,-1.927318702141444,2540,4116.15625,0.5230863690376282,0.09083658854166667,0.008295086
442.98,1575.5586,9,1104,110592,100,0.3925424814224243,0.0003,-0.000295461024021885,0.2,14904.55452524821,-1.9248579731831947,2550,2407.62744140625,0.5870721638202667,0.09611002604166667,0.008714716
459.76,1664.5066,10,1247,122880,98,0.3924466669559479,0.0003,0.00097821742844341,0.2,18614.09035542806,-1.9259057831019164,2560,4709.69921875,0.5505630075931549,0.1047119140625,0.008811646
472.15,1786.4921,11,1369,135168,98,0.3921215534210205,0.0003,-0.0010546163219260051,0.2,15738.50366007487,-1.9238876733928918,2570,3167.6865234375,0.6859458982944489,0.1112060546875,0.009687175
