rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/learning_rate,train/clip_fraction,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/clip_range,train/loss,train/explained_variance,train/n_updates,train/approx_kl,train/std,eval/mean_ep_length,eval/mean_reward
952.8461538461538,3546.7424,343,95,32768,1,,,,,,,,,,,,,
953.05,3560.9487,353,185,65536,2,0.0001,0.0550872802734375,-1.9472204700112343,51303.078125,0.0010820898969541304,0.2,21234.138671875,0.12033647298812866,2480,0.0080817,0.3945506513118744,,
966.3763440860215,3644.6028,356,275,98304,3,0.0001,0.0541656494140625,-1.9468757845461369,48796.666674804685,0.0007416932727210224,0.2,18663.71484375,0.1623796820640564,2490,0.0075988015,0.39452865719795227,,
956.79,3641.401,358,365,131072,4,0.0001,0.0511138916015625,-1.9466982305049896,49370.198461914064,0.0005181707747397013,0.2,21122.671875,0.19017821550369263,2500,0.00755042,0.39451125264167786,,
954.65,3622.4976,359,456,163840,5,0.0001,0.0379119873046875,-1.9464121028780936,44807.70300292969,0.00025553650048095735,0.2,16955.9453125,0.30015766620635986,2510,0.0063507035,0.39447036385536194,,
976.67,4196.833,358,547,196608,6,0.0001,0.03748779296875,-1.9461017079651355,48718.30209960938,-0.00021003212532377802,0.2,20444.751953125,0.29328835010528564,2520,0.00574077,0.3944569230079651,,
1012.24,3823.7053,357,641,229376,7,0.0001,0.0248992919921875,-1.9460113368928433,47958.93762207031,0.0005003324215067551,0.2,19746.34765625,0.3932771682739258,2530,0.004659394,0.3944503664970398,,
1042.2,4330.9937,357,732,262144,8,0.0001,0.0389556884765625,-1.946106981486082,434058.5667480469,0.0014025817232322878,0.2,238965.78125,0.13825863599777222,2540,0.0066324146,0.3944849967956543,,
1036.25,4037.6162,358,822,294912,9,0.0001,0.0240234375,-1.9461576759815216,45997.969458007814,-0.0003992680605733767,0.2,18485.17578125,0.4139522910118103,2550,0.0049444195,0.39445120096206665,,
1067.71,4920.46,356,919,327680,10,0.0001,0.02159423828125,-1.9457813248038291,43239.7048828125,-0.00026389646081952377,0.2,18886.3984375,0.4276973605155945,2560,0.0048851008,0.394415020942688,,
1073.51,5444.3027,356,1012,360448,11,0.0001,0.03055419921875,-1.9452187784016133,47518.92238769531,-0.0001588640567206312,0.2,18263.751953125,0.4479876756668091,2570,0.005542774,0.3943338096141815,,
1104.9,5132.7036,355,1106,393216,12,0.0001,0.0339447021484375,-1.9447939276695252,53773.428466796875,7.671399653190747e-05,0.2,20196.921875,0.49461835622787476,2580,0.005418321,0.394344687461853,,
1097.42,5481.6763,354,1201,425984,13,0.0001,0.017340087890625,-1.9449427619576454,234234.37890625,0.0019568541916669346,0.2,131476.96875,0.35233956575393677,2590,0.0039424943,0.394368439912796,,
1090.19,5519.04,353,1296,458752,14,0.0001,0.032208251953125,-1.9451383344829083,46077.99125976562,-0.0004982054335414432,0.2,17444.302734375,0.3921610116958618,2600,0.0051322803,0.394378662109375,,
1070.96,6409.2515,352,1393,491520,15,0.0001,0.0287628173828125,-1.94510657787323,50721.91320800781,0.0006582886111573316,0.2,22389.701171875,0.43738192319869995,2610,0.0051905774,0.39436084032058716,,
1067.07,6519.405,352,1488,524288,16,0.0001,0.03538818359375,-1.9450305111706256,48713.25893554687,-0.00036513562663458287,0.2,21197.234375,0.36822623014450073,2620,0.005656282,0.39436861872673035,,
1105.28,7020.181,351,1583,557056,17,0.0001,0.0256256103515625,-1.9449767902493478,45734.93801269531,-0.00025283850554842503,0.2,17377.078125,0.5046675801277161,2630,0.0047356193,0.39434635639190674,,
1127.74,7598.631,351,1678,589824,18,0.0001,0.030487060546875,-1.944627196341753,47408.15881347656,-2.862972905859351e-07,0.2,18113.033203125,0.5002598166465759,2640,0.0052941507,0.3943009376525879,,
1152.31,8162.6245,350,1775,622592,19,0.0001,0.022418212890625,-1.944249540567398,49668.929956054686,0.0003281464429164771,0.2,20025.447265625,0.49428027868270874,2650,0.004482757,0.3942756652832031,,
1120.46,8331.105,350,1869,655360,20,0.0001,0.0262969970703125,-1.9438806496560574,47519.92077636719,1.3379713345784694e-05,0.2,19645.7421875,0.4901059865951538,2660,0.0047827354,0.3942311406135559,,
1124.61,8148.2695,349,1966,688128,21,0.0001,0.0211944580078125,-1.943435824662447,51160.243408203125,-0.0002529186254832894,0.2,20464.15234375,0.5271327197551727,2670,0.00434509,0.39418837428092957,,
1116.62,6862.614,348,2065,720896,22,0.0001,0.019195556640625,-1.9431771762669086,146163.39829101562,0.0005672691695508547,0.2,70976.0234375,0.5495682656764984,2680,0.0045608236,0.39418667554855347,,
1076.08,5235.959,347,2166,753664,23,0.0001,0.0214080810546875,-1.9431862562894822,432320.6268554687,-0.00023744970822008326,0.2,203449.296875,0.5003182590007782,2690,0.004300915,0.39419257640838623,,
1051.96,5764.902,346,2270,786432,24,0.0001,0.02027587890625,-1.9431540235877036,437456.3985351563,0.0004005930313724093,0.2,255182.46875,0.6245083510875702,2700,0.0042713154,0.3941742777824402,,
1020.89,6817.3345,345,2372,819200,25,0.0001,0.02718505859375,-1.942966851592064,54226.82619628906,0.00011510210533742793,0.2,23240.630859375,0.529240220785141,2710,0.0045519276,0.3941546678543091,,
