time/iterations,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/entropy_loss,train/approx_kl,train/explained_variance,train/n_updates,train/loss,train/value_loss,train/clip_range,train/learning_rate,train/clip_fraction,train/std,train/policy_gradient_loss
18,301.0,589824,1115,528,134.69229,-5.334850544482469,0.007733438,0.7169927954673767,170,963.68603515625,648.9677634716033,0.2,0.001,0.0815032958984375,0.9110140800476074,-0.0015599313726852415
19,301.0,622592,1178,528,133.80869,-5.281708860397339,0.00747793,0.6433277428150177,180,167.44097900390625,918.8779559612274,0.2,0.001,0.0929229736328125,0.907075047492981,-0.0022443989008024802
20,301.0,655360,1240,528,154.70123,-5.261195698380471,0.008405275,0.8150067031383514,190,144.85545349121094,321.4904936552048,0.2,0.001,0.1014678955078125,0.9006348848342896,-0.004533050793907023
21,301.0,688128,1303,528,189.17891,-5.250716448575258,0.012753405,0.4033359885215759,200,2088.93603515625,2058.9550857067106,0.2,0.001,0.1203826904296875,0.8985978364944458,-0.0011997294579487062
22,301.0,720896,1367,527,252.63414,-5.2211377516388895,0.011683073,0.7581421434879303,210,141.0419158935547,338.8403249979019,0.2,0.001,0.14195556640625,0.8925051689147949,-0.004244920718338108
23,301.0,753664,1431,526,282.72464,-5.1936499260365965,0.010505337,0.5340858697891235,220,185.46649169921875,933.1949497699737,0.2,0.001,0.136431884765625,0.8852779269218445,-0.0003096806789471884
24,301.0,786432,1495,525,269.77786,-5.142818710207939,0.012720767,0.47698336839675903,230,222.86627197265625,919.1520896911621,0.2,0.001,0.1141998291015625,0.8739334344863892,-0.0005392116116126999
25,301.0,819200,1558,525,364.32538,-5.080734962224961,0.012848154,0.3882640600204468,240,1406.0556640625,985.0650323390961,0.2,0.001,0.133685302734375,0.8600665330886841,0.0013329359775525519
26,301.0,851968,1622,525,374.01465,-5.0270157553255554,0.017105268,0.24406087398529053,250,326.2736511230469,2467.6022465229034,0.2,0.001,0.1856781005859375,0.8499500751495361,0.003327563025595737
27,301.0,884736,1685,525,315.65427,-4.989528447389603,0.01151718,0.21807217597961426,260,511.59112548828125,3067.6211301803587,0.2,0.001,0.1593536376953125,0.8440062999725342,0.0007528227397415321
28,301.0,917504,1747,525,387.5379,-4.960006804019213,0.013402671,0.4259663224220276,270,627.0427856445312,1059.1348080158234,0.2,0.001,0.1372589111328125,0.8405137658119202,-0.0010004590872995322
29,301.0,950272,1810,525,383.6503,-4.921924974024296,0.008694541,0.1972927451133728,280,659.1650390625,2242.4764075279236,0.2,0.001,0.1462677001953125,0.8292092084884644,0.002852795830767718
30,301.0,983040,1872,524,475.01126,-4.89040443226695,0.019369578,0.2495630383491516,290,1415.20849609375,2627.9938258171082,0.2,0.001,0.1695159912109375,0.8260260820388794,0.0030304928774967264
31,301.0,1015808,1935,524,475.81454,-4.889609845727682,0.015112608,0.203030526638031,300,1331.4525146484375,4226.200944805145,0.2,0.001,0.1183929443359375,0.8268453478813171,0.002036202406452503
