rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/n_updates,train/entropy_loss,train/explained_variance,train/loss,train/value_loss,train/clip_fraction,train/learning_rate,train/std,train/approx_kl,train/clip_range,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
273.91306,372.4492753623188,32768,1,370,88,,,,,,,,,,,,,
610.0,517.55,65536,2,261,250,2480,-1.9379587915260346,0.7076244056224823,740.6254272460938,3235.70211058259,0.12557373046875,0.0001,0.3928448557853699,0.0111401845,0.2,0.0010561182254605229,,
607.0,599.18,98304,3,237,413,2490,-1.924128809501417,0.6024852991104126,239.7257843017578,4537.189474484325,0.135321044921875,0.0001,0.3917849659919739,0.011530568,0.2,0.0004901427974800754,,
809.0,747.6,131072,4,224,583,2500,-1.9164884524652734,0.7493728697299957,208.08560180664062,6266.618889051676,0.117547607421875,0.0001,0.3913470506668091,0.0098912325,0.2,-0.0008369452966690005,,
1289.0,867.82,163840,5,215,761,2510,-1.9135324128204956,0.6519591212272644,403.77862548828125,8433.661128729582,0.128216552734375,0.0001,0.39140230417251587,0.013385581,0.2,-0.0008342761394942499,,
2229.0,1066.62,196608,6,207,947,2520,-1.9115213392535224,0.6921494603157043,692.3502197265625,12009.65235299468,0.089202880859375,0.0001,0.39088913798332214,0.008198438,0.2,0.0009483792310788885,,
2495.0,1048.54,229376,7,202,1133,2530,-1.905836047558114,0.7710275799036026,6778.78857421875,13941.567858958244,0.086541748046875,0.0001,0.3902919292449951,0.009684244,0.2,-0.0004004269851861864,,
2415.0,1092.19,262144,8,199,1315,2540,-1.8994249982759357,0.6998497843742371,963.7998046875,11690.57795059681,0.1065948486328125,0.0001,0.3897010385990143,0.010690853,0.2,-0.0003938142775950837,,
2556.0,1127.36,294912,9,194,1514,2550,-1.8962546800496056,0.7309890687465668,2667.31787109375,30579.886468625067,0.0811553955078125,0.0001,0.38964685797691345,0.008370069,0.2,-0.0013030366638076885,,
2207.0,1158.11,327680,10,191,1711,2560,-1.894051524461247,0.6664490699768066,2841.320068359375,30161.70701673031,0.0995086669921875,0.0001,0.3892795741558075,0.00875993,0.2,0.00018483887399725062,,
2116.0,1093.76,360448,11,188,1909,2570,-1.8889787743799389,0.777925118803978,10652.078125,7057.053030008077,0.1027862548828125,0.0001,0.3887428045272827,0.011966205,0.2,-0.0012282185746471442,,
1123.0,1151.83,393216,12,185,2122,2580,-1.8828199655981734,0.7363409399986267,5037.9853515625,7182.387026602029,0.0979522705078125,0.0001,0.38808125257492065,0.009131574,0.2,-0.001255457833303808,,
332.0,1120.43,425984,13,183,2324,2590,-1.8815249310573563,0.632185697555542,10880.41015625,13229.522891297936,0.151361083984375,0.0001,0.3887483775615692,0.016115827,0.2,0.0015735433139525412,,
1096.0,1152.88,458752,14,182,2519,2600,-1.8833460497437045,0.7710117548704147,13756.6435546875,11498.493924200535,0.090362548828125,0.0001,0.3882071375846863,0.008527283,0.2,-0.0007924965084612267,,
2367.0,1139.51,491520,15,181,2708,2610,-1.8795174269936978,0.7384718060493469,8188.10498046875,17429.63613253832,0.0838348388671875,0.0001,0.3880280554294586,0.008182991,0.2,0.0013054314377313858,,
2464.0,1158.71,524288,16,180,2908,2620,-1.8757531295297667,0.7361841797828674,8174.29052734375,16299.668860292435,0.0606781005859375,0.0001,0.3874898850917816,0.0067492505,0.2,0.0005083750431481348,,
3141.0,1240.66,557056,17,180,3090,2630,-1.8709535229252652,0.23793935775756836,1376.513427734375,354629.0629800797,0.07301025390625,0.0001,0.3871559500694275,0.007347352,0.2,0.0008547010367237817,,
2995.0,1194.08,589824,18,179,3278,2640,-1.8684320774162189,0.4743250608444214,7128.56591796875,153844.32020106315,0.0758575439453125,0.0001,0.3870532810688019,0.007917585,0.2,0.0002701492862343002,,
2556.0,1201.61,622592,19,178,3483,2650,-1.8683562826830893,0.7512288987636566,1005.2151489257812,18565.55686533451,0.0591339111328125,0.0001,0.3871457278728485,0.0065060593,0.2,0.0006287075207637826,,
3663.0,1191.12,655360,20,178,3667,2660,-1.8674827070906759,0.8151420950889587,1140.8280029296875,12834.265882468224,0.0694610595703125,0.0001,0.3868040442466736,0.006774813,0.2,0.0008671315932588186,,
3038.0,1222.49,688128,21,178,3864,2670,-1.866816458827816,0.7299007773399353,8328.6435546875,15830.613826024532,0.074713134765625,0.0001,0.38713765144348145,0.0073422166,0.2,-8.949786297307582e-06,,
3047.0,1192.35,720896,22,177,4070,2680,-1.8677711280761287,0.6161898076534271,4764.390625,69311.78880360126,0.0627960205078125,0.0001,0.3868730068206787,0.0069368356,0.2,2.074703775178932e-05,,
3601.0,1277.26,753664,23,176,4269,2690,-1.8626870898297057,0.6958371996879578,1658.9005126953125,25250.48135020733,0.0723419189453125,0.0001,0.38610413670539856,0.0078297835,0.2,0.0002328094272229464,,
3557.0,1238.12,786432,24,176,4468,2700,-1.8561879672808572,0.7260963916778564,5824.5908203125,22672.866228723527,0.0946197509765625,0.0001,0.3856814503669739,0.009479728,0.2,0.000835881816874462,,
3758.0,1250.22,819200,25,175,4658,2710,-1.854811924486421,0.7513779699802399,15371.1298828125,10971.912660729886,0.063177490234375,0.0001,0.38589048385620117,0.006910787,0.2,-0.00037849658332334,,
3648.0,1296.4,851968,26,175,4866,2720,-1.8537369896890596,0.7464544177055359,99370.15625,17429.202097594738,0.0746795654296875,0.0001,0.385455459356308,0.007536222,0.2,0.0001480800481431288,,
