time/fps,rollout/ep_rew_mean,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/n_updates,train/loss,train/clip_fraction,train/value_loss,train/learning_rate,train/std,train/entropy_loss,train/approx_kl,eval/mean_ep_length,eval/mean_reward
273,246.76717,253952,31,301.0,927,0.2518939971923828,0.2,-0.0005331486025170306,300,3526.495849609375,0.0,9669.835958862304,0.001,0.9389654397964478,-5.421377946436405,0.0002634182,,
273,262.0602,262144,32,301.0,957,0.24500930309295654,0.2,-0.0003444528418185655,310,11995.0126953125,0.0,16054.250401306152,0.001,0.9389709830284119,-5.421703070402145,8.8822024e-05,,
273,372.73386,270336,33,301.0,987,0.2999962568283081,0.2,-6.712368194712326e-05,320,19622.95703125,0.0,18588.50861206055,0.001,0.9389359354972839,-5.421709485352039,8.087991e-05,,
273,448.10684,278528,34,301.0,1017,0.3303130269050598,0.2,4.878362233284861e-07,330,11007.287109375,0.0,28421.824114990235,0.001,0.938949465751648,-5.421622078120708,1.2240016e-05,,
273,446.48767,286720,35,301.0,1047,0.40727365016937256,0.2,-0.00016274597255687694,340,14919.396484375,0.0,23592.573083496092,0.001,0.9388418197631836,-5.421386982500553,4.2027023e-05,,
273,457.54633,294912,36,301.0,1077,0.4518921375274658,0.2,-0.00037604304452543147,350,7449.03759765625,0.0,18541.179666137694,0.001,0.9387827515602112,-5.421012377738952,0.00018360926,,
273,375.77206,303104,37,301.0,1107,0.5326581001281738,0.2,-0.0003375415028131101,360,4523.8408203125,0.0,14979.234131622314,0.001,0.938602864742279,-5.420461285114288,0.00021281064,,
273,387.56726,311296,38,301.0,1137,0.5597861111164093,0.2,-0.00012789944157702847,370,9958.298828125,0.0,17935.604934692383,0.001,0.9383665919303894,-5.419565406441689,6.0062062e-05,,
273,378.38727,319488,39,301.0,1168,0.5833434760570526,0.2,-0.00011301545564492698,380,10418.0771484375,0.0,18905.810176086427,0.001,0.9383015632629395,-5.418967093527317,0.00014845854,,
273,364.59344,327680,40,301.0,1198,0.611139565706253,0.2,-0.00011831870888272533,390,14719.708984375,0.0,18269.969264221192,0.001,0.938292920589447,-5.418787905573845,4.0335057e-05,,
273,391.1426,335872,41,301.0,1228,0.6674054265022278,0.2,-0.00017291760232183151,400,7934.4619140625,0.0,11835.370587158202,0.001,0.9382294416427612,-5.418637749552727,5.9855003e-05,,
273,442.1217,344064,42,301.0,1258,0.5880928337574005,0.2,-1.5572858683299273e-05,410,12920.93359375,0.0,22042.13331298828,0.001,0.9380654096603394,-5.418206280469894,7.2706825e-06,,
273,401.1134,352256,43,301.0,1288,0.6345992982387543,0.2,-3.8300409869407304e-05,420,6277.611328125,0.0,20366.32147216797,0.001,0.9379624128341675,-5.4176094979047775,1.8379324e-05,,
273,501.5951,360448,44,301.0,1318,0.6492524445056915,0.2,-0.00033676453604130073,430,10974.08984375,0.0,19537.412699890137,0.001,0.9379920959472656,-5.417389172315597,0.00010121498,,
