time/fps,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/std,train/value_loss,train/explained_variance,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/entropy_loss,train/clip_fraction,eval/mean_reward,eval/mean_ep_length
315,103,32768,1,293.82,3023.0,,,,,,,,,,,,,
188,347,65536,2,336.38,3581.7,18955.560546875,0.3946162164211273,63456.66405236721,0.25651049613952637,0.0001,0.2,0.005530194067631555,0.015838563,2480,-1.9474544994300231,0.1730224609375,,
167,586,98304,3,323.03,3889.3,4625.3779296875,0.39453184604644775,45663.310950517654,0.5275075435638428,0.0001,0.2,0.002460478323962434,0.012122879,2490,-1.9470479283016175,0.130718994140625,,
158,828,131072,4,322.63,3754.9,24741.607421875,0.3942300081253052,54149.95246181488,0.5693704783916473,0.0001,0.2,0.0015613790157658514,0.009950744,2500,-1.9451186970691197,0.099725341796875,,
153,1068,163840,5,356.62,4842.2,10591.404296875,0.39405179023742676,46320.88630714417,0.6575530767440796,0.0001,0.2,0.0015234838478306756,0.010709971,2510,-1.9426698477123865,0.1107879638671875,,
149,1310,196608,6,371.55,5591.5,5532.46923828125,0.393795907497406,40307.83415675163,0.6917547583580017,0.0001,0.2,0.001376714908337817,0.010324724,2520,-1.9406479223864153,0.1034027099609375,,
147,1554,229376,7,363.4,5239.6,13305.8076171875,0.39339950680732727,39765.23548386097,0.7241229116916656,0.0001,0.2,0.0010478672749400174,0.010879714,2530,-1.9372994552133604,0.1148345947265625,,
145,1796,262144,8,355.32,5799.7,10001.19140625,0.3930698335170746,42046.5890873909,0.7458653151988983,0.0001,0.2,0.0014777366382986656,0.010048347,2540,-1.9335432995227166,0.1003662109375,,
144,2040,294912,9,356.93,6016.8,8465.7666015625,0.3927072286605835,38020.938675785066,0.779045045375824,0.0001,0.2,0.002308785609665165,0.009297995,2550,-1.9299951467546634,0.0976470947265625,,
143,2282,327680,10,358.93,5856.0,10182.3037109375,0.3926398754119873,34307.46384055614,0.7966085374355316,0.0001,0.2,0.00109471525859135,0.008806489,2560,-1.9274699187953956,0.0855804443359375,,
142,2525,360448,11,352.69,5965.4,4669.4287109375,0.3923148512840271,37655.56167390347,0.8042524307966232,0.0001,0.2,0.0016195798986245792,0.009139819,2570,-1.925501862843521,0.098236083984375,,
141,2770,393216,12,370.57,6609.2,16515.3671875,0.3919669985771179,42441.53509528637,0.8057206869125366,0.0001,0.2,0.0010241397377740214,0.009282545,2580,-1.9220305631984957,0.092315673828125,,
141,3014,425984,13,353.76,6156.3,3085.0234375,0.39158445596694946,33982.04810557365,0.8314862251281738,0.0001,0.2,0.0013211633171977156,0.010478172,2590,-1.918447696196381,0.1016265869140625,,
140,3257,458752,14,344.16,6117.8,6906.9052734375,0.3914259076118469,38350.41497471333,0.7982173562049866,0.0001,0.2,0.0021975948131284897,0.010343436,2600,-1.9155769889475778,0.1028778076171875,,
140,3504,491520,15,358.42,6367.8,4233.494140625,0.391320139169693,41565.3372887373,0.7783932387828827,0.0001,0.2,0.0014082836348165984,0.009476706,2610,-1.914255569363013,0.0952972412109375,,
139,3752,524288,16,375.52,6837.8,4503.08349609375,0.39093875885009766,40876.93662769794,0.7750426828861237,0.0001,0.2,0.0027425195501450616,0.010659665,2620,-1.9117247661575676,0.1130767822265625,,
139,4002,557056,17,359.34,6385.4,10102.1220703125,0.39059141278266907,38523.47743179798,0.7874816805124283,0.0001,0.2,0.002231643441359665,0.009345343,2630,-1.9079212439246476,0.0927764892578125,,
138,4246,589824,18,378.16,6974.2,6071.5537109375,0.3904522657394409,45880.71640079022,0.7623571753501892,0.0001,0.2,0.002065814535194477,0.009934165,2640,-1.905515252763871,0.100439453125,,
138,4489,622592,19,357.58,6670.7,7613.87890625,0.3905211389064789,39793.83236899376,0.7393770515918732,0.0001,0.2,0.001979243055762936,0.010377971,2650,-1.904918426484801,0.1125457763671875,,
138,4735,655360,20,369.64,6832.9,8923.9755859375,0.3903034031391144,41192.890673422815,0.7552918493747711,0.0001,0.2,0.0028234961080670475,0.009444557,2660,-1.9046155198826455,0.10074462890625,,
138,4980,688128,21,336.9,6112.8,13930.474609375,0.3901413083076477,50470.55860221386,0.7303428947925568,0.0001,0.2,0.0028094237847767546,0.01017486,2670,-1.9026172349811532,0.1034637451171875,,
137,5227,720896,22,367.42,7055.8,6046.8681640625,0.3899506628513336,47658.64430584908,0.7206096947193146,0.0001,0.2,0.0027553150658945922,0.011680035,2680,-1.9008503494551405,0.124346923828125,,
137,5472,753664,23,380.02,6966.0,6541.2587890625,0.3899090588092804,47047.13236579895,0.6886511147022247,0.0001,0.2,0.0015542092993314327,0.009554306,2690,-1.8994010338676162,0.0930572509765625,,
137,5719,786432,24,371.84,6867.1235,8788.046875,0.3897697329521179,47632.44739937782,0.7101443707942963,0.0001,0.2,0.0007420815705756923,0.008962845,2700,-1.8987135502509773,0.08980712890625,,
137,5965,819200,25,404.86,7858.0,3751.01806640625,0.3895259499549866,40603.82352731228,0.7162639498710632,0.0001,0.2,-0.00037324663977642556,0.008919757,2710,-1.8966776423039846,0.0901153564453125,,
137,6215,851968,26,420.86,7952.2,1860.521484375,0.3893928825855255,32091.535720682143,0.7555159330368042,0.0001,0.2,0.0007372928225663599,0.008493908,2720,-1.8946874019107782,0.080279541015625,,
136,6461,884736,27,383.4,7038.5,6672.55859375,0.3891003429889679,29210.934296154977,0.7959797233343124,0.0001,0.2,0.0007581891081827052,0.008928584,2730,-1.8929044616757893,0.097393798828125,,
136,6706,917504,28,391.99,7232.1,5450.6376953125,0.3888750672340393,33947.021238565445,0.7742036283016205,0.0001,0.2,0.0012559606054537652,0.008726917,2740,-1.8901960931834765,0.0837066650390625,,
136,6954,950272,29,400.16,7506.6,5107.02734375,0.38833603262901306,37715.406546664235,0.7288813889026642,0.0001,0.2,0.0017384760852337422,0.00934481,2750,-1.8863380401744507,0.09322509765625,,
136,7201,983040,30,409.65,7511.0,25121.30078125,0.38815635442733765,34078.362333393095,0.7633542567491531,0.0001,0.2,0.0006770602028495886,0.007990792,2760,-1.882344213151373,0.07923583984375,,
136,7448,1015808,31,423.39,7996.7,3303.092041015625,0.38794806599617004,40147.685975241664,0.7330728769302368,0.0001,0.2,0.0011969993841717042,0.008754719,2770,-1.8800959460437299,0.085345458984375,,
136,7695,1048576,32,409.99,7882.7,4609.296875,0.3878891170024872,37884.14354603291,0.7386984527111053,0.0001,0.2,0.0003270179627293146,0.008732614,2780,-1.8786723967990837,0.0839752197265625,,
136,7942,1081344,33,418.05,7959.5,5186.91650390625,0.38777363300323486,38290.59269688129,0.7248174250125885,0.0001,0.2,0.001240583857247657,0.008492546,2790,-1.8776537324069067,0.0806427001953125,,
136,8187,1114112,34,392.84,7393.1,4312.14208984375,0.3877486288547516,38560.71816968918,0.7117150723934174,0.0001,0.2,0.0008384873652630631,0.009390444,2800,-1.8770260239369236,0.0904876708984375,,
135,8434,1146880,35,392.81,7420.9,5415.01904296875,0.3875327408313751,37051.47758071423,0.7299948930740356,0.0001,0.2,0.0014481919847298742,0.008731932,2810,-1.8757799914106728,0.0941436767578125,,
135,8680,1179648,36,394.36,7467.0,9139.4228515625,0.3873305916786194,39310.654842352866,0.7088862061500549,0.0001,0.2,0.001894260634753664,0.009005612,2820,-1.873606608074624,0.092529296875,,
135,8925,1212416,37,404.69,7722.7,4179.0283203125,0.38699859380722046,39120.03956594467,0.7480528056621552,0.0001,0.2,0.001419029131886873,0.008748775,2830,-1.870927764091175,0.0924530029296875,,
135,9170,1245184,38,422.61,8024.8,3395.728759765625,0.3868235647678375,37786.082142162326,0.7347709238529205,0.0001,0.2,0.0008050593107441273,0.009113349,2840,-1.8682336047524586,0.0895263671875,,
135,9419,1277952,39,415.83,7841.4,4202.8251953125,0.3866063356399536,31780.979552721976,0.7647833526134491,0.0001,0.2,0.0011463048147788868,0.008095047,2850,-1.8661865852307529,0.0920989990234375,,
135,9664,1310720,40,426.56,8061.1,3347.490234375,0.3862852454185486,34243.66384131908,0.7622227221727371,0.0001,0.2,0.0019493464469860556,0.009241694,2860,-1.8634185730013997,0.0990478515625,,
135,9908,1343488,41,405.4,7731.6,4283.294921875,0.3862590491771698,31203.26977870464,0.7689280658960342,0.0001,0.2,0.0015952978294308195,0.008735683,2870,-1.8614106848370284,0.090167236328125,,
135,10153,1376256,42,419.77,8039.3,4161.8291015625,0.3859766721725464,34574.488293385504,0.7693823724985123,0.0001,0.2,0.0013935874686239913,0.009122137,2880,-1.8600716113229283,0.098785400390625,,
135,10396,1409024,43,421.02,7980.7,5087.974609375,0.38576364517211914,28144.652557873727,0.789535328745842,0.0001,0.2,0.00040518436617276166,0.0076322965,2890,-1.8576391565264203,0.0690521240234375,,
135,10639,1441792,44,432.65,8295.6,4763.74951171875,0.38566702604293823,35421.334383201596,0.7526749819517136,0.0001,0.2,0.00048170931831919005,0.00897494,2900,-1.8559757193084807,0.095623779296875,,
135,10881,1474560,45,393.02,7430.9,2956.66259765625,0.3854290246963501,33580.50827076435,0.7660643607378006,0.0001,0.2,0.0006621268966796378,0.00779482,2910,-1.854592755588237,0.078228759765625,,
135,11126,1507328,46,404.66,7639.2,3498.595947265625,0.3851551115512848,38560.91441924572,0.7572070211172104,0.0001,0.2,0.001502269997968142,0.0083968025,2920,-1.8519883092259988,0.0887664794921875,,
