time/iterations,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/clip_range,train/explained_variance,train/approx_kl,train/value_loss,train/loss,train/n_updates,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/std,train/clip_fraction,eval/mean_ep_length,eval/mean_reward
1,549,32768,59,-91.952675,301.0,,,,,,,,,,,,,
2,530,65536,123,-71.8338,301.0,0.2,-3.6716461181640625e-05,0.004150226,2060.1229708731175,501.6901550292969,10,-5.678719937056303,0.001,0.0040770107336356885,1.000051498413086,0.1576202392578125,,
3,530,98304,185,-51.96417,301.0,0.2,0.04400289058685303,0.0044226144,791.1295493245125,117.77242279052734,20,-5.67516627907753,0.001,-0.003559416075950139,0.998488187789917,0.0418487548828125,,
4,531,131072,246,70.664345,301.0,0.2,0.05717313289642334,0.005138378,1104.5762796461581,144.2947998046875,30,-5.664948995038867,0.001,-0.0026114449730812337,0.9971413612365723,0.0346221923828125,,
5,531,163840,308,136.74678,301.0,0.2,0.05023568868637085,0.0059949784,1153.0306948125362,202.36904907226562,40,-5.663579089939594,0.001,-0.002489842709837831,0.9953639507293701,0.04810791015625,,
6,532,196608,369,52.010853,301.0,0.2,-0.014857649803161621,0.0060488307,2066.4206592440605,1418.5711669921875,50,-5.654974694922567,0.001,-0.0012588786896230886,0.9959542155265808,0.0458099365234375,,
7,532,229376,430,148.22807,301.0,0.2,-0.05831122398376465,0.0077643967,1043.0387985885143,572.7762451171875,60,-5.654486938938499,0.001,-0.002335785821014724,0.9925412535667419,0.0624603271484375,,
8,531,262144,492,235.3589,299.47,0.2,-0.011676669120788574,0.006808008,1141.8540190577507,185.03688049316406,70,-5.615622474253177,0.001,-0.0021600057056275546,0.9875507354736328,0.0768310546875,,
9,528,294912,557,353.12268,301.0,0.2,-0.0028874874114990234,0.008604692,2309.3252054452896,833.6447143554688,80,-5.608072929084301,0.001,4.60266555819544e-05,0.9802250862121582,0.1023590087890625,,
10,526,327680,622,461.0208,301.0,0.2,-0.019057393074035645,0.009009764,1966.4591527104378,147.44821166992188,90,-5.5793544191867115,0.001,0.00030542622025677704,0.9764663577079773,0.0973541259765625,,
