rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/iterations,train/n_updates,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/explained_variance,train/approx_kl,train/entropy_loss,train/clip_range,train/std,train/loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
-233.80055,56,309.3333333333333,8192,143,1,,,,,,,,,,,,,
-10.318077,57,311.0,16384,282,2,2480,0.001113426056690514,12803.4505859375,0.06072998046875,-0.17461228370666504,0.0070629604,-1.9473514795303344,0.2,0.39457881450653076,3410.312255859375,0.0001,,
67.29062,59,313.987012987013,24576,415,3,2490,9.478212741669268e-05,11952.169677734375,0.05970458984375,-0.35827720165252686,0.009908319,-1.9472952723503112,0.2,0.39459192752838135,3667.96142578125,0.0001,,
67.909874,59,313.0,32768,550,4,2500,0.0006554963416419924,7452.893420410156,0.04185791015625,0.05523192882537842,0.007027085,-1.9474680155515671,0.2,0.39461037516593933,2705.01806640625,0.0001,,
110.59658,59,311.0,40960,688,5,2510,0.0008393248775973916,6727.1467956542965,0.0452880859375,-0.27065300941467285,0.008448894,-1.9474213540554046,0.2,0.39458930492401123,1973.29638671875,0.0001,,
49.01149,59,309.0,49152,827,6,2520,-0.0003257983014918864,2335.698776245117,0.03577880859375,-0.03918111324310303,0.0078035872,-1.9471688359975814,0.2,0.3945631980895996,700.9131469726562,0.0001,,
-52.620716,59,305.0,57344,964,7,2530,-0.0008404468360822647,6702.808898925781,0.0419677734375,0.1386834979057312,0.00478113,-1.9469361931085587,0.2,0.3945862948894501,2133.0751953125,0.0001,,
-91.099915,59,304.0,65536,1105,8,2540,-0.0001467450230848044,1477.2564025878905,0.0400634765625,-0.01293933391571045,0.0053477413,-1.9474228411912917,0.2,0.3947531580924988,467.1115417480469,0.0001,,
-100.65929,58,305.0,73728,1251,9,2550,0.001332874596118927,1206.0162048339844,0.05225830078125,0.1341375708580017,0.006288169,-1.9488788306713105,0.2,0.3946928381919861,366.3528747558594,0.0001,,
-119.100685,58,304.0,81920,1405,10,2560,0.0005193986056838184,2582.090612792969,0.05867919921875,0.10184723138809204,0.0074493326,-1.947556883096695,0.2,0.39466384053230286,868.8663940429688,0.0001,,
-158.00623,57,304.0,90112,1558,11,2570,-0.00199266109848395,2347.2336395263674,0.055615234375,0.132948100566864,0.007699695,-1.947639361023903,0.2,0.39467746019363403,1094.6483154296875,0.0001,,
-121.790436,57,304.0,98304,1712,12,2580,-0.0015205495903501288,986.6293716430664,0.0332275390625,0.12041968107223511,0.0038555914,-1.9477475821971892,0.2,0.3947877883911133,373.1921081542969,0.0001,,
-87.73142,57,305.0,106496,1866,13,2590,-0.0011110005842056125,719.548681640625,0.0350830078125,0.2215481996536255,0.004309838,-1.9486628830432893,0.2,0.39474767446517944,274.71649169921875,0.0001,,
-37.754074,56,305.0,114688,2019,14,2600,-0.001639187807450071,6688.174157714844,0.05306396484375,0.15103131532669067,0.008789458,-1.9476389706134796,0.2,0.3946155607700348,3325.94091796875,0.0001,,
72.06786,56,308.0,122880,2173,15,2610,-0.002420200943015516,668.9755004882812,0.06510009765625,0.2985718846321106,0.007329122,-1.9474421620368958,0.2,0.39482641220092773,233.8068389892578,0.0001,,
161.14584,56,311.0,131072,2318,16,2620,-0.0017073491180781275,6928.584143066406,0.0572021484375,0.3084179162979126,0.00640755,-1.9493663787841797,0.2,0.394888699054718,2681.568359375,0.0001,,
