rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/iterations,train/explained_variance,train/learning_rate,train/clip_range,train/clip_fraction,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/std,train/approx_kl,train/value_loss,train/loss,eval/mean_reward,eval/mean_ep_length
-727.08405,413,851968,2057,301.0,26,0.6997070908546448,0.001,0.2,0.11490478515625,1480,-3.585908128321171,-0.00025716223262861604,0.5947343707084656,0.0115193855,2864.6501960754395,439.84942626953125,,
-530.6914,414,884736,2136,301.0,27,0.6238120496273041,0.001,0.2,0.121343994140625,1490,-3.576081946492195,0.0011098454877355834,0.5935977101325989,0.010746896,3247.5689180374147,551.7117919921875,,
-759.0923,414,917504,2215,300.9,28,0.6057715117931366,0.001,0.2,0.1206695556640625,1500,-3.566030390560627,-0.0005135438397701364,0.5915359258651733,0.011601948,3834.9729766845703,808.198486328125,,
-802.7873,414,950272,2293,297.01,29,0.6653007566928864,0.001,0.2,0.119256591796875,1510,-3.5555492214858533,-3.245997831982095e-05,0.5908730626106262,0.010883932,3330.2767013549806,732.7019653320312,,
-627.53326,414,983040,2372,300.53,30,0.7354183793067932,0.001,0.2,0.11993408203125,1520,-3.5481966473162174,0.00020848257227044087,0.5894213318824768,0.010869706,3155.272000694275,522.62744140625,,
-571.94916,414,1015808,2451,300.81,31,0.6194135844707489,0.001,0.2,0.1051361083984375,1530,-3.5346276871860027,-0.00036262662724766414,0.5867531895637512,0.0104962345,3723.3638118743897,669.9456787109375,,
-694.15234,414,1048576,2530,300.01,32,0.6577554941177368,0.001,0.2,0.1248626708984375,1540,-3.5207285694777966,0.001432951974311436,0.5855124592781067,0.011143094,3484.247568893433,542.6118774414062,,
-679.8322,414,1081344,2608,300.17,33,0.6159398257732391,0.001,0.2,0.1342193603515625,1550,-3.510592234879732,0.00024232993964687922,0.5836722254753113,0.012742205,3580.7111751556395,815.943115234375,,
-756.1926,414,1114112,2687,295.68,34,0.6797602772712708,0.001,0.2,0.121343994140625,1560,-3.501428075134754,0.0015879830072663026,0.5824081897735596,0.011923701,2929.789845275879,546.8915405273438,,
-649.60944,414,1146880,2766,300.77,35,0.7075091302394867,0.001,0.2,0.1066986083984375,1570,-3.485536576062441,0.0006022694473358569,0.5786354541778564,0.010529766,2745.9443073272705,589.0021362304688,,
-773.7519,414,1179648,2845,295.24,36,0.6969344913959503,0.001,0.2,0.1086761474609375,1580,-3.468712654709816,-0.00023424903320119484,0.5776405334472656,0.010358632,3067.7328313827516,750.2646484375,,
-569.71906,414,1212416,2924,298.6,37,0.7160724401473999,0.001,0.2,0.10753173828125,1590,-3.4603021435439585,0.0003801397222559899,0.5764288902282715,0.010466697,2797.9701599121095,578.7176513671875,,
-585.1732,414,1245184,3002,298.03,38,0.7222752869129181,0.001,0.2,0.1004058837890625,1600,-3.450173506140709,0.0015079259866979556,0.5745784044265747,0.009531893,3576.6037052154543,692.8317260742188,,
-525.1246,414,1277952,3080,297.79,39,0.7544464021921158,0.001,0.2,0.096844482421875,1610,-3.438789951056242,0.0013781064450085977,0.573013424873352,0.009064777,3176.034419250488,766.4249267578125,,
-599.2379,414,1310720,3159,296.03,40,0.7227881848812103,0.001,0.2,0.104193115234375,1620,-3.4288154505193233,0.0006913443667144747,0.5716977119445801,0.010680344,3906.227758407593,681.3638305664062,,
-676.9281,414,1343488,3237,301.0,41,0.7327132523059845,0.001,0.2,0.121209716796875,1630,-3.4219781287014484,0.0018823417358362349,0.5711382627487183,0.012183495,3529.479344367981,690.3316650390625,,
-476.68387,415,1376256,3316,297.2,42,0.7213012874126434,0.001,0.2,0.11573486328125,1640,-3.4181507751345634,0.001153762446483597,0.5704821944236755,0.010520361,3049.4590911865234,458.843994140625,,
-462.0448,415,1409024,3394,294.46,43,0.7661562860012054,0.001,0.2,0.130322265625,1650,-3.4147022321820257,0.002354954832480871,0.5704200863838196,0.011834774,3413.292922210693,1020.9453735351562,,
-667.43976,415,1441792,3473,298.26,44,0.7777353525161743,0.001,0.2,0.0994873046875,1660,-3.4137645244598387,0.0001861522687249817,0.5700145363807678,0.009172913,3015.286674308777,643.4596557617188,,
-586.0471,415,1474560,3551,300.54,45,0.778637558221817,0.001,0.2,0.1148956298828125,1670,-3.4062676809728147,-0.00010070585121866316,0.5682381987571716,0.009758728,3138.684740447998,588.7060546875,,
-411.433,415,1507328,3630,298.19,46,0.7446718215942383,0.001,0.2,0.121722412109375,1680,-3.3989268273115156,-0.00014235330891096965,0.567930281162262,0.011229107,3697.303440093994,1630.6116943359375,,
-337.88486,415,1540096,3709,296.63,47,0.7525190263986588,0.001,0.2,0.106610107421875,1690,-3.3933581955730916,0.0031178807381365913,0.5667200684547424,0.009941569,3390.3243810653685,532.8451538085938,,
-558.2187,415,1572864,3787,298.35,48,0.7453613877296448,0.001,0.2,0.097833251953125,1700,-3.384940952062607,0.0009089652889088029,0.5655502080917358,0.009712858,4353.233081054687,1229.3741455078125,,
,,1600000,,,,0.739885151386261,0.001,0.2,0.099658203125,1710,-3.3804905958473683,0.0008405034728639294,0.5654879212379456,0.009291846,3701.6179122924805,541.667236328125,-1053.7464599609375,171.26
-706.805,410,1605632,3909,294.77,49,,,,,,,,,,,,,
-485.5387,410,1638400,3987,299.89,50,0.6344893276691437,0.001,0.2,0.1522857666015625,1720,-3.3781733997166157,0.003484337089503242,0.5646196603775024,0.015362685,4539.700483703613,937.2860717773438,,
-617.0931,411,1671168,4066,300.97,51,0.7053828537464142,0.001,0.2,0.1166473388671875,1730,-3.3720842711627483,0.0008072233387792949,0.5638546943664551,0.010343591,3506.8174472808837,1088.0806884765625,,
