rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/clip_fraction,train/std,train/entropy_loss,train/loss,train/learning_rate,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/n_updates,train/clip_range
721.49384,281,32768,351.26506024096386,116,1,,,,,,,,,,,
1330.3684,244,65536,406.38,268,2,0.1271453857421875,0.39435335993766785,-1.9461999197024853,27860.68359375,0.0001,0.01238468,0.03021615743637085,0.002587612582374277,52639.6668964386,2480,0.2
1809.7421,227,98304,464.98,432,3,0.14068603515625,0.39438530802726746,-1.9450599106494337,8052.82763671875,0.0001,0.01395759,0.34898024797439575,0.003469561567862911,41838.763331604,2490,0.2
1587.6003,222,131072,453.36,589,4,0.080950927734375,0.394339382648468,-1.9449818152002991,10818.6015625,0.0001,0.00848657,0.4560493230819702,0.0022371926691903353,38372.46048736572,2500,0.2
1660.8157,219,163840,473.17,746,5,0.070477294921875,0.39438682794570923,-1.9450136272236704,17578.91796875,0.0001,0.007672958,0.4971153736114502,-0.0007763418940157863,40988.90549507141,2510,0.2
1883.5101,217,196608,516.6,904,6,0.0829193115234375,0.39426326751708984,-1.944536687573418,7612.3466796875,0.0001,0.008570304,0.6072474420070648,0.0013230590804596432,32178.506681823732,2520,0.2
2007.0294,216,229376,531.04,1058,7,0.0637603759765625,0.39417779445648193,-1.9434257237240673,8420.9560546875,0.0001,0.0074685565,0.6765347719192505,0.000260589169602099,34158.498271179196,2530,0.2
2094.5593,216,262144,550.25,1213,8,0.0644256591796875,0.39393171668052673,-1.9417864785995333,4405.216796875,0.0001,0.007102235,0.7335105836391449,0.0004309595422455459,26628.23015422821,2540,0.2
