time/fps,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/std,train/value_loss,train/explained_variance,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/entropy_loss,train/clip_fraction
324,100,32768,1,305.39,3062.1626,,,,,,,,,,,
278,235,65536,2,289.82,2924.7,24962.38671875,0.39453211426734924,73315.37609558106,0.26874643564224243,0.0001,0.2,0.0024509784502242836,0.0146890525,2480,-1.9471775856800377,0.1571685791015625
265,370,98304,3,324.31,3307.2,18817.189453125,0.39439821243286133,69360.2785331726,0.4458746910095215,0.0001,0.2,0.0014036848569958238,0.00991131,2490,-1.9461092557292432,0.08917236328125
259,504,131072,4,340.0,3933.4,14584.4453125,0.394314706325531,53482.04771881104,0.5909518301486969,0.0001,0.2,0.0009209950790136645,0.008976512,2500,-1.945020214887336,0.0840057373046875
256,638,163840,5,315.23,3579.587,21127.837890625,0.39434558153152466,54010.43176612854,0.6418938338756561,0.0001,0.2,0.001255790290861114,0.00872205,2510,-1.9446306920144707,0.078076171875
254,774,196608,6,342.91,4055.7,10890.4130859375,0.3942791819572449,54370.56230773926,0.6771426498889923,0.0001,0.2,-0.0006206925234891969,0.008029551,2520,-1.9444539178628475,0.0775390625
252,910,229376,7,363.29,4429.4473,11627.0048828125,0.39421558380126953,47508.98900375366,0.7314868569374084,0.0001,0.2,0.0010450338750160881,0.00849644,2530,-1.9436964323744177,0.08826904296875
250,1045,262144,8,367.97,5154.1714,10811.3974609375,0.39417964220046997,48744.77840805054,0.7515898495912552,0.0001,0.2,0.00019569850892366957,0.008297993,2540,-1.9431225067470224,0.07808837890625
249,1180,294912,9,359.53,5215.9,13252.6171875,0.39412614703178406,41672.529920959474,0.7729565054178238,0.0001,0.2,0.000903452624061174,0.008259248,2550,-1.9426851777359844,0.0770782470703125
249,1315,327680,10,368.1,5829.4,19062.708984375,0.39408737421035767,48459.215270996094,0.7580690681934357,0.0001,0.2,-0.0005961239593943902,0.0075784335,2560,-1.9422627903521061,0.0692962646484375
248,1450,360448,11,361.96,5950.9,15119.79296875,0.3940073847770691,42967.95053825378,0.8043586015701294,0.0001,0.2,-8.71258438564837e-05,0.0076324255,2570,-1.9416524815838785,0.07080078125
247,1585,393216,12,364.36,6130.2,10917.6474609375,0.3939157724380493,45404.49778251648,0.8090491890907288,0.0001,0.2,0.0008359235820989853,0.006764059,2580,-1.94077736036852,0.0566253662109375
247,1720,425984,13,359.33,6097.4,10111.8662109375,0.39377474784851074,41837.60828552246,0.8378815948963165,0.0001,0.2,0.00024379689257330027,0.0075491816,2590,-1.9395660899579525,0.069775390625
247,1855,458752,14,363.18,6424.1,12947.0791015625,0.3937426209449768,47506.14258880615,0.7964459508657455,0.0001,0.2,0.00012927834686706773,0.0067899916,2600,-1.9386634234339,0.05777587890625
246,1993,491520,15,384.83,6519.294,15580.3935546875,0.39364272356033325,43643.73730506897,0.8116362541913986,0.0001,0.2,-8.436886732852145e-05,0.006550813,2610,-1.937980878353119,0.0588958740234375
245,2131,524288,16,370.0,6594.6,9009.447265625,0.3934567868709564,40264.06272811889,0.8251442313194275,0.0001,0.2,0.0006282189835474128,0.006800571,2620,-1.9366276265121996,0.0619781494140625
243,2285,557056,17,370.72,6598.1,8564.7001953125,0.3934646546840668,40772.20973854065,0.8371529430150986,0.0001,0.2,0.0013734028655107977,0.0075713266,2630,-1.9355468129273503,0.0659271240234375
237,2485,589824,18,378.74,6667.2,8640.482421875,0.39339473843574524,42635.286544799805,0.8134614378213882,0.0001,0.2,0.000600600747475255,0.007427797,2640,-1.9352943153120576,0.062908935546875
237,2626,622592,19,371.56,6904.3,14366.8857421875,0.393200159072876,36903.96700897217,0.8523079007863998,0.0001,0.2,0.0012320202796217926,0.007815142,2650,-1.9340535803232342,0.068731689453125
236,2767,655360,20,386.43,6984.9,8312.4013671875,0.3931461572647095,37435.79589805603,0.8291662633419037,0.0001,0.2,-5.732249364882591e-05,0.005319652,2660,-1.9326377465389668,0.0382354736328125
236,2907,688128,21,391.65,6998.5,7220.662109375,0.39315685629844666,36675.29448852539,0.8548714518547058,0.0001,0.2,0.0005955382327556436,0.007225851,2670,-1.932400267245248,0.0553558349609375
236,3048,720896,22,382.03,7005.8,12070.6396484375,0.39300820231437683,40763.55511856079,0.8050414025783539,0.0001,0.2,0.0010369973164870317,0.0064204326,2680,-1.931731458287686,0.0647308349609375
236,3184,753664,23,397.92,7251.5,8778.703125,0.39283835887908936,35420.016047668454,0.854375571012497,0.0001,0.2,0.001536195226253767,0.006448569,2690,-1.9301921562291682,0.0572418212890625
236,3322,786432,24,384.5,7138.9,9100.6669921875,0.39261749386787415,32700.761646270752,0.8531115800142288,0.0001,0.2,0.00021425204195111292,0.0069705714,2700,-1.928316555544734,0.0577545166015625
236,3462,819200,25,382.3,6677.9,10527.8623046875,0.39245158433914185,36049.730416488645,0.8505693972110748,0.0001,0.2,0.0007525276542310166,0.0061502038,2710,-1.926267176354304,0.0469085693359375
236,3603,851968,26,392.99,7001.9,6437.9462890625,0.3923114836215973,40049.37524795532,0.8415969759225845,0.0001,0.2,0.0005431180294181104,0.006742049,2720,-1.924638352356851,0.0561065673828125
