time/iterations,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/entropy_loss,train/approx_kl,train/explained_variance,train/n_updates,train/loss,train/value_loss,train/clip_range,train/learning_rate,train/clip_fraction,train/std,train/policy_gradient_loss
1,301.0,32768,58,556,-230.61113,,,,,,,,,,,
2,301.0,65536,178,366,-124.0488,-5.655656863935292,0.008604722,-3.123283386230469e-05,10,44.84989547729492,92.81860539615154,0.2,0.001,0.18582763671875,0.9920055270195007,-0.008252894779116105
3,301.0,98304,309,317,-27.86045,-5.6358226062729955,0.009835018,0.2897450923919678,20,51.157108306884766,111.6629088819027,0.2,0.001,0.163909912109375,0.9869087934494019,-0.01883862504564604
4,301.0,131072,441,297,123.907394,-5.602270819060505,0.010381235,0.41093623638153076,30,62.048797607421875,124.63006845414638,0.2,0.001,0.1746368408203125,0.9778861999511719,-0.01969536790766142
5,301.0,163840,574,285,192.06255,-5.541669767349958,0.010561043,0.12978041172027588,40,124.01982116699219,1540.3631332218647,0.2,0.001,0.1556427001953125,0.9642983078956604,-0.011034967070463609
6,301.0,196608,706,278,157.65073,-5.501257304847241,0.009846903,0.0688353180885315,50,1226.24267578125,3232.421157771349,0.2,0.001,0.12110595703125,0.9582644104957581,-0.004507817084186172
7,301.0,229376,838,273,52.292618,-5.480003606900572,0.008237314,0.023423850536346436,60,469.0375061035156,3348.994208395481,0.2,0.001,0.103533935546875,0.9484058618545532,-0.0022918628532124785
8,301.0,262144,970,270,84.53489,-5.422915587387979,0.006565858,0.22057360410690308,70,116.56149291992188,796.168878018856,0.2,0.001,0.07904052734375,0.9349145293235779,-0.0031977402376924145
9,301.0,294912,1103,267,28.522398,-5.356516641750932,0.0072848205,0.2747049331665039,80,107.60283660888672,1305.5729519307613,0.2,0.001,0.085162353515625,0.9258204102516174,-0.003232617137973648
10,301.0,327680,1236,264,86.023445,-5.37004830185324,0.005244512,0.5961667895317078,90,96.78252410888672,542.2573925137519,0.2,0.001,0.071783447265625,0.9280998110771179,-0.002676812485424307
