time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/clip_range,train/entropy_loss,train/value_loss,train/clip_fraction,train/n_updates,train/loss,train/learning_rate,train/std,eval/mean_reward,eval/mean_ep_length
3841,50,1638400,301.0,475.011,426,0.004492860098707752,0.15267568826675415,0.010518257,0.2,-4.287431308627129,4618.302071094513,0.1706146240234375,490,846.9469604492188,0.001,0.7168048620223999,,
3918,51,1671168,301.0,494.94025,426,-0.0010865272548471693,0.21589845418930054,0.013165362,0.2,-4.239267752692103,2910.6428056001664,0.1785919189453125,500,463.0865478515625,0.001,0.7132972478866577,,
3994,52,1703936,301.0,535.06885,426,0.002186061308475473,0.20598775148391724,0.018290628,0.2,-4.218042255565524,3126.0750468969345,0.255645751953125,510,441.9627380371094,0.001,0.7044680118560791,,
4071,53,1736704,301.0,390.4399,426,0.005197564031823277,0.08265691995620728,0.02155273,0.2,-4.167263105139137,4544.272294807434,0.21766357421875,520,1107.983642578125,0.001,0.69645756483078,,
4148,54,1769472,301.0,348.90146,426,0.00136368361154382,0.24308723211288452,0.01742857,0.2,-4.1131339393556114,2942.950717020035,0.1833526611328125,530,386.9135437011719,0.001,0.6872133612632751,,
4225,55,1802240,301.0,468.51718,426,-0.001985116860578273,0.41804081201553345,0.0137908505,0.2,-4.070676980540156,1640.6080091953277,0.1593414306640625,540,2486.609130859375,0.001,0.6806833148002625,,
4304,56,1835008,301.0,567.6816,426,-0.0019493797179165994,0.23532551527023315,0.013618671,0.2,-4.019124814867974,2996.3282503128053,0.1636444091796875,550,925.4871826171875,0.001,0.6728137731552124,,
4385,57,1867776,301.0,586.4827,425,-5.8278369670006215e-05,0.19030582904815674,0.014739476,0.2,-3.9624695988371967,4326.610470676422,0.16947021484375,560,2903.6171875,0.001,0.6620430946350098,,
4490,58,1900544,301.0,500.7684,423,0.002253731143218829,0.23633939027786255,0.010082564,0.2,-3.930844705924392,4655.202820396424,0.12904052734375,570,2341.729248046875,0.001,0.6597341895103455,,
4567,59,1933312,301.0,360.2794,423,0.002569681341492469,0.3522512912750244,0.011044207,0.2,-3.9004319120198487,2737.5759213924407,0.13560791015625,580,638.0219116210938,0.001,0.6539160013198853,,
4643,60,1966080,301.0,479.68942,423,0.00040885583166527795,0.38284194469451904,0.011416963,0.2,-3.8628486489877103,2900.958683347702,0.173541259765625,590,496.142333984375,0.001,0.651238203048706,,
4719,61,1998848,301.0,509.43652,423,0.0031184135701550985,0.37113237380981445,0.00907634,0.2,-3.8596483470872043,2606.7022416114805,0.1551177978515625,600,962.658447265625,0.001,0.6508227586746216,,
4797,62,2031616,301.0,497.41446,423,0.003096061684664164,0.299685001373291,0.00911167,0.2,-3.850232828781009,2872.5952632904055,0.1242828369140625,610,2013.051513671875,0.001,0.6492483019828796,,
