time/iterations,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_fraction,train/entropy_loss,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/std,train/clip_range,train/explained_variance,train/loss,train/learning_rate,train/value_loss
1,32768,568,57,301.0,-237.69215,,,,,,,,,,,
2,65536,444,147,178.7,-5420.3857,0.9941253662109375,-5.920836838707328,32.80525,10,0.3135490975873836,1.068893313407898,0.2,0.00017321109771728516,37.50229263305664,0.01,94.25743978470564
3,98304,372,263,178.77,-4327.398,0.912933349609375,-5.832041034847498,62.184002,20,0.2018216805448901,1.037917137145996,0.2,5.960464477539063e-08,1152673.375,0.01,1656224.2002197267
4,131072,339,386,301.0,-572.97345,0.9878143310546875,-5.867488089948893,64.98601,30,0.15916239383041103,1.0526902675628662,0.2,-1.1920928955078125e-07,702476.125,0.01,1527735.185394287
5,163840,338,483,213.66,-9282.179,0.9892852783203125,-6.131709626689553,169.06223,40,0.21434194823305006,1.1242308616638184,0.2,0.0,3030.415283203125,0.01,10562.78692264557
6,196608,321,611,301.0,-567.4277,0.98408203125,-6.39392228461802,67.586975,50,0.20443192320726666,1.2003148794174194,0.2,0.0,1599026.5,0.01,3115184.413964844
7,229376,321,713,175.41,-7532.726,0.9875885009765625,-6.51913093496114,93.27978,60,0.21483786101998703,1.2418596744537354,0.2,0.0,20697.513671875,0.01,26314.404231452943
8,262144,322,813,298.88,-1995.6918,0.9926025390625,-6.414278597943484,119.69745,70,0.21577084803811886,1.2041820287704468,0.2,5.960464477539063e-08,1515045.75,0.01,2810183.193054199
9,294912,323,911,301.0,-553.46405,0.9990997314453125,-6.906928681582213,199.77145,80,0.12208232057164423,1.3749279975891113,0.2,0.0,208099.296875,0.01,961515.4712593078
10,327680,324,1010,301.0,-543.7528,0.980560302734375,-6.572058573924005,262.36963,90,0.21333934682679684,1.245208740234375,0.2,0.0,24454.08984375,0.01,34010.688486480714
11,360448,324,1109,301.0,-537.44604,0.985003662109375,-7.0728576309978965,263.57675,100,0.2132516043362557,1.4344875812530518,0.2,1.1920928955078125e-07,11585.4013671875,0.01,21672.174159812927
12,393216,324,1212,301.0,-539.6318,0.988409423828125,-7.844670956768096,77.15184,110,0.20779227630646346,1.7665681838989258,0.2,0.0,11467.73828125,0.01,13418.014585208894
13,425984,325,1309,140.11,-5904.8105,0.9927001953125,-8.609428414702416,657.50494,120,0.2162828148670087,2.20526385307312,0.2,-1.1920928955078125e-07,6463.6318359375,0.01,10076.403158187866
14,458752,320,1431,140.08,-5712.1895,0.9522705078125,-8.71165139451623,66.86365,130,0.2093208065755789,2.275239944458008,0.2,0.0,921304.5,0.01,2383325.1982421875
15,491520,320,1533,140.33,-5533.588,0.986083984375,-8.397073601931334,49.09841,140,0.22128930930775823,2.1660218238830566,0.2,0.0,940532.0625,0.01,2292619.642675781
16,524288,322,1628,140.09,-5731.8994,0.993408203125,-8.620355081185698,40.284332,150,0.22192483845592506,2.255894422531128,0.2,1.1920928955078125e-07,800009.5625,0.01,2338354.51496582
17,557056,317,1755,157.81,-4911.2026,0.9927642822265625,-9.459717977792025,81.44176,160,0.21753428805495786,2.70951771736145,0.2,-1.1920928955078125e-07,864279.3125,0.01,2209503.2649780274
18,589824,318,1850,157.66,-4850.852,0.9981414794921875,-9.266101055964828,29.25641,170,0.20888714136890485,2.653078079223633,0.2,5.960464477539063e-08,575347.6875,0.01,1603710.0573120117
19,622592,314,1980,301.0,-1396.9845,0.9992919921875,-9.670642246305942,74.91744,180,0.2146673122741049,2.9617958068847656,0.2,0.0,719566.6875,0.01,1135325.466912842
20,655360,315,2077,301.0,-558.52344,0.9646453857421875,-10.215725034102798,277.47443,190,0.17568414174838837,3.4016025066375732,0.2,1.1920928955078125e-07,346496.46875,0.01,176771.97366867066
21,688128,316,2175,301.0,-538.46185,0.941241455078125,-10.119931850582361,279.62042,200,0.19711974959354847,3.171149730682373,0.2,0.0,18461.0625,0.01,51492.102190971375
22,720896,317,2273,301.0,-538.6816,0.9453948974609375,-10.37021294273436,299.60306,210,0.20436499250608903,3.5729317665100098,0.2,0.0,19328.830078125,0.01,35523.51379261017
23,753664,318,2369,301.0,-539.50995,0.9610595703125,-11.068345129489899,54.12732,220,0.21017899075886817,4.327125072479248,0.2,0.0,11759.3017578125,0.01,23635.93096370697
24,786432,318,2468,301.0,-540.83716,0.9668853759765625,-11.422361244261264,195.06265,230,0.21253179069099132,4.788403034210205,0.2,-1.1920928955078125e-07,7923.6611328125,0.01,15910.372212791443
25,819200,319,2567,301.0,-528.87286,0.9761871337890625,-12.21723756119609,218.72868,240,0.21167919653562423,6.086063385009766,0.2,0.0,2317.363525390625,0.01,10282.996473503114
26,851968,319,2664,301.0,-976.7042,0.9753997802734375,-12.754975457116961,42.007874,250,0.20783229409680642,6.830986022949219,0.2,-1.1920928955078125e-07,3677.705078125,0.01,6948.785571861267
27,884736,320,2764,301.0,-549.72974,0.9859039306640625,-13.62708436511457,127.17532,260,0.21272417461259466,8.202875137329102,0.2,1.1920928955078125e-07,1290.7109375,0.01,5370.119302892685
28,917504,320,2861,301.0,-539.09985,0.980712890625,-14.285152596980334,19.652773,270,0.21493330080556916,9.26106071472168,0.2,0.0,2235.016845703125,0.01,4242.815631175041
29,950272,320,2966,301.0,-543.6293,0.984771728515625,-15.035615618899465,65.280914,280,0.22029864592986997,10.796141624450684,0.2,-1.1920928955078125e-07,1162.7452392578125,0.01,3170.747400355339
30,983040,320,3067,301.0,-540.2997,0.9761260986328125,-15.03214666955173,92.84569,290,0.21278806399332098,11.379735946655273,0.2,-1.1920928955078125e-07,1098.0032958984375,0.01,2341.058124089241
31,1015808,320,3167,301.0,-539.24994,0.978582763671875,-14.867328302189708,41.19179,300,0.2102461216154552,12.258987426757812,0.2,0.0,1390.559326171875,0.01,1788.0594405531883
