time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/loss,train/clip_range,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/std,train/entropy_loss,train/learning_rate,train/value_loss,train/explained_variance,eval/mean_ep_length,eval/mean_reward
409600,292,917.21,25,6340.9424,1399,5464.6435546875,0.2,0.008844547,0.0771728515625,0.000684126604028279,2710,0.3916877508163452,-1.9180496562272311,0.0003,22547.635832214357,0.5268399715423584,,
425984,292,897.22,26,6092.085,1455,6127.98486328125,0.2,0.0075975177,0.070068359375,-0.0004421273544721771,2720,0.3916115462779999,-1.9170281171798706,0.0003,19976.971321105957,0.5249108076095581,,
442368,292,910.65,27,6321.0283,1513,5714.94921875,0.2,0.0071008727,0.0661376953125,-0.00048041542650025806,2730,0.39156973361968994,-1.9164758250117302,0.0003,21141.38579559326,0.4721837639808655,,
458752,292,916.26,28,6446.399,1570,6041.86376953125,0.2,0.00618268,0.051934814453125,-3.325820471218321e-05,2740,0.3915247321128845,-1.9160594012588263,0.0003,20827.550450134277,0.5614544749259949,,
475136,291,927.05,29,6579.0474,1628,4970.57958984375,0.2,0.006305975,0.05491943359375,0.00025999756835517476,2750,0.39151203632354736,-1.9158005226403474,0.0003,20319.14885559082,0.43451929092407227,,
491520,291,895.62,30,6268.676,1684,6369.7021484375,0.2,0.0079037845,0.0680419921875,0.000736349007456738,2760,0.391406774520874,-1.91535259000957,0.0003,22243.362138366698,0.42090827226638794,,
507904,291,890.58,31,6245.531,1742,7056.6572265625,0.2,0.0075230817,0.0703369140625,-0.0004811563376279082,2770,0.39137932658195496,-1.914620929956436,0.0003,22780.720349121093,0.42082077264785767,,
524288,290,944.02,32,6893.929,1801,4660.40380859375,0.2,0.006970546,0.064306640625,0.0014059673852898414,2780,0.39134255051612854,-1.9142980556935072,0.0003,19456.114834594726,0.467657208442688,,
540672,290,925.98,33,6869.0464,1858,3565.4345703125,0.2,0.009084195,0.105963134765625,0.0011254194279899821,2790,0.39132872223854065,-1.914035550504923,0.0003,20566.483645629884,0.5018312335014343,,
557056,290,929.66,34,7117.9526,1915,6129.880859375,0.2,0.008055586,0.073394775390625,-0.0008518842158082407,2800,0.39129361510276794,-1.9137034103274346,0.0003,23586.396710205077,0.42266035079956055,,
573440,290,949.65,35,7486.0767,1973,3914.6201171875,0.2,0.0063687135,0.05997314453125,0.00047416017987416125,2810,0.39129728078842163,-1.9135308627039194,0.0003,19994.611337280272,0.5204519927501678,,
589824,290,966.34,36,7763.445,2030,4201.89794921875,0.2,0.008221341,0.071142578125,-0.0013261284617328783,2820,0.39117011427879333,-1.9129768457263707,0.0003,20000.79206390381,0.4902300238609314,,
606208,290,963.88,37,8101.377,2088,6773.4775390625,0.2,0.007272958,0.066082763671875,-1.6148526992765255e-05,2830,0.39116278290748596,-1.91213423833251,0.0003,21277.013830566408,0.5303461849689484,,
622592,290,931.72,38,7930.679,2146,6065.2412109375,0.2,0.008021412,0.07630615234375,-0.0007189409428974613,2840,0.39101091027259827,-1.911358678713441,0.0003,23863.542323303223,0.4931841492652893,,
638976,290,916.08,39,7754.7104,2202,5098.4931640625,0.2,0.007689987,0.070623779296875,-0.001056910432089353,2850,0.39094072580337524,-1.9101965572685002,0.0003,21523.067129516603,0.5860542953014374,,
655360,290,914.12,40,7938.1313,2258,6100.0234375,0.2,0.0071394714,0.069354248046875,-0.000983367003937019,2860,0.3907705843448639,-1.9090361200273036,0.0003,26062.324801635743,0.5246588289737701,,
671744,290,850.19,41,7328.3643,2315,5074.041015625,0.2,0.008619042,0.084698486328125,0.0015067879954585805,2870,0.390774667263031,-1.9080954417586327,0.0003,24113.19126281738,0.4017915725708008,,
688128,290,806.1,42,6768.8755,2372,5526.13623046875,0.2,0.007824532,0.072900390625,0.0001706084149191156,2880,0.39076852798461914,-1.9081916026771069,0.0003,29929.56903991699,0.4053264260292053,,
704512,289,774.28,43,6441.3975,2431,5449.2197265625,0.2,0.0063352264,0.05185546875,-0.0010804195266246098,2890,0.39078712463378906,-1.9082365058362485,0.0003,31098.08578491211,0.4026668667793274,,
720896,289,789.24,44,6865.5483,2491,9024.7353515625,0.2,0.007208403,0.068902587890625,0.0027817432513984387,2900,0.39067476987838745,-1.9078379034996034,0.0003,28386.16929016113,0.45350056886672974,,
737280,289,790.88,45,6848.076,2548,7743.55517578125,0.2,0.0068669203,0.062127685546875,0.0006009257816913305,2910,0.3905855417251587,-1.906708775833249,0.0003,29636.227099609376,0.4285902976989746,,
753664,289,824.49,46,7229.805,2605,5914.953125,0.2,0.007777551,0.077593994140625,-8.271978003904223e-07,2920,0.3905070722103119,-1.9058676671236754,0.0003,26187.460195922853,0.5040360689163208,,
770048,288,870.74,47,7945.1475,2664,8055.83935546875,0.2,0.0071198,0.064129638671875,0.00018988650990650057,2930,0.3904450833797455,-1.9051754392683506,0.0003,29094.00764465332,0.44478076696395874,,
786432,288,960.59,48,8912.723,2723,5087.2412109375,0.2,0.0077947555,0.07530517578125,0.000626189267495647,2940,0.3903498351573944,-1.904356512799859,0.0003,19441.58854980469,0.528608113527298,,
800000,,,,,,3255.096435546875,0.2,0.008526975,0.081072998046875,0.0008000245412404184,2950,0.39033278822898865,-1.9037083506584167,0.0003,17933.685494995116,0.5809092819690704,901.3,5981.2939453125
802816,267,995.57,49,9115.697,2999,,,,,,,,,,,,,
819200,267,1008.21,50,9205.352,3056,4987.822265625,0.2,0.0076738545,0.06998291015625,0.0006787310470826924,2960,0.39010095596313477,-1.9024850610643624,0.0003,20460.88107147217,0.44934380054473877,,
835584,268,1026.08,51,9254.066,3115,6192.484375,0.2,0.006899768,0.062933349609375,0.0017201596005179455,2970,0.38996049761772156,-1.9005107168108224,0.0003,25236.831652832032,0.4105609655380249,,
851968,268,1085.03,52,10005.547,3176,5550.6484375,0.2,0.007672563,0.0660888671875,0.00041813780226220845,2980,0.38989466428756714,-1.8993824802339077,0.0003,20742.82123413086,0.503811240196228,,
868352,268,1120.78,53,10456.433,3235,4589.09814453125,0.2,0.0066979905,0.064190673828125,-0.0006885367940412835,2990,0.38997286558151245,-1.8994631730020046,0.0003,18294.671687316895,0.5773965120315552,,
884736,268,1118.86,54,10448.101,3295,3743.6337890625,0.2,0.007070997,0.069488525390625,0.0006456535662437091,3000,0.3897920846939087,-1.898933270573616,0.0003,19456.123384094237,0.5817029774188995,,
