rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/std,train/explained_variance,train/entropy_loss,train/value_loss,train/loss,train/clip_range,train/n_updates,train/approx_kl,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
981.3951,298.15,50,201,8121,1638400,0.5750352144241333,0.5034463107585907,-3.4552106611430644,8140.176102828979,1155.8653564453125,0.2,1720,0.013249597,0.001,0.149212646484375,-8.167577943822835e-05,,
1197.0624,301.0,51,201,8281,1671168,0.5733230710029602,0.55816850066185,-3.4393597073853015,7085.104077529907,852.6259765625,0.2,1730,0.014273742,0.001,0.1582733154296875,0.000366648553244886,,
1043.3911,298.97,52,201,8442,1703936,0.5696003437042236,0.5706063210964203,-3.421048802137375,6748.737551116943,772.0828247070312,0.2,1740,0.01545787,0.001,0.1728240966796875,0.0023116079360988805,,
1206.4966,299.7,53,201,8603,1736704,0.5650407075881958,0.5991959869861603,-3.393917146325111,7705.711458587646,896.5238647460938,0.2,1750,0.012824104,0.001,0.1361907958984375,0.00036587190370482856,,
1226.1967,301.0,54,201,8763,1769472,0.5634831786155701,0.6217005252838135,-3.3701492503285406,8036.510878372193,975.3624267578125,0.2,1760,0.0142912995,0.001,0.1486328125,0.0012248961182194761,,
967.1788,298.85,55,201,8924,1802240,0.5608750581741333,0.5983438789844513,-3.355618404597044,7785.676649475097,1056.8017578125,0.2,1770,0.015031375,0.001,0.1535430908203125,0.0006791651860112325,,
1217.4597,299.71,56,201,9086,1835008,0.5580321550369263,0.6421214044094086,-3.3367198489606382,6722.737985229493,1037.3353271484375,0.2,1780,0.013173757,0.001,0.134014892578125,-0.00020704702801594977,,
1070.9749,298.69,57,202,9246,1867776,0.5553913116455078,0.6602394282817841,-3.3170666597783565,7295.800280761719,949.8353271484375,0.2,1790,0.013366761,0.001,0.14110107421875,0.001017399880947778,,
1199.9563,297.8,58,202,9405,1900544,0.5528215765953064,0.6066358089447021,-3.2964218974113466,6915.017608642578,1474.1490478515625,0.2,1800,0.015258157,0.001,0.15616455078125,0.0013562969063059427,,
1262.8113,301.01,59,202,9565,1933312,0.5486103892326355,0.6627072393894196,-3.273471482843161,6944.5922004699705,1299.1905517578125,0.2,1810,0.015062469,0.001,0.1670074462890625,0.0010590898016744176,,
1295.5387,296.72,60,202,9724,1966080,0.5455513596534729,0.6474227011203766,-3.2463931500911714,7224.813462066651,763.246826171875,0.2,1820,0.015143783,0.001,0.1553955078125,0.00021814677238580772,,
1060.6901,301.0,61,202,9883,1998848,0.5452660322189331,0.5913863182067871,-3.234564221650362,9332.769633483887,1316.5733642578125,0.2,1830,0.014004765,0.001,0.1549041748046875,0.0019168824734151712,,
1209.6802,300.13,62,202,10042,2031616,0.5445971488952637,0.618840903043747,-3.231709858775139,6631.062977600098,854.2471313476562,0.2,1840,0.013488334,0.001,0.145806884765625,0.001253932879990316,,
