time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/loss,train/clip_range,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/std,train/entropy_loss,train/learning_rate,train/value_loss,train/explained_variance,eval/mean_ep_length,eval/mean_reward
16384,489,675.2857142857143,1,2087.744,33,,,,,,,,,,,,,
32768,364,632.0,2,1907.1073,89,8141.42578125,0.2,0.015416889,0.154705810546875,0.003641372575657442,2480,0.3945992887020111,-1.9474078394472598,0.0003,28126.814166259766,0.08248144388198853,,
49152,336,499.73118279569894,3,-1265.5419,146,9725.6943359375,0.2,0.010662265,0.108062744140625,0.0013865622131561395,2490,0.3945843577384949,-1.9474008336663247,0.0003,30928.34732055664,0.09960776567459106,,
65536,325,299.09,4,-4378.251,201,426907.65625,0.2,0.042128645,0.11678466796875,0.025720585881208534,2500,0.39460989832878113,-1.9473452307283878,0.0003,980134.1076171875,0.15756744146347046,,
81920,318,267.34,5,-3218.6096,257,190399.28125,0.2,0.019812454,0.164984130859375,0.010919044382171705,2510,0.3946226239204407,-1.9475859008729457,0.0003,416825.5421875,0.6832830309867859,,
98304,313,268.5,6,-3511.4216,313,211838.90625,0.2,0.0150492545,0.120452880859375,0.0036774622778466435,2520,0.39464113116264343,-1.9477369867265224,0.0003,399694.6630859375,0.8007327020168304,,
114688,310,267.29,7,-3382.238,369,131780.65625,0.2,0.009201534,0.0636962890625,0.001430124770558905,2530,0.394646018743515,-1.947882179170847,0.0003,414946.3173828125,0.8251357078552246,,
131072,307,270.68,8,-2886.4814,425,186521.28125,0.2,0.0072510475,0.06480712890625,-0.0003238437217078172,2540,0.3946804702281952,-1.948002114892006,0.0003,355443.91279296874,0.8489399999380112,,
147456,306,278.41,9,-2451.6907,481,158990.078125,0.2,0.008559022,0.069024658203125,0.0011214864360226783,2550,0.3946615755558014,-1.9481416158378124,0.0003,324859.62734375,0.8570152819156647,,
163840,305,303.92,10,-1750.0068,536,124191.0,0.2,0.0061915023,0.043023681640625,0.0001411999917763751,2560,0.3946569561958313,-1.9480075277388096,0.0003,303409.1712890625,0.8592555969953537,,
