rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,train/approx_kl,train/n_updates,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/loss,train/clip_range,train/explained_variance,train/std,train/entropy_loss,train/clip_fraction,eval/mean_reward,eval/mean_ep_length
2027.9581,94,32768,849.1785714285714,348,1,,,,,,,,,,,,,
2475.8738,183,65536,906.031746031746,357,2,0.008344394,2480,0.0001,52663.060717773435,0.0007106032913725358,21757.357421875,0.2,0.027887463569641113,0.3945945203304291,-1.9474162317812442,0.056256103515625,,
2837.3992,271,98304,918.2395833333334,361,3,0.008914355,2490,0.0001,47938.66706542969,0.0023968812471139244,18999.328125,0.2,0.13083398342132568,0.3945317268371582,-1.9471326075494289,0.0821380615234375,,
3194.309,361,131072,932.72,362,4,0.0061724023,2500,0.0001,48580.038818359375,-5.197795544518158e-05,17381.197265625,0.2,0.1692376732826233,0.39450445771217346,-1.9466825693845748,0.0395965576171875,,
3880.3145,452,163840,969.11,361,5,0.0053648707,2510,0.0001,46201.565600585935,0.0002065717890218366,17785.4765625,0.2,0.33176231384277344,0.3945000171661377,-1.9465080082416535,0.0338348388671875,,
3756.7642,541,196608,968.99,363,6,0.005155132,2520,0.0001,45764.53500976563,-0.00019314036107971334,16843.537109375,0.2,0.286343514919281,0.3944527208805084,-1.9462379060685635,0.0275421142578125,,
4145.175,631,229376,1010.83,363,7,0.004487226,2530,0.0001,48664.93889160156,-3.89842338336166e-05,19453.919921875,0.2,0.36311864852905273,0.3943988084793091,-1.945733404904604,0.0211456298828125,,
3937.93,721,262144,996.54,363,8,0.0053468966,2540,0.0001,49090.51796875,0.00030036531170480886,20137.666015625,0.2,0.2996821999549866,0.39435476064682007,-1.9452078998088838,0.032745361328125,,
4396.681,811,294912,1016.48,363,9,0.004909006,2550,0.0001,48096.055346679685,-0.00030746339762117715,19738.44921875,0.2,0.32436734437942505,0.39435622096061707,-1.9449816681444645,0.0228790283203125,,
4401.656,903,327680,1044.02,362,10,0.004513845,2560,0.0001,46287.70986328125,-0.00020078759407624603,17876.15234375,0.2,0.40894830226898193,0.3943578898906708,-1.9449962392449378,0.0218658447265625,,
4651.9097,992,360448,1025.0,363,11,0.0065227635,2570,0.0001,81863.12690429688,0.0007272013419424184,35085.3828125,0.2,0.3771851658821106,0.39437952637672424,-1.9450843259692192,0.0324737548828125,,
5138.675,1082,393216,1041.9,363,12,0.0054998733,2580,0.0001,50770.56108398437,0.00040731387998675926,22119.220703125,0.2,0.36393803358078003,0.39440107345581055,-1.9453011021018027,0.03365478515625,,
5469.096,1173,425984,1017.91,363,13,0.0039467523,2590,0.0001,49904.17980957031,0.00043909400701522825,22731.8359375,0.2,0.38413697481155396,0.39437997341156006,-1.9453343413770199,0.017974853515625,,
5727.7305,1262,458752,1035.6,363,14,0.0060039624,2600,0.0001,53637.27155761719,-6.153761569294147e-05,19886.80859375,0.2,0.3466811180114746,0.3943779766559601,-1.9451942600309848,0.0411224365234375,,
5680.678,1354,491520,1021.19,363,15,0.0049300147,2610,0.0001,56534.955297851564,-9.096390276681632e-05,20602.322265625,0.2,0.34038597345352173,0.3943324089050293,-1.9449865020811559,0.023565673828125,,
5873.3057,1443,524288,1026.12,363,16,0.005226697,2620,0.0001,50208.05666503906,-0.00012981068866793066,18551.21484375,0.2,0.4004916548728943,0.3942614495754242,-1.9443888150155544,0.02686767578125,,
6402.529,1537,557056,1057.74,362,17,0.0053269165,2630,0.0001,48447.146215820314,0.0008607808413216844,18750.7578125,0.2,0.4209861755371094,0.39424216747283936,-1.9438848786056042,0.029095458984375,,
6744.973,1629,589824,1060.16,361,18,0.005779923,2640,0.0001,47811.68315429687,-0.00027657262835418807,22844.15625,0.2,0.3889055848121643,0.3942268490791321,-1.9437119089066983,0.034002685546875,,
6917.2314,1720,622592,1061.31,361,19,0.003999888,2650,0.0001,50515.2783203125,0.00021740529919043184,19357.751953125,0.2,0.3751908540725708,0.3942263126373291,-1.9436036303639412,0.017431640625,,
7033.699,1812,655360,1041.61,361,20,0.0038842356,2660,0.0001,48402.91049804688,-0.000964669398672413,20226.69921875,0.2,0.47202247381210327,0.3941900432109833,-1.9434539929032326,0.020367431640625,,
7281.756,1903,688128,1019.86,361,21,0.0052528647,2670,0.0001,49868.6857421875,-4.7158735833363606e-05,19280.755859375,0.2,0.4480292797088623,0.3941522240638733,-1.9430624306201936,0.0264678955078125,,
