time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/explained_variance,train/loss,train/clip_range,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/std,train/value_loss,eval/mean_ep_length,eval/mean_reward
80,32768,1,301.0,409,-41.933964,,,,,,,,,,,,,
146,65536,2,301.0,446,-50.25312,10,0.001,-8.225440979003906e-06,1232.5693359375,0.2,-5.692085817828774,0.0826751708984375,0.00025415898207938883,0.0041425577,1.0026180744171143,2269.5072245001793,,
211,98304,3,301.0,465,-28.37359,20,0.001,0.044520795345306396,906.0170288085938,0.2,-5.6832248192280534,0.035211181640625,-0.0019382469146876247,0.004276439,1.00063157081604,2272.195632582903,,
275,131072,4,301.0,476,107.779236,30,0.001,0.05342817306518555,97.19849395751953,0.2,-5.684801335632801,0.05260009765625,-0.003089355605516175,0.007835394,1.0007290840148926,1328.0569248735906,,
344,163840,5,301.0,475,133.2916,40,0.001,-0.011639714241027832,67.01982879638672,0.2,-5.690255012735724,0.0542938232421875,-0.001491090704621456,0.008523991,1.002656102180481,1468.2723966896533,,
416,196608,6,301.0,472,184.25621,50,0.001,0.03264588117599487,91.27481079101562,0.2,-5.672801001369953,0.048931884765625,-0.0009522128029857413,0.0054930006,0.9961052536964417,1650.0852068006993,,
488,229376,7,301.0,469,246.02248,60,0.001,0.0012475848197937012,1322.3946533203125,0.2,-5.661091012135148,0.062359619140625,-0.0008458194863123936,0.0069908537,0.9948498010635376,3060.0426094770432,,
565,262144,8,301.0,463,243.0628,70,0.001,0.0031490325927734375,1561.9241943359375,0.2,-5.616313252225519,0.0523284912109375,-0.0014049066456209402,0.0072431676,0.9798009395599365,2446.451565372944,,
635,294912,9,301.0,463,307.0709,80,0.001,0.003637850284576416,212.73501586914062,0.2,-5.550584495067596,0.079443359375,-0.002439510189833527,0.008180551,0.9650251865386963,2023.1959962844849,,
706,327680,10,301.0,463,324.31058,90,0.001,-0.07915747165679932,189.39767456054688,0.2,-5.519201818853617,0.0977142333984375,-0.0006243333313250332,0.009339476,0.9576504826545715,2008.349271571636,,
776,360448,11,299.62,464,264.32214,100,0.001,-0.05297696590423584,285.63848876953125,0.2,-5.490432942658662,0.1067779541015625,-0.0010635837763402379,0.010056106,0.9567363262176514,1907.854600262642,,
846,393216,12,301.0,464,484.63907,110,0.001,-0.07976031303405762,667.9673461914062,0.2,-5.495515247806907,0.104052734375,5.445011211122619e-05,0.009622157,0.9564448595046997,2935.2493458747863,,
914,425984,13,301.0,466,526.8707,120,0.001,0.037670910358428955,2797.761962890625,0.2,-5.475330428034067,0.1312347412109375,0.00023604289981449256,0.011833464,0.9520577192306519,3184.7440654754637,,
976,458752,14,301.0,469,405.91174,130,0.001,-0.011567831039428711,485.1895751953125,0.2,-5.439432742074132,0.143853759765625,0.00011712414197972976,0.013407618,0.9426260590553284,3966.6932166337965,,
1039,491520,15,301.0,472,575.9327,140,0.001,-0.1197969913482666,2327.346435546875,0.2,-5.420411886274815,0.1344268798828125,-0.0005047441693022848,0.012052073,0.9384862184524536,2442.465845966339,,
1102,524288,16,301.0,475,656.59546,150,0.001,0.0016822218894958496,2605.990234375,0.2,-5.385693983361125,0.1298614501953125,0.0006953411841095658,0.012376877,0.9314231872558594,4150.704583215714,,
1164,557056,17,301.0,478,526.9302,160,0.001,0.029526233673095703,734.925048828125,0.2,-5.387598780915141,0.121533203125,-0.00023388048084598266,0.011284058,0.9334967732429504,4017.035567212105,,
1227,589824,18,300.94,480,512.85876,170,0.001,0.036740779876708984,634.637939453125,0.2,-5.380057889223099,0.1380645751953125,-0.0001834266504374682,0.01365918,0.9263988137245178,3872.045293188095,,
1289,622592,19,301.0,482,566.865,180,0.001,0.05084353685379028,371.78277587890625,0.2,-5.337026350572705,0.1507171630859375,0.0020660030118961003,0.014096548,0.9169603586196899,3953.5212766647337,,
1352,655360,20,301.0,484,678.1538,190,0.001,0.016847670078277588,1099.0478515625,0.2,-5.290101724863052,0.1693084716796875,0.0006503962202259572,0.015946014,0.9063459038734436,3532.1783839464188,,
1416,688128,21,300.36,485,859.31665,200,0.001,0.025072932243347168,1511.577880859375,0.2,-5.259934387728572,0.16771240234375,0.0011904988699825481,0.015033151,0.9012321829795837,4288.492818665504,,
1481,720896,22,301.0,486,896.10815,210,0.001,0.044560134410858154,1195.50732421875,0.2,-5.237313354760408,0.20050048828125,0.003125861894295667,0.01719438,0.8961052298545837,4990.557092428207,,
1547,753664,23,301.0,487,913.0508,220,0.001,0.05638319253921509,1986.8865966796875,0.2,-5.209551152586937,0.17650146484375,0.0023081911969711653,0.01665721,0.8874307870864868,5539.444205331803,,
1616,786432,24,301.0,486,957.37665,230,0.001,0.06797993183135986,1117.3448486328125,0.2,-5.178873668983579,0.2510711669921875,0.0029107914673659253,0.022854669,0.8841025829315186,4708.267337846756,,
1681,819200,25,301.0,487,1075.4274,240,0.001,0.11232072114944458,1300.19189453125,0.2,-5.1562639001756905,0.210479736328125,0.0005020099990360905,0.018670635,0.8771762847900391,5811.149401044846,,
1746,851968,26,301.0,487,1059.8431,250,0.001,0.1444067358970642,865.1906127929688,0.2,-5.123150173574686,0.2008331298828125,0.0019393378888707957,0.018130694,0.8707119226455688,6317.225820589066,,
1811,884736,27,301.0,488,1086.8236,260,0.001,0.1329910159111023,1618.2926025390625,0.2,-5.098239092901349,0.202337646484375,0.002503467636779533,0.01752317,0.8637623190879822,6930.311996555329,,
1876,917504,28,301.0,488,1192.0634,270,0.001,0.11300009489059448,723.8424682617188,0.2,-5.071232132986188,0.212091064453125,0.002813799192517763,0.01845566,0.8602070808410645,6909.095652675629,,
1942,950272,29,299.85,489,1272.715,280,0.001,0.12724488973617554,1457.2532958984375,0.2,-5.046521051973104,0.2150604248046875,0.0018229939243610716,0.01919163,0.8533948659896851,7495.9607853889465,,
2007,983040,30,300.72,489,1404.6157,290,0.001,0.08987170457839966,821.2151489257812,0.2,-5.016299221664667,0.205010986328125,0.0017130340458606952,0.01826426,0.8483901023864746,6464.028384065628,,
2075,1015808,31,301.0,489,1451.7972,300,0.001,0.1388533115386963,2226.571533203125,0.2,-4.996102864295244,0.2101837158203125,0.0021291615623340475,0.019138668,0.8449651598930359,7617.164414310455,,
