time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/n_updates,train/loss,train/entropy_loss,train/std,train/approx_kl,train/clip_range,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/explained_variance,eval/mean_ep_length,eval/mean_reward
1,401.05405405405406,38,427,1432.421,16384,,,,,,,,,,,,,
2,389.21794871794873,97,335,1294.6469,32768,2480,21593.53515625,-1.9470994189381599,0.3945232927799225,0.016744975,0.2,0.0003,0.15777587890625,0.005775115333381109,60978.25083007813,0.04918324947357178,,
3,372.43,157,312,1214.2762,49152,2490,19586.9453125,-1.946539504826069,0.3944847285747528,0.009530756,0.2,0.0003,0.074212646484375,0.00020856211194768547,59328.87602539062,0.259055495262146,,
4,384.23,217,301,1271.435,65536,2500,17443.546875,-1.9461052760481834,0.39443716406822205,0.0088634305,0.2,0.0003,0.072650146484375,0.000700421397050377,48968.91198730469,0.3772767186164856,,
5,411.93,277,295,1382.7418,81920,2510,17560.74609375,-1.9456750869750976,0.3944101631641388,0.0097395545,0.2,0.0003,0.07696533203125,0.0007227704831166193,47224.953857421875,0.4175158739089966,,
6,453.52,337,291,1715.5643,98304,2520,14364.5908203125,-1.945403555035591,0.39438673853874207,0.0062752487,0.2,0.0003,0.046246337890625,-0.0005460514992591925,46781.940698242186,0.49813783168792725,,
7,451.98,398,288,1657.8727,114688,2530,15782.21484375,-1.945182092487812,0.3943724036216736,0.009283967,0.2,0.0003,0.064178466796875,0.001752117859723512,46040.51169433594,0.533893346786499,,
8,456.37,458,286,1576.8214,131072,2540,13044.787109375,-1.9452221229672433,0.39441394805908203,0.007380412,0.2,0.0003,0.053057861328125,0.0015881184372119606,41381.66328125,0.5983346104621887,,
9,467.33,518,284,1619.9553,147456,2550,11933.341796875,-1.9458326905965806,0.39448437094688416,0.006528592,0.2,0.0003,0.0463623046875,-0.0001157110309577547,39941.416796875,0.6610859632492065,,
10,492.17,578,283,1659.6998,163840,2560,16141.294921875,-1.946429692208767,0.3945162296295166,0.007118595,0.2,0.0003,0.04244384765625,0.00021830894766026177,47488.347338867185,0.6774703860282898,,
11,511.28,638,282,1815.6573,180224,2570,12326.28515625,-1.9465944215655326,0.3945234417915344,0.0072871977,0.2,0.0003,0.047991943359375,7.982828974490985e-05,39916.540283203125,0.6951577663421631,,
12,512.51,698,281,1845.1681,196608,2580,10216.7099609375,-1.946510873734951,0.394486665725708,0.0056600785,0.2,0.0003,0.03309326171875,-6.435290561057627e-05,33926.82763671875,0.7433568239212036,,
13,511.87,757,280,2025.4617,212992,2590,12093.12890625,-1.9459902808070182,0.3944118022918701,0.005280989,0.2,0.0003,0.024652099609375,0.00027916180988540873,39336.77194824219,0.6529735922813416,,
14,512.09,818,280,2046.152,229376,2600,14031.044921875,-1.9455347225069999,0.3944135904312134,0.005628611,0.2,0.0003,0.02801513671875,-0.00028465971117839215,38636.0740234375,0.7002176642417908,,
