time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/time_elapsed,train/loss,train/explained_variance,train/approx_kl,train/std,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/value_loss,train/learning_rate,train/clip_range
1,301.0,-812.5118,32768,563,58,,,,,,,,,,,
2,301.0,-788.36414,65536,526,124,874.352294921875,-0.2256566286087036,0.03400129,0.7234522104263306,630,0.01676584384549642,-4.379266141355037,0.359063720703125,6597.280723190308,0.001,0.2
3,301.01,-719.80414,98304,514,191,505.72381591796875,0.2202523946762085,0.025351921,0.7213567495346069,640,0.00796887513351976,-4.366589097678661,0.284228515625,4097.090362358093,0.001,0.2
4,300.49,-818.1247,131072,507,258,358.5666198730469,0.30486375093460083,0.023652006,0.7191584706306458,650,0.004067478247270629,-4.356195601820946,0.267926025390625,2800.7624346256257,0.001,0.2
5,299.08,-786.10626,163840,502,326,206.26602172851562,0.3531942367553711,0.02452388,0.7200267314910889,660,0.003507198625447927,-4.356303684413433,0.26475830078125,2019.8961260318756,0.001,0.2
6,301.0,-744.2846,196608,498,394,649.0032348632812,0.2724483609199524,0.02397393,0.7185559272766113,670,0.0021381951144576307,-4.355912807583809,0.2529876708984375,1888.8487591266633,0.001,0.2
7,299.96,-626.3381,229376,495,462,187.21253967285156,0.3726263642311096,0.023823561,0.7180331945419312,680,0.001281747183202242,-4.3519888035953045,0.2539642333984375,1460.056956768036,0.001,0.2
8,301.01,-662.5786,262144,493,531,1116.59765625,0.3361649513244629,0.025410935,0.7122904062271118,690,0.0017354469606289057,-4.325113365799188,0.261474609375,2138.98624663353,0.001,0.2
9,298.59,-669.12274,294912,493,597,267.62493896484375,0.29705560207366943,0.023193544,0.706717312335968,700,0.0008239978586061624,-4.2967907845973965,0.249969482421875,1585.852685022354,0.001,0.2
10,301.0,-613.4676,327680,492,665,190.4389190673828,0.34488481283187866,0.02257159,0.7036686539649963,710,0.00017453275177103933,-4.274369660019874,0.2368682861328125,1603.7223896026612,0.001,0.2
11,301.0,-467.9997,360448,492,732,329.9634704589844,0.3707754611968994,0.02265329,0.6981921195983887,720,-0.0007860220390284667,-4.2518397778272625,0.2465576171875,1743.3754144668578,0.001,0.2
12,301.0,-392.02707,393216,492,799,247.07601928710938,0.36950498819351196,0.020517107,0.6899741888046265,730,0.0016773751205619192,-4.20667914673686,0.23677978515625,2107.3693865299224,0.001,0.2
13,299.9,-266.38654,425984,491,866,303.7735595703125,0.3230189085006714,0.019247478,0.6817887425422668,740,0.00019401172176003456,-4.1594034940004345,0.2223297119140625,2232.78475317955,0.001,0.2
14,298.08,-455.44962,458752,491,933,703.3143310546875,0.38356107473373413,0.017760037,0.6798096299171448,750,0.001125981278528343,-4.133954643458128,0.2081207275390625,2727.771707057953,0.001,0.2
15,301.01,-223.74214,491520,491,1000,240.9882354736328,0.4001529812812805,0.017585881,0.6767176985740662,760,-0.0012445969488908304,-4.119376163929701,0.206927490234375,2558.8120019435883,0.001,0.2
16,296.65,-386.85352,524288,491,1066,525.8262329101562,0.4632733464241028,0.017388897,0.6702980399131775,770,0.0004245814492605859,-4.089146923273802,0.2022125244140625,2726.5770498275756,0.001,0.2
17,295.44,-165.19467,557056,491,1133,411.8144836425781,0.5071272850036621,0.016246293,0.6631112098693848,780,-0.0020765445386132344,-4.052337925881147,0.187017822265625,3079.100427341461,0.001,0.2
18,298.9,-237.88289,589824,491,1200,680.9351806640625,0.4030227065086365,0.01606271,0.6552694439888,790,-0.0012103376355298678,-4.001727896928787,0.1686004638671875,3814.709146595001,0.001,0.2
19,298.47,-110.09644,622592,491,1267,627.697021484375,0.49914854764938354,0.016093599,0.6506492495536804,800,-0.0013884601599784218,-3.966549213975668,0.181707763671875,3023.383815860748,0.001,0.2
20,297.94,-102.56092,655360,490,1335,859.2510986328125,0.4711596965789795,0.01625795,0.6460100412368774,810,-0.001973583229664655,-3.937796338647604,0.187109375,3898.893344593048,0.001,0.2
21,297.2,-219.43633,688128,490,1401,504.2121276855469,0.5335459113121033,0.016461466,0.6435256600379944,820,-0.0014992169901233865,-3.9152714256197214,0.1845428466796875,3089.984428024292,0.001,0.2
22,294.62,-190.29333,720896,490,1468,852.19140625,0.5509153008460999,0.015634114,0.6382095813751221,830,-0.0010065498938274687,-3.888045863434672,0.1795318603515625,2940.136472415924,0.001,0.2
