time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,train/loss,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/clip_range,train/clip_fraction,train/explained_variance,train/std,train/learning_rate
1,57,-216.23926,572,32768,301.0,,,,,,,,,,,
2,115,-244.82584,566,65536,301.0,107.49312591552734,10,-5.6758455947041515,-0.000719690620462643,5.8016016e-05,226.58124413490296,0.2,0.0,0.0002429485321044922,1.0000450611114502,1e-06
3,173,-229.00188,565,98304,301.0,118.1240234375,20,-5.676058906316757,-0.0007566655989649007,5.632708e-05,240.76875014305114,0.2,0.0,0.0006603598594665527,1.000105619430542,1e-06
4,231,-218.64125,565,131072,301.0,102.85393524169922,30,-5.676339042186737,-0.0008606020506704226,7.0559516e-05,215.26264681816102,0.2,0.0,0.0006345510482788086,1.0001862049102783,1e-06
5,290,-205.28027,564,163840,301.0,100.50077056884766,40,-5.6765543729066845,-0.0009636587765271543,8.8207504e-05,211.8896652698517,0.2,0.0,0.0009050369262695312,1.000212550163269,1e-06
6,348,-194.67738,563,196608,301.0,90.98828887939453,50,-5.67672338783741,-0.0010757494166682591,0.00010893578,185.01135630607604,0.2,0.0,0.0010308623313903809,1.0002728700637817,1e-06
7,407,-192.26788,563,229376,301.0,80.6214599609375,60,-5.67692361176014,-0.0011844734788610367,0.0001399054,173.34852323532104,0.2,0.0,0.001184701919555664,1.0003117322921753,1e-06
8,465,-160.87024,563,262144,301.0,75.85258483886719,70,-5.677118918299675,-0.0014186432559654349,0.00018512312,160.41039214134216,0.2,0.0,0.0010452866554260254,1.0003716945648193,1e-06
9,523,-130.7763,563,294912,301.0,69.5802001953125,80,-5.677351853251457,-0.0016788291915872833,0.0002697382,143.99455451965332,0.2,0.0,0.001166224479675293,1.000427484512329,1e-06
10,581,-97.592606,563,327680,301.0,62.52735137939453,90,-5.677485400438309,-0.0023299785647395766,0.00046659558,125.9578206539154,0.2,0.0,0.0012702345848083496,1.0004353523254395,1e-06
