time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/n_updates,train/learning_rate,train/explained_variance,train/entropy_loss,train/std,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/loss,train/value_loss,train/approx_kl
1966,16,524288,4103.094,266,301.0,770,0.001,0.30522608757019043,-4.261128212511539,0.701857328414917,0.373822021484375,0.020073625509212434,0.2,6014.4755859375,26463.303416967392,0.040526193
2094,17,557056,4189.5615,266,301.0,780,0.001,0.3661470413208008,-4.2605200743302705,0.703839123249054,0.3802215576171875,0.020210895054515277,0.2,3866.04541015625,26562.977661561967,0.043985937
2224,18,589824,4339.1846,265,301.0,790,0.001,0.27736037969589233,-4.2657802367582915,0.7042475938796997,0.3797607421875,0.019884050438668054,0.2,6158.1337890625,28197.142391204834,0.043151855
2352,19,622592,4360.0874,264,301.0,800,0.001,0.37260901927948,-4.265524542052299,0.7039015293121338,0.3741943359375,0.01895178432191642,0.2,7778.189453125,27411.67885351181,0.043281846
2485,20,655360,4226.091,263,301.0,810,0.001,0.33928555250167847,-4.257053748052567,0.7014554738998413,0.377862548828125,0.02150416245518727,0.2,5143.4453125,28924.394990348817,0.042355105
2621,21,688128,4334.305,262,301.0,820,0.001,0.41704052686691284,-4.239482328016311,0.6983158588409424,0.3785552978515625,0.018714237892731946,0.2,11507.84375,27358.204613304137,0.04296583
2751,22,720896,3980.44,261,301.0,830,0.001,0.32234472036361694,-4.2379903958179055,0.6994229555130005,0.385302734375,0.021006198461168423,0.2,11793.8740234375,29295.487982177736,0.044849686
2881,23,753664,4439.3296,261,301.0,840,0.001,0.304265558719635,-4.240209574531764,0.6995382905006409,0.3924652099609375,0.020534629505345948,0.2,9555.7255859375,28641.083271121977,0.046273284
3007,24,786432,4241.1133,261,301.0,850,0.001,0.2670794725418091,-4.235484366491437,0.6983039379119873,0.3890960693359375,0.02168632219927531,0.2,7383.03466796875,31911.38268442154,0.044152327
3137,25,819200,4581.829,261,301.0,860,0.001,0.30369067192077637,-4.22215570891276,0.6952592730522156,0.3775604248046875,0.020032870362319953,0.2,9398.3369140625,29477.05692577362,0.041207984
3269,26,851968,4443.6777,260,301.0,870,0.001,0.323458194732666,-4.218093991652131,0.6963416337966919,0.36363525390625,0.017439810928863153,0.2,7798.99365234375,31311.65182094574,0.040361203
3396,27,884736,4649.7153,260,301.0,880,0.001,0.4082755446434021,-4.212520262505859,0.6938751339912415,0.365167236328125,0.019331353975758248,0.2,3817.255615234375,29697.42222995758,0.039949477
3526,28,917504,4464.777,260,301.0,890,0.001,0.35006821155548096,-4.200998902600259,0.6925034523010254,0.358807373046875,0.018912065718177475,0.2,19141.375,34582.81768598557,0.039756425
3660,29,950272,4265.1343,259,301.0,900,0.001,0.3755529522895813,-4.1876907016150655,0.6894589066505432,0.3562286376953125,0.01824837245612798,0.2,7555.0146484375,33330.5867556572,0.039117653
3793,30,983040,4591.851,259,301.0,910,0.001,0.37652039527893066,-4.177631563972682,0.6884022355079651,0.359063720703125,0.01880672014717675,0.2,4261.69873046875,33823.273395442964,0.040576186
3926,31,1015808,4550.6494,258,301.0,920,0.001,0.4120630621910095,-4.176387213822454,0.6890153288841248,0.4095855712890625,0.02728786750394647,0.2,4273.0927734375,34352.54304218292,0.049696814
