time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,train/explained_variance,train/loss,train/clip_fraction,train/std,train/clip_range,train/approx_kl,train/value_loss,train/entropy_loss,train/n_updates,train/learning_rate,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
819200,17868.855,25,233,1032.73,3504,0.6281302869319916,49860.921875,0.0459869384765625,0.39415591955184937,0.2,0.0063711307,149652.53240966797,-1.9431842712685465,2710,0.0001,0.0004747447530462523,,
851968,17762.04,26,233,1018.56,3653,0.6366141736507416,48106.515625,0.05560302734375,0.39411067962646484,0.2,0.0070773023,138829.87426147462,-1.9427454471588135,2720,0.0001,0.0014725028556313192,,
884736,17235.436,27,233,1018.7,3794,0.6057460308074951,65082.69140625,0.0681488037109375,0.3940882682800293,0.2,0.007935753,151899.57754516602,-1.942424031998962,2730,0.0001,0.0008681961596266774,,
917504,17515.207,28,232,1057.18,3938,0.6607872545719147,46312.4765625,0.0634796142578125,0.3940661549568176,0.2,0.0071243695,132806.3579925537,-1.9422076222486795,2740,0.0001,0.0009387338887790975,,
950272,17148.9,29,233,1063.63,4076,0.5916288197040558,44429.16015625,0.0527679443359375,0.39405226707458496,0.2,0.0069230776,241725.50339355468,-1.9420062914490699,2750,0.0001,0.00047565672066411934,,
983040,17782.06,30,232,1081.58,4219,0.6033427119255066,59903.9453125,0.05032958984375,0.39402827620506287,0.2,0.0064612622,142952.82060546876,-1.9418430725112557,2760,0.0001,0.001479286000085267,,
1015808,18178.945,31,233,1093.38,4359,0.6944237351417542,47328.05859375,0.0689422607421875,0.39401933550834656,0.2,0.0075615346,127481.13739013672,-1.9416624104604125,2770,0.0001,-0.00026882088923230185,,
1048576,18244.63,32,232,1086.97,4501,0.6811061501502991,39991.0390625,0.048870849609375,0.39399829506874084,0.2,0.0068320893,115664.33349609375,-1.941516872588545,2780,0.0001,0.00035895661130780354,,
1081344,18658.105,33,232,1120.38,4642,0.6624869108200073,45991.3828125,0.055145263671875,0.3940081000328064,0.2,0.0071366876,131208.61097717285,-1.9414634266868234,2790,0.0001,0.000774400058980973,,
1114112,19237.934,34,232,1107.59,4783,0.633105456829071,62699.65234375,0.058447265625,0.39398637413978577,0.2,0.0074961195,137282.01423950196,-1.9414121484383942,2800,0.0001,0.001175650798722927,,
1146880,18538.922,35,232,1108.13,4923,0.6334180533885956,56105.05078125,0.0555816650390625,0.39398425817489624,0.2,0.0068850545,137325.30122375488,-1.9412862667813897,2810,0.0001,0.0013065741968603106,,
1179648,17670.896,36,233,1112.13,5062,0.6090818345546722,112929.4921875,0.05716552734375,0.39394301176071167,0.2,0.007000949,165158.03401184082,-1.9410708052106203,2820,0.0001,0.001662081230279,,
1212416,17496.883,37,232,1121.49,5204,0.49138158559799194,65021.921875,0.0554229736328125,0.39395272731781006,0.2,0.006866525,281382.8266906738,-1.9408816864714027,2830,0.0001,0.000520751991916768,,
1245184,17477.133,38,232,1113.44,5345,0.6586862206459045,36768.3515625,0.0784088134765625,0.39392828941345215,0.2,0.008592303,174712.18762817382,-1.9408324331976474,2840,0.0001,0.0010056225566586364,,
1277952,18804.143,39,232,1096.51,5489,0.6523519456386566,60629.75390625,0.052557373046875,0.3939214050769806,0.2,0.0066973804,134056.44914550782,-1.9406769509427249,2850,0.0001,2.188120388382231e-05,,
1310720,19507.318,40,232,1116.15,5631,0.6209045350551605,52470.81640625,0.063739013671875,0.3939319849014282,0.2,0.007873025,144365.34843139647,-1.9406997481361032,2860,0.0001,0.0014299306609245831,,
1343488,18728.008,41,232,1145.42,5776,0.7059407234191895,51780.4140625,0.0537689208984375,0.39393728971481323,0.2,0.0067455424,152650.35250549315,-1.9407731352373958,2870,0.0001,0.0014232417694074683,,
1376256,18990.064,42,232,1161.14,5918,0.6823320388793945,58727.97265625,0.042486572265625,0.3939216434955597,0.2,0.0059026377,460315.42137451173,-1.9407042073085905,2880,0.0001,-0.0003073216469601903,,
1409024,19101.246,43,232,1152.66,6062,0.6478002667427063,74324.0859375,0.044921875,0.39388179779052734,0.2,0.006240019,134066.09822998047,-1.940437433961779,2890,0.0001,0.0005820041540573583,,
1441792,20090.61,44,232,1155.92,6207,0.7264739274978638,55913.53125,0.07919921875,0.3938734531402588,0.2,0.008967131,131578.9193939209,-1.9401931699365378,2900,0.0001,0.002130096342534671,,
1474560,20346.248,45,232,1166.94,6350,0.6917892098426819,52038.05859375,0.04075927734375,0.393882691860199,0.2,0.006000836,137253.2904449463,-1.9401925596408547,2910,0.0001,0.0008841285391099519,,
1507328,19909.537,46,232,1132.44,6490,0.623614639043808,40946.44921875,0.0698028564453125,0.3938601016998291,0.2,0.00806392,300141.57821655273,-1.9401320585981012,2920,0.0001,0.002052070777699555,,
1540096,17888.072,47,232,1102.11,6631,0.6646156311035156,48607.30859375,0.0433685302734375,0.39385461807250977,0.2,0.00592148,144966.20225219725,-1.9399811000563205,2930,0.0001,0.000572313510656386,,
1572864,18030.842,48,232,1094.58,6773,0.6322775781154633,254935.78125,0.0589385986328125,0.3938470482826233,0.2,0.00754329,597865.4997955322,-1.939890332426876,2940,0.0001,0.0008575005773309386,,
1600000,,,,,,0.6661832928657532,40636.41015625,0.0352508544921875,0.39385053515434265,0.2,0.005393598,135213.81036987304,-1.9398983859457075,2950,0.0001,-8.526959159098624e-05,1214.93,15931.896484375
