time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/time_elapsed,train/loss,train/explained_variance,train/approx_kl,train/std,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/value_loss,train/learning_rate,train/clip_range
1,301.0,-747.1362,32768,567,57,,,,,,,,,,,
2,301.0,-827.3098,65536,528,123,861.1539916992188,0.12233877182006836,0.03183731,0.7265743613243103,630,0.015803658663571696,-4.385721644759178,0.340740966796875,6117.866050434112,0.001,0.2
3,301.0,-721.8425,98304,516,190,450.1962585449219,0.24877476692199707,0.021752018,0.723125696182251,640,0.003887796134222299,-4.383929714560509,0.2478851318359375,3856.059355068207,0.001,0.2
4,301.0,-648.0129,131072,510,256,376.96484375,0.3101400136947632,0.021985691,0.7197283506393433,650,0.002487741447657754,-4.361307419091463,0.2395477294921875,3196.2475913047792,0.001,0.2
5,301.0,-615.027,163840,507,322,270.91571044921875,0.3365439176559448,0.022510376,0.717650294303894,660,0.0012942095310791047,-4.350429321825504,0.2554534912109375,2463.721009540558,0.001,0.2
6,300.44,-666.6855,196608,504,389,357.0872802734375,0.399591863155365,0.02219097,0.7141414284706116,670,0.0016519319828148583,-4.335922368615866,0.243914794921875,2321.047029018402,0.001,0.2
7,301.0,-641.0624,229376,503,455,274.2023620605469,0.3593522310256958,0.025918847,0.7104008793830872,680,0.0020803973766305717,-4.308515368402004,0.268450927734375,2256.780001306534,0.001,0.2
8,301.01,-747.4687,262144,501,522,186.57449340820312,0.4267878532409668,0.025413925,0.7078104019165039,690,0.002096300728589995,-4.2953099176287655,0.2695098876953125,1622.1296377658844,0.001,0.2
9,297.33,-635.07654,294912,500,588,168.6881866455078,0.45925062894821167,0.025029102,0.7046117782592773,700,0.0013631383822939823,-4.279409684985876,0.255792236328125,1433.1960673570634,0.001,0.2
10,299.68,-682.5557,327680,500,655,286.2493896484375,0.3737218379974365,0.02438328,0.6998957991600037,710,6.368216236296576e-05,-4.256497460603714,0.264276123046875,1648.364239859581,0.001,0.2
11,301.0,-416.22824,360448,499,721,466.13671875,0.40942734479904175,0.022917232,0.6987740993499756,720,0.00043975231528747827,-4.240006802231074,0.2566131591796875,1810.80533118248,0.001,0.2
12,299.87,-768.00616,393216,499,787,271.44586181640625,0.36115652322769165,0.023901258,0.6949912309646606,730,0.001219204722337963,-4.2263060785830024,0.26146240234375,1989.9416719436645,0.001,0.2
13,298.86,-484.65152,425984,498,854,226.76931762695312,0.38440775871276855,0.020829257,0.6890671849250793,740,-0.0030190997651970974,-4.192117953300476,0.228692626953125,1665.6518103599549,0.001,0.2
14,299.32,-473.76868,458752,498,920,343.90185546875,0.3742150664329529,0.019707717,0.6863924860954285,750,1.7009026123560033e-06,-4.175316638499498,0.21812744140625,2291.563790988922,0.001,0.2
15,301.0,-502.32007,491520,497,987,644.923828125,0.36673086881637573,0.020954318,0.6843096613883972,760,0.0007973311754540191,-4.156147414445877,0.23231201171875,3069.031634616852,0.001,0.2
16,299.38,-579.84705,524288,497,1053,308.51605224609375,0.3995557427406311,0.020369468,0.6801694631576538,770,0.0004882442661255482,-4.1361443601548675,0.2259613037109375,2161.272640991211,0.001,0.2
17,301.0,-305.69128,557056,497,1120,368.1656494140625,0.4738304018974304,0.021084823,0.6745105981826782,780,-0.0008753197649639333,-4.10533477962017,0.2248291015625,1971.8730006694793,0.001,0.2
18,300.8,-371.7045,589824,497,1186,268.6297302246094,0.4167987108230591,0.016573299,0.6694009900093079,790,-0.0001844538650402683,-4.077415975183248,0.198712158203125,2778.2174870491026,0.001,0.2
19,301.0,-434.55716,622592,496,1252,376.85687255859375,0.5087945461273193,0.017351154,0.6626781225204468,800,-0.00024137051586876624,-4.03793608173728,0.19775390625,2520.051427268982,0.001,0.2
20,301.0,-153.12651,655360,496,1319,290.3193664550781,0.5084912478923798,0.016470583,0.6575657725334167,810,-0.0009479151432060462,-4.007715089619159,0.192584228515625,2218.0152813911436,0.001,0.2
21,299.63,-181.80049,688128,496,1385,562.16796875,0.4502624273300171,0.017913757,0.6543211340904236,820,-0.00015004940851213178,-3.983358256518841,0.200775146484375,2702.820011663437,0.001,0.2
22,297.84,-198.60332,720896,496,1452,470.243896484375,0.49702775478363037,0.01643978,0.6493706703186035,830,-0.002134646752165281,-3.9586811866611242,0.1725067138671875,3176.9854164123535,0.001,0.2
23,295.62,-244.03862,753664,496,1519,381.3479309082031,0.5374440848827362,0.018160034,0.6443370580673218,840,0.00027943109034822555,-3.9245594415813683,0.2124755859375,2857.89631319046,0.001,0.2
24,299.79,-102.401146,786432,495,1585,386.4875793457031,0.49157285690307617,0.01670037,0.6392865180969238,850,-0.002574568321688275,-3.8944285891950132,0.1865478515625,2978.9599027633667,0.001,0.2
25,295.85,-201.77448,819200,495,1652,429.21710205078125,0.45422011613845825,0.01928509,0.6361948847770691,860,0.0005093715837574564,-3.8702123593539,0.220391845703125,3336.8094301223755,0.001,0.2
26,293.96,-7.853756,851968,495,1718,968.6924438476562,0.629321813583374,0.016833637,0.6295832395553589,870,-0.00012023084946122253,-3.838447939604521,0.190496826171875,3242.705836009979,0.001,0.2
