time/fps,rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/explained_variance,train/clip_fraction,train/std,train/policy_gradient_loss,train/n_updates,train/loss,train/approx_kl,train/value_loss,train/learning_rate,train/entropy_loss,train/clip_range,eval/mean_ep_length,eval/mean_reward
196,301.0,1,62,-246.12134,12288,,,,,,,,,,,,,
152,301.0,2,160,-199.90607,24576,0.00019598007202148438,0.14505208333333333,1.0012550354003906,-0.00934937356869341,10,50.47351837158203,0.008558883,103.0480099533995,0.001,-5.684739809110761,0.2,,
148,301.0,3,247,-116.334236,36864,0.23773133754730225,0.12447102864583333,0.9925754070281982,-0.015444875875255093,20,44.891448974609375,0.010909095,106.58365568121275,0.001,-5.671230283627907,0.2,,
146,301.0,4,335,35.33706,49152,0.4192749857902527,0.17119954427083334,0.980367124080658,-0.01756586811170564,30,72.8935546875,0.011184915,135.3870172460874,0.001,-5.611242351680994,0.2,,
145,301.0,5,423,126.189445,61440,0.11075466871261597,0.16991373697916667,0.9692717790603638,-0.013475367408682359,40,306.21124267578125,0.012069348,1656.3314046124617,0.001,-5.5394240155816075,0.2,,
144,301.0,6,511,139.37924,73728,0.10617589950561523,0.12400716145833333,0.95469069480896,-0.007980287085229066,50,89.43402862548828,0.009319776,1711.3801670968533,0.001,-5.4982511207461355,0.2,,
143,301.0,7,599,83.062386,86016,0.06242114305496216,0.11642252604166667,0.9416986703872681,-0.0038868042106817787,60,390.176513671875,0.009228945,1742.3782624661922,0.001,-5.440429093192021,0.2,,
143,301.0,8,686,56.452248,98304,0.22309207916259766,0.11797688802083334,0.9363420009613037,-0.00763805123763935,70,121.85052490234375,0.00966794,229.94152770638465,0.001,-5.377578186740478,0.2,,
142,301.0,9,773,48.011562,110592,0.029088199138641357,0.1271484375,0.9184991121292114,0.00018046966385251533,80,151.81227111816406,0.0077904644,1114.156795879205,0.001,-5.3612627446651455,0.2,,
142,301.0,10,863,12.253043,122880,0.0,0.0672607421875,0.909463107585907,-7.369915401795879e-05,90,238.29452514648438,0.0034097787,369.0649965365728,0.001,-5.296590831130743,0.2,,
141,301.0,11,952,7.2873573,135168,0.0,0.052815755208333336,0.9016892313957214,0.0006651866236400868,100,252.2704315185547,0.006198661,1885.02787138621,0.001,-5.273935485134522,0.2,,
141,301.0,12,1040,-34.39552,147456,-2.384185791015625e-07,0.06563313802083333,0.9005886316299438,2.48402352250802e-05,110,230.7870330810547,0.007506069,335.55442860921227,0.001,-5.244724343468746,0.2,,
141,301.0,13,1127,-28.717642,159744,0.0,0.06961263020833333,0.897284746170044,0.0007265559499501251,120,8831.5302734375,0.0063969926,1282.6692836244902,0.001,-5.223423620437583,0.2,,
141,301.0,14,1215,-37.920837,172032,1.1920928955078125e-07,0.07284342447916667,0.8885518908500671,0.0010587999199439461,130,208.52496337890625,0.0068966895,1233.4384800831476,0.001,-5.196652055407564,0.2,,
