rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,train/clip_fraction,train/clip_range,train/value_loss,train/entropy_loss,train/approx_kl,train/std,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/loss,train/explained_variance
-201.65288,32768,301.0,60,541,1,,,,,,,,,,,
-159.9408,65536,301.0,123,528,2,0.107208251953125,0.2,106.78446037769318,-5.666454030573368,0.0079857195,0.9959167242050171,10,-0.01174379822841729,0.0001,48.54173278808594,0.00022137165069580078
-8.981419,98304,301.0,186,528,3,0.10501708984375,0.2,106.53236691951751,-5.658371262252331,0.008924515,0.9950966835021973,20,-0.0130922994670982,0.0001,47.47382736206055,0.00314939022064209
116.024925,131072,301.0,247,529,4,0.09345703125,0.2,689.6422199249267,-5.652079617977142,0.007845379,0.9925038814544678,30,-0.006041437698149821,0.0001,162.75375366210938,2.5033950805664062e-06
182.03378,163840,301.0,309,530,5,0.0774322509765625,0.2,1520.6432311058045,-5.644991891086102,0.006646795,0.9922839403152466,40,-0.004899872392707038,0.0001,320.2779541015625,0.003358602523803711
165.72795,196608,301.0,371,529,6,0.0712982177734375,0.2,2062.8066450119018,-5.644445730745792,0.008344101,0.9921221733093262,50,-0.003964038632511801,0.0001,979.112548828125,0.010272979736328125
112.65303,229376,301.0,433,529,7,0.0667449951171875,0.2,2554.9688753128053,-5.646100494265556,0.005899732,0.992791473865509,60,-0.002212802676149295,0.0001,840.8461303710938,0.004277706146240234
64.52894,262144,301.0,495,529,8,0.0695770263671875,0.2,2269.7817297935485,-5.643093386292458,0.0058384826,0.9912238121032715,70,-0.0027911208033401637,0.0001,755.3310546875,1.996755599975586e-05
-8.42486,294912,301.0,557,529,9,0.0249481201171875,0.2,1204.528598690033,-5.638870456814766,0.004698421,0.9905838966369629,80,-0.0020292796878493393,0.0001,873.3768920898438,-0.0026677846908569336
1.1385024,327680,301.0,619,529,10,0.0002532958984375,0.2,574.4226225376129,-5.637714195251465,0.0019808148,0.990547239780426,90,-0.0007734937053101021,0.0001,413.3533020019531,0.1980692744255066
-26.877213,360448,301.0,679,530,11,0.0,0.2,1213.9828278541565,-5.637699088454246,0.0003675638,0.9905662536621094,100,-0.00032664312111592154,0.0001,439.452880859375,0.32656651735305786
-39.1456,393216,301.0,740,530,12,3.0517578125e-06,0.2,660.969417476654,-5.637702588737011,0.0009519002,0.9905552268028259,110,-0.0004545963494820171,0.0001,922.49609375,0.517684668302536
-90.6655,425984,301.0,801,531,13,3.0517578125e-05,0.2,980.6036522865295,-5.637714663147927,0.0013803479,0.9905698299407959,120,-0.0009123818148509599,0.0001,392.2317199707031,0.47714751958847046
