time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/total_timesteps,train/loss,train/value_loss,train/clip_fraction,train/approx_kl,train/n_updates,train/explained_variance,train/entropy_loss,train/clip_range,train/std,train/policy_gradient_loss,train/learning_rate
572,301.0,57,3201.4915,1,32768,,,,,,,,,,,
533,301.0,122,3361.0889,2,65536,3512.924560546875,24769.137353515624,0.4098846435546875,0.046882104,630,0.24914473295211792,-4.37544644549489,0.2,0.7231729626655579,0.0287548341540969,0.001
520,301.0,188,3569.9744,3,98304,5732.12939453125,22940.90350036621,0.2911376953125,0.028697085,640,0.324828565120697,-4.37129620462656,0.2,0.7217775583267212,0.013580453651229618,0.001
515,301.0,254,3653.255,4,131072,3657.625,22722.61478805542,0.2965118408203125,0.028484564,650,0.3449007272720337,-4.367373708635569,0.2,0.7219885587692261,0.0110724919137283,0.001
511,301.0,320,3781.7334,5,163840,3866.530029296875,22823.657111358643,0.2544464111328125,0.023896145,660,0.38363832235336304,-4.364031974971295,0.2,0.7204798460006714,0.011100333963622689,0.001
509,301.0,386,4089.761,6,196608,5662.72998046875,23244.425231933594,0.2758819580078125,0.025618896,670,0.3720681667327881,-4.347690174728632,0.2,0.7164865732192993,0.012615376002759148,0.001
507,301.0,452,4331.791,7,229376,4380.84765625,22401.68066329956,0.2523712158203125,0.022937316,680,0.39357393980026245,-4.334181459993124,0.2,0.7151783108711243,0.007547179929315462,0.001
506,301.0,517,4474.7393,8,262144,4122.0830078125,26640.149328613283,0.2517303466796875,0.023127843,690,0.3158695697784424,-4.326523583382368,0.2,0.7138320207595825,0.009185351849373547,0.001
505,301.0,583,4633.933,9,294912,4768.7841796875,25031.583982849123,0.2666290283203125,0.0250226,700,0.3589891195297241,-4.319789359718561,0.2,0.7127313613891602,0.01127168730745325,0.001
504,301.0,649,4554.0474,10,327680,7137.34228515625,27550.152770233155,0.2806640625,0.025834974,710,0.24128437042236328,-4.314129279553891,0.2,0.7118214964866638,0.01219791982903189,0.001
503,301.0,715,4403.658,11,360448,3937.890869140625,23498.603803253172,0.27486572265625,0.026045684,720,0.3474525213241577,-4.309257704019546,0.2,0.710657000541687,0.012679121509063408,0.001
503,301.0,781,4316.8613,12,393216,4455.78857421875,23940.82120819092,0.2616851806640625,0.023755474,730,0.4197703003883362,-4.3032975099980835,0.2,0.7097840309143066,0.010195175723310967,0.001
502,301.0,847,4443.6875,13,425984,5781.59521484375,25377.194832611083,0.259991455078125,0.023482766,740,0.3721315264701843,-4.289650244265795,0.2,0.7060005068778992,0.009675876179608167,0.001
502,301.0,913,4522.8164,14,458752,4730.5419921875,23908.027809906005,0.2547576904296875,0.022311825,750,0.39115631580352783,-4.271861055493355,0.2,0.7034645080566406,0.00903366551756335,0.001
502,301.0,978,4793.456,15,491520,5247.28564453125,25235.00138168335,0.2577423095703125,0.023688562,760,0.39585113525390625,-4.260802333056927,0.2,0.7017714977264404,0.011126072511433448,0.001
