time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/value_loss,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/loss,train/entropy_loss,train/explained_variance,train/std,train/n_updates
56,-202.44177,32768,301.0,577,1,,,,,,,,,,,
134,-453.89456,65536,301.0,487,2,0.99827880859375,100.7742678925395,0.2,0.01,0.321162736320548,57.758717,60.98124694824219,-6.107240219973027,8.52346420288086e-05,1.1154015064239502,10
215,-482.4976,98304,301.0,455,3,0.996533203125,40.15774137675762,0.2,0.01,0.26021295679038303,765.12683,36.74601364135742,-6.169241321273148,0.0,1.137439489364624,20
296,-496.45493,131072,301.0,441,4,0.9993865966796875,83.17309030741453,0.2,0.01,0.23185194985308044,294.5973,33.37822723388672,-6.127009437419474,0.0,1.125203251838684,30
377,-497.31274,163840,301.0,434,5,0.999554443359375,132.4409454293549,0.2,0.01,0.2256764443111024,1166.2764,64.02904510498047,-6.578123763389885,0.0,1.2794840335845947,40
456,-496.43243,196608,301.0,430,6,0.999609375,180.11887072175742,0.2,0.01,0.22349562267918371,1727.5049,111.56484985351562,-6.201635695807636,0.0,1.1565722227096558,50
536,-1832.0133,229376,139.85,427,7,0.999609375,184.24253754168748,0.2,0.01,0.21176515149127226,961.3428,113.26929473876953,-5.90217119269073,0.0,1.0876669883728027,60
617,-1812.2734,262144,139.88,424,8,0.9990692138671875,44644.05811042785,0.2,0.01,0.2809541391397943,124.01383,14719.36328125,-5.921633624657988,-1.1920928955078125e-07,1.0889389514923096,70
697,-565.12244,294912,301.0,423,9,0.9991729736328125,33031.30976104736,0.2,0.01,0.27954256354205426,2868.0176,12318.10546875,-5.374654837884009,0.0,0.9489267468452454,80
776,-1792.3721,327680,139.87,422,10,0.99959716796875,4550.619670343399,0.2,0.01,0.20208872372604675,1424.5562,1660.930908203125,-5.187999542802572,-1.1920928955078125e-07,0.9131522178649902,90
855,-545.75806,360448,301.0,421,11,0.999603271484375,30390.548230743407,0.2,0.01,0.27714655998206583,1854.1342,18969.109375,-5.652296380326152,0.0,1.027687430381775,100
935,-496.4334,393216,301.0,420,12,0.999462890625,5239.7180280685425,0.2,0.01,0.21297019762714625,8856.709,3103.028564453125,-5.439298070222139,0.0,1.034123420715332,110
1015,-496.84464,425984,301.0,419,13,0.999578857421875,2997.6922787189483,0.2,0.01,0.21082129966671345,1156.9891,887.493896484375,-5.607918412610888,-1.1920928955078125e-07,1.081210732460022,120
1094,-496.50388,458752,301.0,419,14,0.99959716796875,2528.3024537563324,0.2,0.01,0.22104944235106813,424.7812,893.0436401367188,-5.680915253795684,0.0,1.1006215810775757,130
1174,-496.8415,491520,301.0,418,15,0.999609375,1958.0556106090546,0.2,0.01,0.22271392192196798,1095.7628,974.5628051757812,-5.835311853513121,0.0,1.1361570358276367,140
1253,-496.7478,524288,301.0,418,16,0.999603271484375,1538.9584233164787,0.2,0.01,0.22263555750687375,506.0326,1016.6780395507812,-5.930132196471095,-1.1920928955078125e-07,1.1663310527801514,150
1333,-497.10312,557056,301.0,417,17,0.999609375,1230.7821976542473,0.2,0.01,0.22248715874593472,2193.2935,744.0872192382812,-6.143686730600893,0.0,1.188065528869629,160
1413,-496.5406,589824,301.0,417,18,0.999603271484375,892.4547918975353,0.2,0.01,0.2105304331293155,483.82843,328.82208251953125,-6.484956652298569,0.0,1.2817749977111816,170
1492,-496.5664,622592,301.0,417,19,0.9995880126953125,896.8938751101493,0.2,0.01,0.21912715812504757,341.52313,713.6226196289062,-6.5737155506387355,0.0,1.3185473680496216,180
1572,-496.246,655360,301.0,416,20,0.999609375,786.5379504919052,0.2,0.01,0.2226622072761529,1888.0219,659.9557495117188,-5.841101204603911,0.0,1.090247631072998,190
1652,-496.90836,688128,301.0,416,21,0.999609375,688.7514898121357,0.2,0.01,0.22241287835822732,11780.441,242.2251739501953,-5.4500845357775685,0.0,0.9936555624008179,200
1732,-496.88657,720896,301.0,416,22,0.999609375,642.5679127126932,0.2,0.01,0.22274361320523894,2833.8381,206.64480590820312,-5.685975161381066,0.0,1.0390301942825317,210
1812,-496.51,753664,301.0,415,23,0.999609375,520.7482885852456,0.2,0.01,0.21059876948565942,4121.956,205.53060913085938,-4.985006889700889,0.0,0.8754826784133911,220
1892,-497.10245,786432,301.0,415,24,0.999609375,559.8757765620946,0.2,0.01,0.216576450946377,9261.813,200.9687042236328,-5.331317143887281,0.0,0.9600493311882019,230
1972,-496.8093,819200,301.0,415,25,0.999609375,547.3833609819412,0.2,0.01,0.22218751482505467,4127.8438,274.9087829589844,-5.816988949850201,0.0,1.1028350591659546,240
2052,-496.35712,851968,301.0,415,26,0.999609375,505.4513434022665,0.2,0.01,0.2224449799312424,6389.076,127.41888427734375,-5.871511097811163,0.0,1.2301573753356934,250
2133,-497.08624,884736,301.0,414,27,0.999609375,495.75090741068124,0.2,0.01,0.22256570508761797,18648.803,152.82518005371094,-6.146032845973968,0.0,1.3166941404342651,260
2213,-496.3944,917504,301.0,414,28,0.999609375,431.1723674863577,0.2,0.01,0.21076114073512145,30987.51,311.4001159667969,-6.154652757011354,0.0,1.3992365598678589,270
2293,-496.703,950272,301.0,414,29,0.999609375,468.8345217585564,0.2,0.01,0.21384192340192384,9054.513,250.85411071777344,-6.868948499299586,0.0,1.6687785387039185,280
2374,-496.83676,983040,301.0,414,30,0.999609375,495.43737507462504,0.2,0.01,0.22246845103727536,4431.339,266.58880615234375,-6.875485518574715,0.0,1.712174654006958,290
2454,-496.66745,1015808,301.0,413,31,0.999609375,485.45973349809645,0.2,0.01,0.22222631598124282,17935.14,399.3067321777344,-6.784939230047167,0.0,1.7668150663375854,300
