rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/learning_rate,train/clip_fraction,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/clip_range,train/loss,train/explained_variance,train/n_updates,train/approx_kl,train/std,eval/mean_ep_length,eval/mean_reward
845.3,2455.8826,362,90,32768,1,,,,,,,,,,,,,
873.0,2939.0571,365,179,65536,2,0.0001,0.0600189208984375,-1.9472660064697265,51921.56142578125,0.000411635482305428,0.2,19246.091796875,0.08813589811325073,2480,0.0085534975,0.3945527970790863,,
913.31,3197.6392,361,271,98304,3,0.0001,0.0488006591796875,-1.9469997510313988,52747.129663085936,0.00017064492567442358,0.2,22821.734375,0.12064158916473389,2490,0.007015959,0.3945462107658386,,
949.16,3647.392,361,362,131072,4,0.0001,0.0427459716796875,-1.94664421454072,49991.26027832031,-0.0002827083910233341,0.2,17356.154296875,0.1774025559425354,2500,0.006444946,0.3944791555404663,,
955.89,3741.397,362,452,163840,5,0.0001,0.0367340087890625,-1.9458381526172162,49970.72197265625,-7.198526291176676e-05,0.2,20437.384765625,0.17859363555908203,2510,0.0062354915,0.3943885564804077,,
955.77,3908.561,362,541,196608,6,0.0001,0.03514404296875,-1.945273832976818,46701.32105712891,0.0001564839345519431,0.2,20232.130859375,0.2584478259086609,2520,0.00637096,0.39437413215637207,,
979.3,4033.1907,362,632,229376,7,0.0001,0.034619140625,-1.9452121533453464,48054.490234375,0.0010638303894666024,0.2,18950.1875,0.26055532693862915,2530,0.0056632375,0.3943779468536377,,
995.61,3932.6216,363,721,262144,8,0.0001,0.0205657958984375,-1.9450346380472183,43930.059558105466,-0.00038926215565879827,0.2,18922.349609375,0.31934404373168945,2540,0.004405117,0.3943324089050293,,
1009.08,4194.1504,362,813,294912,9,0.0001,0.0310302734375,-1.9447185188531875,42257.46590576172,-0.0004697392439993564,0.2,15998.5244140625,0.3641776442527771,2550,0.0055523477,0.3943220376968384,,
1017.39,4376.5283,361,906,327680,10,0.0001,0.02550048828125,-1.944538690894842,51995.740551757815,-0.00026817331308848225,0.2,22573.92578125,0.36374354362487793,2560,0.005012296,0.3942953050136566,,
1045.77,5373.253,360,998,360448,11,0.0001,0.027606201171875,-1.9442541047930717,46017.19047851562,0.0001196052944578696,0.2,16072.052734375,0.3462611436843872,2570,0.0052556773,0.39426663517951965,,
1012.53,5341.2656,360,1091,393216,12,0.0001,0.02701416015625,-1.9438989095389843,46114.44294433594,0.0002598635219328571,0.2,18703.630859375,0.39191704988479614,2580,0.00524163,0.39421772956848145,,
1037.8,5922.7656,359,1184,425984,13,0.0001,0.04078369140625,-1.9435586214065552,49350.87219238281,-0.0005580394023127156,0.2,18256.40625,0.3960108757019043,2590,0.0060725496,0.39420580863952637,,
1020.81,5886.1733,359,1276,458752,14,0.0001,0.0229705810546875,-1.9434526659548284,45261.104223632814,-0.0004912054304440971,0.2,17705.58984375,0.4455706477165222,2600,0.0048183696,0.3941974639892578,,
1037.22,6087.3486,358,1369,491520,15,0.0001,0.017926025390625,-1.943225284665823,44926.779125976565,0.00010905371891567484,0.2,16806.87890625,0.44170403480529785,2610,0.004328328,0.39415180683135986,,
1069.42,6198.0,357,1464,524288,16,0.0001,0.0280120849609375,-1.942805878072977,43722.08631591797,-0.00038439334894064815,0.2,17426.392578125,0.4104406237602234,2620,0.004972091,0.3941221237182617,,
