time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,train/clip_fraction,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/value_loss,train/loss,train/entropy_loss,train/std,train/explained_variance,eval/mean_ep_length,eval/mean_reward
45,-360.2627,1474560,4810,297.43,306,0.2767730712890625,0.029450249,1670,0.0028858517682238015,0.2,0.001,3461.32848020792,995.0687255859375,-3.697268341574818,0.6109485626220703,0.6597362756729126,,
46,-271.71304,1507328,4918,300.48,306,0.2609893798828125,0.026318502,1680,0.002377434181107674,0.2,0.001,3219.9625795841216,703.2548828125,-3.6907685680314897,0.6094374656677246,0.6641909778118134,,
47,-164.9989,1540096,5026,300.77,306,0.256988525390625,0.025523307,1690,0.0023074865593116557,0.2,0.001,2861.464535152912,745.3457641601562,-3.6643541799858212,0.6063928008079529,0.6683089137077332,,
48,-391.22128,1572864,5134,300.31,306,0.2757232666015625,0.026485343,1700,0.004194619877671358,0.2,0.001,3706.2129796743393,727.2382202148438,-3.657747051678598,0.6052151322364807,0.6476649343967438,,
,,1600000,,,,0.28712158203125,0.029913692,1710,0.003870632349207881,0.2,0.001,2957.905624783039,357.34063720703125,-3.659800168313086,0.6064825057983398,0.659142404794693,149.73,-717.01953125
49,-135.4391,1605632,5280,296.85,304,,,,,,,,,,,,,
50,-241.77957,1638400,5388,298.65,304,0.2837615966796875,0.030334346,1720,0.007141460770799313,0.2,0.001,4085.8358516931535,382.26153564453125,-3.6658002138137817,0.6055231690406799,0.6559706628322601,,
51,-172.7094,1671168,5497,301.0,304,0.2705474853515625,0.030369718,1730,0.0034119878728233743,0.2,0.001,3021.805783236027,698.8480224609375,-3.6553910550661386,0.6037746667861938,0.658636063337326,,
52,-275.1189,1703936,5605,300.65,303,0.2773345947265625,0.028519355,1740,0.0032852101186108484,0.2,0.001,3043.336246705055,709.3336181640625,-3.6304814532399177,0.600024938583374,0.7033497095108032,,
53,-419.67087,1736704,5714,300.1,303,0.2820770263671875,0.028461307,1750,0.004074981223129726,0.2,0.001,3087.8567278146743,266.2540283203125,-3.604679865576327,0.5955858826637268,0.6934718191623688,,
54,-154.64874,1769472,5822,291.96,303,0.2921722412109375,0.031619206,1760,0.00329549483089977,0.2,0.001,2746.7452741742136,490.199951171875,-3.5848106290213764,0.5934587717056274,0.6948588788509369,,
55,-222.69957,1802240,5931,300.81,303,0.2717987060546875,0.027060647,1770,0.0030090119466876786,0.2,0.001,3296.478230082989,808.9060668945312,-3.576607300620526,0.5928182601928711,0.7082965672016144,,
56,-147.386,1835008,6038,298.36,303,0.2881072998046875,0.028542474,1780,0.005025213822409569,0.2,0.001,2491.1229694008825,358.0249328613281,-3.575495435204357,0.5944209098815918,0.6698918640613556,,
57,-301.03925,1867776,6146,300.78,303,0.275152587890625,0.02976353,1790,0.003295456755813575,0.2,0.001,3128.2000071287157,419.4747619628906,-3.5667702744714918,0.5923776030540466,0.7050978541374207,,
58,-94.8341,1900544,6254,300.97,303,0.2921600341796875,0.030633755,1800,0.0034377730244614215,0.2,0.001,2815.781458604336,267.59808349609375,-3.544495314732194,0.5874985456466675,0.7112013399600983,,
59,-217.78622,1933312,6362,298.43,303,0.310491943359375,0.03276035,1810,0.007023773947275913,0.2,0.001,3206.3680091381075,297.09332275390625,-3.524670904688537,0.5862288475036621,0.7089565396308899,,
60,-326.65417,1966080,6470,300.97,303,0.2862640380859375,0.029684164,1820,0.004387047417048961,0.2,0.001,3118.18492449522,339.617431640625,-3.5308480530045925,0.5857816934585571,0.7150824964046478,,
61,-311.65988,1998848,6578,300.33,303,0.2799072265625,0.029231127,1830,0.005507802753527358,0.2,0.001,2912.1096423625945,1969.3912353515625,-3.513236512057483,0.5838553309440613,0.7117992341518402,,
62,-68.27686,2031616,6687,301.0,303,0.2809326171875,0.028708206,1840,0.0037962060514928455,0.2,0.001,2843.8615928173067,557.1749267578125,-3.503765078727156,0.5822069644927979,0.7309863865375519,,
