time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/clip_fraction,train/approx_kl,train/n_updates,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/std,train/clip_range,train/loss,eval/mean_reward,eval/mean_ep_length
97,32768,335,886.96,1,2934.9065,,,,,,,,,,,,,
188,65536,346,951.2258064516129,2,3307.6868,0.06273193359375,0.008614741,2480,-1.947220255434513,49621.07604980469,0.0014310958875284995,0.05641096830368042,0.0001,0.39453956484794617,0.2,20239.419921875,,
282,98304,347,920.959595959596,3,3196.5388,0.0287689208984375,0.0054573333,2490,-1.946916937828064,49632.553491210936,0.00046693404074176214,0.12569624185562134,0.0001,0.39454126358032227,0.2,21599.921875,,
371,131072,352,935.83,4,3277.4211,0.041900634765625,0.006558189,2500,-1.9469086721539497,48714.90141601562,5.0987640133826065e-05,0.16208714246749878,0.0001,0.39452505111694336,0.2,18963.42578125,,
463,163840,353,915.75,5,3471.1506,0.036041259765625,0.006316459,2510,-1.9467935629189015,44858.97907714844,0.00014525615988532082,0.16009902954101562,0.0001,0.39451274275779724,0.2,18051.201171875,,
552,196608,355,921.61,6,3605.1553,0.047064208984375,0.0065303175,2520,-1.9465131618082523,49299.02778320313,0.0006221009745786433,0.27305346727371216,0.0001,0.3944707214832306,0.2,20703.251953125,,
644,229376,356,951.1,7,3905.1587,0.0428497314453125,0.0072402894,2530,-1.9461671113967896,53699.02016601562,0.00026066010832437314,0.2570459842681885,0.0001,0.3944511413574219,0.2,21348.841796875,,
734,262144,356,957.44,8,3833.5198,0.03206787109375,0.0051118946,2540,-1.9456939674913882,47035.34892578125,-0.00018266132101416588,0.3470953106880188,0.0001,0.39437076449394226,0.2,17475.48046875,,
826,294912,356,985.44,9,4246.9077,0.026708984375,0.004935559,2550,-1.9450698718428612,49918.3826171875,-0.00045847401488572357,0.34642595052719116,0.0001,0.3943365812301636,0.2,19562.859375,,
918,327680,356,1014.7,10,4792.985,0.020458984375,0.0041838014,2560,-1.9446994826197623,43183.87760009766,-0.0005087963028927334,0.40027034282684326,0.0001,0.39429575204849243,0.2,18436.4609375,,
1007,360448,357,1054.06,11,5057.128,0.0177398681640625,0.004439931,2570,-1.9442561089992523,46759.85834960938,0.00030193738130037675,0.4285847544670105,0.0001,0.39424219727516174,0.2,19471.359375,,
1098,393216,357,1054.92,12,4940.926,0.0168731689453125,0.004296466,2580,-1.9438739746809006,44948.27374267578,-0.0007636231923243031,0.4845878481864929,0.0001,0.3942229747772217,0.2,17381.4609375,,
1190,425984,357,1075.54,13,5393.3477,0.0174468994140625,0.004063838,2590,-1.9436311058700084,47879.98647460937,-0.0003712467150762677,0.48927175998687744,0.0001,0.3941929340362549,0.2,20577.291015625,,
1282,458752,357,1047.19,14,5772.9546,0.025872802734375,0.004534096,2600,-1.9433620646595955,47154.13406982422,-0.00016255530499620363,0.3901439905166626,0.0001,0.3941807746887207,0.2,16871.9765625,,
1374,491520,357,1053.71,15,6223.4375,0.02440185546875,0.0048404457,2610,-1.943071084469557,50109.46870117188,-6.721537065459415e-05,0.46796923875808716,0.0001,0.39413022994995117,0.2,19841.37890625,,
1467,524288,357,1027.41,16,6289.3066,0.0318023681640625,0.005105391,2620,-1.9426629476249218,51466.8638671875,-0.0002115821000188589,0.3925245404243469,0.0001,0.39411163330078125,0.2,20429.884765625,,
1561,557056,356,1061.83,17,6931.6206,0.018072509765625,0.003944119,2630,-1.9423458300530911,51871.04584960938,0.00016362049645977095,0.46113765239715576,0.0001,0.3940666913986206,0.2,23529.568359375,,
1654,589824,356,1057.29,18,7135.703,0.0221893310546875,0.004312985,2640,-1.9420413680374622,51381.24638671875,-0.00016988830320769922,0.4769899249076843,0.0001,0.3940522074699402,0.2,20626.259765625,,
1747,622592,356,1075.48,19,7424.8076,0.021282958984375,0.004379292,2650,-1.9416835278272628,50268.39851074219,0.0002057313482509926,0.4510108232498169,0.0001,0.3939882516860962,0.2,20170.880859375,,
1842,655360,355,1052.94,20,7389.335,0.0116729736328125,0.0035953606,2660,-1.941189955174923,50745.06437988281,-0.00022595214322791436,0.49228960275650024,0.0001,0.39396411180496216,0.2,19032.0703125,,
1936,688128,355,1074.69,21,7650.3354,0.022650146484375,0.0048368736,2670,-1.9408796399831771,50658.261059570315,-0.0004488913589739241,0.4874439239501953,0.0001,0.3939288854598999,0.2,19674.86328125,,
2034,720896,354,1074.54,22,8010.6807,0.01656494140625,0.003934352,2680,-1.9404423780739308,46139.35827636719,-0.0006270888479775749,0.5085667371749878,0.0001,0.3938722610473633,0.2,15910.462890625,,
2131,753664,353,1074.1,23,8029.5244,0.0205657958984375,0.0043299254,2690,-1.9400906711816788,50344.219409179685,-0.00012366916562314145,0.4964183568954468,0.0001,0.393867552280426,0.2,23631.916015625,,
2228,786432,352,1065.06,24,7919.0957,0.016802978515625,0.004109186,2700,-1.940087692439556,49958.80610351563,-0.00010403625783510506,0.4776960015296936,0.0001,0.39386671781539917,0.2,19633.5390625,,
2320,819200,353,1076.51,25,8318.262,0.02618408203125,0.004688009,2710,-1.9399317130446434,48987.766381835936,0.00015825819646124727,0.531358927488327,0.0001,0.3938337564468384,0.2,18663.345703125,,
2411,851968,353,1062.41,26,8018.9507,0.0272125244140625,0.0052543143,2720,-1.9393861718475818,53874.801513671875,-0.00012075027116225101,0.4803101420402527,0.0001,0.39375871419906616,0.2,22192.408203125,,
2504,884736,353,1062.95,27,8483.032,0.0193572998046875,0.004132862,2730,-1.9387613251805305,49962.178051757815,8.924849680624902e-07,0.6180499792098999,0.0001,0.3937188982963562,0.2,19847.26171875,,
2599,917504,352,1064.92,28,8649.868,0.02183837890625,0.0037759217,2740,-1.9384027309715748,49934.930859375,-0.00017993568399106153,0.571212649345398,0.0001,0.3936882019042969,0.2,18629.21875,,
2692,950272,352,1067.63,29,8904.309,0.025146484375,0.0049524084,2750,-1.9382405675947667,49585.534838867185,-0.00015194855877780354,0.6434488296508789,0.0001,0.39369016885757446,0.2,18964.876953125,,
2786,983040,352,1068.26,30,9035.157,0.0182373046875,0.004407499,2760,-1.9381759397685527,52439.34829101562,0.0002733964814979117,0.5836853981018066,0.0001,0.3936658501625061,0.2,20208.599609375,,
2880,1015808,352,1069.2,31,8780.209,0.0180084228515625,0.0039903168,2770,-1.9379965603351592,48701.97416992187,5.528913607122376e-06,0.5621196031570435,0.0001,0.3936590552330017,0.2,17828.609375,,
2973,1048576,352,1064.36,32,9244.685,0.02716064453125,0.0053239902,2780,-1.9377714678645135,51875.47456054688,-0.0009978498979762661,0.538306474685669,0.0001,0.3936157822608948,0.2,19631.84765625,,
3064,1081344,352,1034.42,33,8669.241,0.0187164306640625,0.0044649765,2790,-1.937505056709051,55328.28615722656,0.0002058896359812934,0.5874805748462677,0.0001,0.3936138451099396,0.2,21847.939453125,,
3158,1114112,352,1012.09,34,8711.149,0.0272186279296875,0.0053358944,2800,-1.9375499591231347,52792.110620117186,0.0006454629983636551,0.5489380657672882,0.0001,0.3936220407485962,0.2,20409.896484375,,
3248,1146880,353,965.87,35,7849.174,0.014642333984375,0.0039945403,2810,-1.9373604826629163,55723.779052734375,-0.00037976013773004523,0.5541397631168365,0.0001,0.39357173442840576,0.2,20449.263671875,,
3343,1179648,352,956.75,36,7921.6904,0.01124267578125,0.0033196607,2820,-1.937026008963585,59236.69609375,-0.00016035325388656928,0.4526447057723999,0.0001,0.3935646414756775,0.2,24263.00390625,,
3435,1212416,352,920.86,37,7651.44,0.0387908935546875,0.0053321635,2830,-1.9368329711258412,57745.443090820314,0.0006855224957689643,0.5102764368057251,0.0001,0.39352530241012573,0.2,22502.390625,,
3526,1245184,353,930.21,38,7698.736,0.0311065673828125,0.005172408,2840,-1.9363785780966283,59405.94731445312,-0.00033954217287828213,0.46016883850097656,0.0001,0.3934759497642517,0.2,22501.9296875,,
3623,1277952,352,939.44,39,7836.7695,0.0407257080078125,0.0065985327,2850,-1.9359473586082458,61307.94194335937,3.651722363429144e-05,0.47688645124435425,0.0001,0.39343953132629395,0.2,24326.337890625,,
3718,1310720,352,978.34,40,7943.9507,0.028033447265625,0.0049523925,2860,-1.9356540791690349,52043.30385742187,0.0004916905068967026,0.5009737312793732,0.0001,0.39342185854911804,0.2,19535.7109375,,
3815,1343488,352,1037.22,41,8328.111,0.014251708984375,0.0035832464,2870,-1.93564797565341,52950.13715820313,1.6316738037858158e-05,0.5356586575508118,0.0001,0.39344674348831177,0.2,20956.392578125,,
3911,1376256,351,999.55,42,7700.8423,0.025311279296875,0.0046132472,2880,-1.935853086411953,57470.16635742188,-0.00017423599419998936,0.5445604622364044,0.0001,0.3934539258480072,0.2,22368.62890625,,
4007,1409024,351,994.08,43,7609.2188,0.0260284423828125,0.0047185896,2890,-1.9356815978884696,58832.413671875,8.639942752779462e-05,0.4870895743370056,0.0001,0.39340782165527344,0.2,24790.521484375,,
4099,1441792,351,975.64,44,7247.661,0.027862548828125,0.005368797,2900,-1.9354963332414628,54647.04929199219,0.0005453113320982083,0.544222503900528,0.0001,0.3934280276298523,0.2,21762.83203125,,
4192,1474560,351,1024.12,45,7659.7686,0.026361083984375,0.005268884,2910,-1.9354103066027164,53293.2509765625,-0.00034682200639508666,0.4411877393722534,0.0001,0.393374502658844,0.2,19434.263671875,,
4288,1507328,351,1047.18,46,7785.252,0.0191558837890625,0.003885126,2920,-1.9348801895976067,50558.77885742187,-0.0008486505408654921,0.4463682770729065,0.0001,0.39333397150039673,0.2,20356.7265625,,
4383,1540096,351,1084.98,47,8320.388,0.023944091796875,0.004947183,2930,-1.9344671480357647,49820.53208007813,-9.491218224866316e-05,0.5304526388645172,0.0001,0.39329373836517334,0.2,21396.9375,,
4477,1572864,351,1078.79,48,8380.655,0.029278564453125,0.004820688,2940,-1.9341586507856845,55817.482104492185,-0.0010553337502642534,0.40641385316848755,0.0001,0.39327147603034973,0.2,19817.09765625,,
,1600000,,,,,0.02196044921875,0.0043536373,2950,-1.933996145427227,51965.2103515625,0.00022537870318046772,0.477077841758728,0.0001,0.3932648301124573,0.2,20735.623046875,7035.85302734375,1385.64
5043,1605632,318,1105.96,49,8684.0,,,,,,,,,,,,,
5140,1638400,318,1114.53,50,8602.769,0.0323974609375,0.005616472,2960,-1.9339108362793922,48437.47351074219,-0.0002504685333406087,0.5650162100791931,0.0001,0.39325010776519775,0.2,18001.80859375,,
5234,1671168,319,1166.71,51,9148.688,0.0254791259765625,0.0049187993,2970,-1.9338039755821228,49361.04548339844,-0.00023028751820675097,0.48180222511291504,0.0001,0.39324498176574707,0.2,23207.017578125,,
5329,1703936,319,1199.15,52,9502.267,0.0162567138671875,0.003651824,2980,-1.9335835076868535,46487.59870605469,-5.458547093439847e-06,0.5261644124984741,0.0001,0.39320850372314453,0.2,16890.490234375,,
5424,1736704,320,1171.15,53,9744.004,0.017205810546875,0.0039517586,2990,-1.9332648925483227,45922.820532226564,1.3408786981017328e-05,0.5050326585769653,0.0001,0.393186092376709,0.2,17118.53515625,,
