time/iterations,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_fraction,train/entropy_loss,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/std,train/clip_range,train/explained_variance,train/loss,train/learning_rate,train/value_loss
1,32768,562,58,301.0,-217.28163,,,,,,,,,,,
2,65536,425,153,159.32,-1697.4242,0.991986083984375,-6.267666522413492,48.2202,10,0.3134329421951406,1.166219711303711,0.2,0.00025916099548339844,49.535484313964844,0.01,99.96825287342071
3,98304,395,248,157.71,-1750.05,0.9568450927734375,-6.544038194417953,33.959152,20,0.2603534841415239,1.256978988647461,0.2,0.0,34760.56640625,0.01,45388.622159576415
4,131072,375,348,164.8,-1965.5508,0.9715057373046875,-7.215742926858366,46.465714,30,0.26059212031705103,1.4844255447387695,0.2,-1.1920928955078125e-07,13548.228515625,0.01,44618.70746917724
5,163840,367,446,124.02,-1646.7247,0.978985595703125,-7.0131512938067315,326.37164,40,0.2611932927089583,1.404538869857788,0.2,0.0,13089.904296875,0.01,26077.696659469606
6,196608,361,543,124.03,-1717.0072,0.9938018798828125,-7.040080076828599,144.81624,50,0.2886363105291821,1.4275912046432495,0.2,0.0,16639.4453125,0.01,21971.445553970338
7,229376,358,640,140.09,-1680.3181,0.998370361328125,-6.823364851996303,2063.1748,60,0.2983929224756139,1.338133692741394,0.2,0.0,10866.4365234375,0.01,14762.554823303222
8,262144,355,737,140.11,-1710.636,0.99727783203125,-7.094212472625077,223.59145,70,0.2854209084638569,1.4370160102844238,0.2,0.0,7824.9560546875,0.01,12991.726906394959
9,294912,353,834,140.06,-1680.1234,0.9992767333984375,-7.251490684226155,317.2338,80,0.2811790255625965,1.548892617225647,0.2,-1.1920928955078125e-07,6170.81640625,0.01,13535.042378997803
10,327680,351,932,140.11,-1700.6528,0.9994537353515625,-7.6241346772760155,147.01617,90,0.28280609455832745,1.6905930042266846,0.2,5.960464477539063e-08,3496.313232421875,0.01,12431.912545204163
