rollout/ep_len_mean,time/fps,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/explained_variance,train/approx_kl,train/loss,train/std,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/clip_range,train/value_loss,train/learning_rate,train/entropy_loss,eval/mean_reward,eval/mean_ep_length
564.0384615384615,293,32768,1,111,1446.8628,,,,,,,,,,,,,
575.13,286,65536,2,228,1303.6307,0.09677541255950928,0.0908273,4389.46923828125,0.640897274017334,0.5572021484375,0.05607076030391909,1240,0.2,24188.397188186646,0.001,-3.8716612694785,,
574.11,285,98304,3,344,1203.0482,0.3149837851524353,0.054838613,2586.596923828125,0.6422449350357056,0.43900146484375,0.027562789481817163,1250,0.2,12759.29387626648,0.001,-3.882215303182602,,
574.16,285,131072,4,459,1234.8213,0.39082974195480347,0.050848916,2190.498046875,0.6441657543182373,0.4161529541015625,0.02123940655583283,1260,0.2,11185.438091278076,0.001,-3.8913395682349803,,
575.11,284,163840,5,575,1179.0142,0.2710624933242798,0.044614375,3985.750244140625,0.6459724307060242,0.3954925537109375,0.017726917477193637,1270,0.2,9495.991084861755,0.001,-3.903446401283145,,
586.24,284,196608,6,691,1260.9003,0.3183133602142334,0.05257404,960.8790283203125,0.6452771425247192,0.43350830078125,0.01904262021653267,1280,0.2,6902.334342098236,0.001,-3.904621331393719,,
591.15,284,229376,7,806,1382.1897,0.38930612802505493,0.040572114,1129.45947265625,0.6445251703262329,0.3738555908203125,0.011954388960293726,1290,0.2,6794.110683345794,0.001,-3.902726578898728,,
585.67,284,262144,8,921,1225.677,0.4061759114265442,0.038413517,738.1642456054688,0.647226870059967,0.3467864990234375,0.010297103226366743,1300,0.2,6674.3229700088505,0.001,-3.9053883025422693,,
578.5,284,294912,9,1037,1161.5415,0.43221503496170044,0.03957291,983.2265014648438,0.6472405195236206,0.3603424072265625,0.011310774279809265,1310,0.2,5807.770890426636,0.001,-3.914129386283457,,
588.78,283,327680,10,1155,1184.5679,0.3428788185119629,0.037088662,1214.772216796875,0.6463727355003357,0.344622802734375,0.009038704858539859,1320,0.2,5565.683446979523,0.001,-3.9100567951798437,,
601.0,283,360448,11,1270,1240.0576,0.3639218807220459,0.038257528,844.4533081054688,0.6446191668510437,0.3486053466796875,0.009212834438949357,1330,0.2,4297.707975339889,0.001,-3.9022492967545985,,
601.0,283,393216,12,1385,1376.9844,0.32570362091064453,0.033088475,732.2618408203125,0.6395153999328613,0.3203369140625,0.009056237266486277,1340,0.2,5353.0133237838745,0.001,-3.8808843616396187,,
601.0,282,425984,13,1508,1204.3372,0.3646395206451416,0.034593835,963.82373046875,0.6367173194885254,0.3322113037109375,0.009577280584380787,1350,0.2,4742.6269998550415,0.001,-3.859445834159851,,
597.05,281,458752,14,1629,1054.4818,0.39022624492645264,0.034380194,1735.4122314453125,0.6312242150306702,0.326934814453125,0.007003289884232799,1360,0.2,4954.394686079026,0.001,-3.8316137447953222,,
586.6,281,491520,15,1748,1151.4476,0.3722291588783264,0.03574534,494.7291259765625,0.6295376420021057,0.3286407470703125,0.0070361897589464205,1370,0.2,4538.666377019882,0.001,-3.812114468216896,,
