time/fps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/clip_range,train/std,train/approx_kl,train/value_loss,train/explained_variance,train/n_updates,train/clip_fraction,train/loss,train/policy_gradient_loss,train/learning_rate,train/entropy_loss
551,1,59,-226.50166,32768,301.0,,,,,,,,,,,
521,2,125,-197.67455,65536,301.0,0.2,1.0161373615264893,0.0600619,91.03647449016572,-0.0003999471664428711,10,0.543524169921875,39.039005279541016,0.05328460855416779,0.01,-5.72299977093935
507,3,193,-187.5291,98304,301.0,0.2,1.0159682035446167,0.04214453,117.3692329287529,5.960464477539063e-08,20,0.58577880859375,71.53264617919922,0.06972515789748286,0.01,-5.79266143143177
