time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/policy_gradient_loss,train/explained_variance,train/loss,train/learning_rate,train/value_loss,train/clip_fraction,train/n_updates,train/std,train/entropy_loss,train/approx_kl,train/clip_range,eval/mean_ep_length,eval/mean_reward
32768,115,1,359.3452380952381,901.6903,283,,,,,,,,,,,,,
65536,235,2,374.18,1029.6245,278,0.002969000030498137,0.037344157695770264,30594.64453125,0.0001,62072.587182617186,0.1268890380859375,2480,0.3945983648300171,-1.9474871512502432,0.0117400065,0.2,,
98304,355,3,389.35,1190.8867,276,-0.0005324021982232807,0.28474652767181396,25914.86328125,0.0001,62812.028845214845,0.0657684326171875,2490,0.39457106590270996,-1.9474313642829657,0.009053168,0.2,,
131072,476,4,404.54,1180.7878,274,0.0003831065947451862,0.35634440183639526,20698.541015625,0.0001,54347.332556152345,0.0417816162109375,2500,0.3945889174938202,-1.947341251000762,0.0061267754,0.2,,
163840,599,5,435.95,1343.1453,273,7.778032158967108e-05,0.3644668459892273,25094.02734375,0.0001,59434.535815429685,0.04918212890625,2510,0.39449524879455566,-1.9469954814761876,0.006757675,0.2,,
196608,720,6,436.14,1268.8591,272,-0.000338322826064541,0.4565359950065613,21948.3359375,0.0001,53048.21993408203,0.048468017578125,2520,0.3944411277770996,-1.9461758371442557,0.0072229626,0.2,,
229376,843,7,468.81,1486.7837,271,8.705197724339087e-05,0.5123347640037537,22709.451171875,0.0001,51166.79602050781,0.02490234375,2530,0.3944227695465088,-1.945805586129427,0.0047035655,0.2,,
262144,964,8,454.58,1394.4379,271,-0.00025331684955745006,0.6194459199905396,17783.9375,0.0001,39277.38839111328,0.032135009765625,2540,0.3944110870361328,-1.9456748817116023,0.0052919732,0.2,,
294912,1085,9,471.25,1499.3114,271,-0.0003441678649323876,0.612197756767273,19479.9765625,0.0001,49541.28940429688,0.029852294921875,2550,0.3943357467651367,-1.9452492013573646,0.00542734,0.2,,
327680,1206,10,470.76,1529.6692,271,-0.00023361920575553085,0.6455512940883636,13868.501953125,0.0001,42586.811791992186,0.02655029296875,2560,0.39431673288345337,-1.9447265349328517,0.00445144,0.2,,
360448,1328,11,460.7,1398.6769,271,-0.0007764583813695935,0.6607364118099213,16925.404296875,0.0001,46543.05458374023,0.02562255859375,2570,0.39428406953811646,-1.944482847675681,0.0048450194,0.2,,
393216,1448,12,440.7,1287.8646,271,-0.00034489503159420567,0.6498178839683533,15596.876953125,0.0001,49929.1083984375,0.0286468505859375,2580,0.3942455053329468,-1.9440755076706409,0.0050520143,0.2,,
425984,1571,13,490.61,1596.39,271,-0.0005756000120527461,0.6751327514648438,15056.9931640625,0.0001,46397.69794921875,0.023052978515625,2590,0.39422011375427246,-1.9437028110027312,0.0048768446,0.2,,
458752,1691,14,485.07,1783.8015,271,-0.00033614586900512224,0.7098720371723175,13355.544921875,0.0001,41363.58579711914,0.032318115234375,2600,0.39418646693229675,-1.9434104476124048,0.005628163,0.2,,
491520,1810,15,461.93,1816.7755,271,-0.00022813511786807795,0.7007220685482025,16845.595703125,0.0001,45700.26009521484,0.0396392822265625,2610,0.39412161707878113,-1.9429229345172643,0.0059247157,0.2,,
524288,1932,16,495.69,2111.0254,271,-0.0009772219349542866,0.6977934837341309,15873.78125,0.0001,44623.8746887207,0.0246917724609375,2620,0.3940799832344055,-1.942338102683425,0.0052288068,0.2,,
557056,2053,17,507.57,2198.803,271,-0.0011436312652222114,0.7076797485351562,14486.1787109375,0.0001,41095.92830200195,0.0357757568359375,2630,0.39406996965408325,-1.9420471671968698,0.0059252935,0.2,,
589824,2173,18,471.25,2083.157,271,-0.001012294325119001,0.7136177122592926,16829.10546875,0.0001,44634.086462402345,0.04571533203125,2640,0.39404845237731934,-1.9419364970177413,0.0064966166,0.2,,
622592,2293,19,463.29,2163.502,271,0.00017550494703755248,0.6838149428367615,16940.3359375,0.0001,47222.09655151367,0.02008056640625,2650,0.3940477669239044,-1.9418056398630141,0.004543811,0.2,,
655360,2414,20,438.62,1998.6127,271,-0.00041651827159512323,0.6894830167293549,20341.78125,0.0001,49302.32892456055,0.0235565185546875,2660,0.39403191208839417,-1.9417280383408069,0.005028405,0.2,,
688128,2536,21,468.68,2179.398,271,-0.0009688246695077396,0.6641978919506073,19323.388671875,0.0001,49399.641333007814,0.03974609375,2670,0.3940051198005676,-1.9414977423846722,0.006197382,0.2,,
720896,2655,22,434.51,2050.2236,271,-0.0006616892511374317,0.7194560170173645,14309.97265625,0.0001,42849.3576171875,0.034136962890625,2680,0.39397507905960083,-1.9412131387740374,0.0061017186,0.2,,
753664,2777,23,428.5,1786.0547,271,0.00024639572857267924,0.6463451385498047,16763.77734375,0.0001,48483.82985229492,0.0289276123046875,2690,0.393941193819046,-1.9408643223345279,0.005558698,0.2,,
786432,2897,24,465.59,2269.7607,271,-0.00045418404006341006,0.6864516735076904,21571.201171875,0.0001,47452.37870483399,0.024237060546875,2700,0.3939114212989807,-1.9405252415686847,0.004604554,0.2,,
819200,3016,25,427.97,2057.1453,271,-0.0009283084003982367,0.6879420876502991,17320.048828125,0.0001,39610.072924804685,0.0314208984375,2710,0.3938746750354767,-1.940203484892845,0.0048079165,0.2,,
851968,3137,26,448.48,2223.613,271,0.00019803726445388747,0.6379541754722595,15244.634765625,0.0001,49726.77556762695,0.0421875,2720,0.39387047290802,-1.9400010086596011,0.005663214,0.2,,
884736,3254,27,432.39,2289.7322,271,0.00045793433819198983,0.6358043849468231,17895.5,0.0001,48499.393981933594,0.0210968017578125,2730,0.3938712775707245,-1.9399924516677856,0.0041665602,0.2,,
917504,3374,28,461.19,2573.3699,271,-0.0009400299408298451,0.6210779845714569,17418.16796875,0.0001,47453.32627563477,0.030816650390625,2740,0.3938601016998291,-1.9399257253855466,0.0050854776,0.2,,
950272,3492,29,443.6,2184.675,272,-0.000811027581221424,0.6562997400760651,19367.8828125,0.0001,46310.153515625,0.0217803955078125,2750,0.3938528895378113,-1.9398334711790084,0.004508439,0.2,,
