time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/n_updates,train/value_loss,train/loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/std,train/approx_kl,train/entropy_loss,train/clip_range,train/explained_variance,eval/mean_reward,eval/mean_ep_length
1,-88.3699,429,76,301.0,32768,,,,,,,,,,,,,
2,-93.7859,411,159,301.0,65536,10,1668.9867106199265,1163.3414306640625,0.00477209500495519,0.001,0.20013427734375,1.0087248086929321,0.0056251558,-5.7112338319420815,0.2,-3.9458274841308594e-05,,
3,-15.067294,405,242,301.0,98304,20,921.3297065019608,807.6224975585938,-0.002387463577451854,0.001,0.03526611328125,1.0094751119613647,0.0043163076,-5.711160986870527,0.2,0.047905027866363525,,
4,-2.0424254,402,325,301.0,131072,30,1470.5814305067063,355.718505859375,-0.00264636075389717,0.001,0.04635009765625,1.0093659162521362,0.0064028176,-5.712917486578226,0.2,0.05859780311584473,,
5,29.537004,400,408,301.0,163840,40,2141.1266274094583,528.5269165039062,-0.00019703392554220044,0.001,0.00771484375,1.0088746547698975,0.0025636484,-5.7119044870138165,0.2,0.03598600625991821,,
6,-2.6857116,399,492,301.0,196608,50,1804.173054265976,425.6644592285156,-0.0005795898210635642,0.001,0.013665771484375,1.0080820322036743,0.0034112418,-5.709713868796825,0.2,0.06747937202453613,,
7,40.5287,398,575,301.0,229376,60,1047.6346127867698,419.5564880371094,-0.0010072327351736022,0.001,0.0260162353515625,1.0087146759033203,0.004828229,-5.7091409176588055,0.2,0.10502326488494873,,
8,83.219215,397,658,301.0,262144,70,1390.9785976409912,642.3339233398438,-0.000217407880245446,0.001,0.020751953125,1.0100606679916382,0.0038499776,-5.712412993609905,0.2,0.005137443542480469,,
9,168.82512,397,742,301.0,294912,80,1373.7810140371323,621.4954223632812,-0.0012977612033864717,0.001,0.023834228515625,1.0075159072875977,0.0052119074,-5.712607963383197,0.2,0.022527754306793213,,
10,183.50365,396,826,301.0,327680,90,1560.172541308403,446.500244140625,-0.00012161242357251467,0.001,0.02198486328125,1.0061981678009033,0.0036372433,-5.7036263912916185,0.2,0.015526175498962402,,
11,180.53459,395,910,301.0,360448,100,2054.920301127434,420.9154052734375,-0.0006880848588480149,0.001,0.021630859375,1.0047156810760498,0.004682868,-5.697449372708798,0.2,0.0057086944580078125,,
12,229.8462,395,993,301.0,393216,110,1605.8009493112563,547.7601318359375,-0.0011831979652015435,0.001,0.040093994140625,1.0050032138824463,0.0065293647,-5.694744385778904,0.2,0.05671018362045288,,
