rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/clip_fraction,train/learning_rate,train/explained_variance,train/value_loss,train/std,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/n_updates,train/entropy_loss,train/loss,eval/mean_reward,eval/mean_ep_length
333.72222222222223,285.03827,32768,82,399,1,,,,,,,,,,,,,
354.8,366.70398,65536,166,394,2,0.06180419921875,0.0001,0.11351728439331055,16883.860389709473,0.39440974593162537,-0.00019127807154291078,0.0067374674,0.2,2480,-1.946523854508996,5614.87646484375,,
341.84,442.3834,98304,248,395,3,0.0361175537109375,0.0001,0.27631324529647827,16161.330828857423,0.39436644315719604,-0.0007448068650774076,0.0051618693,0.2,2490,-1.9454567089676857,5394.09716796875,,
350.14,474.73508,131072,332,394,4,0.0508270263671875,0.0001,0.375328004360199,14822.603077697753,0.3941737115383148,-0.00029316197742446093,0.006097452,0.2,2500,-1.9442091967910529,7745.82861328125,,
361.79,456.93945,163840,417,392,5,0.067755126953125,0.0001,0.4961598515510559,13431.535729217529,0.39412015676498413,-0.0020041071644300245,0.0063069975,0.2,2510,-1.9428970098495484,5031.20947265625,,
365.99,594.4373,196608,502,391,6,0.0451080322265625,0.0001,0.6030468940734863,11041.13465499878,0.3940020501613617,-0.0012570918377605266,0.005660871,0.2,2520,-1.9420537950471044,4984.59619140625,,
386.79,796.5,229376,591,387,7,0.0589569091796875,0.0001,0.5296365320682526,12041.13777770996,0.3938942551612854,-0.0007845336514947121,0.006644292,0.2,2530,-1.9409342095255853,3812.777587890625,,
382.93,743.8389,262144,677,386,8,0.040679931640625,0.0001,0.5992157459259033,14511.388521575927,0.39377880096435547,-0.0017558262898091925,0.0047816527,0.2,2540,-1.9397097742184997,9000.3974609375,,
410.31,1202.1511,294912,768,383,9,0.05150146484375,0.0001,0.5190935134887695,19444.659289550782,0.39366161823272705,-0.001985371922091872,0.006460865,0.2,2550,-1.9385769296437503,5193.51025390625,,
425.05,1425.735,327680,855,382,10,0.0542572021484375,0.0001,0.558842122554779,17432.62526931763,0.39348629117012024,-0.001980585971614346,0.006026743,0.2,2560,-1.937064008973539,6227.3212890625,,
443.52,1725.9381,360448,946,381,11,0.0488555908203125,0.0001,0.5865741074085236,15835.146157836914,0.39340075850486755,-0.00045067020455462624,0.0061491504,0.2,2570,-1.9356656827032566,6239.95556640625,,
428.87,1458.6672,393216,1035,379,12,0.049554443359375,0.0001,0.5715410709381104,22795.670210266115,0.39339035749435425,-0.0015031414997793036,0.0057998197,0.2,2580,-1.9351047575473785,7279.5576171875,,
441.82,1783.3573,425984,1128,377,13,0.0673675537109375,0.0001,0.5098851323127747,26679.2657333374,0.39333564043045044,-0.001323062069423031,0.00709817,0.2,2590,-1.9347608601674438,16336.474609375,,
463.69,2242.052,458752,1221,375,14,0.03399658203125,0.0001,0.5743059813976288,28018.983367919922,0.393276572227478,-0.0005529498526811949,0.0049334317,0.2,2600,-1.9341520424932241,11608.0498046875,,
468.62,2370.1848,491520,1316,373,15,0.036669921875,0.0001,0.4711320996284485,32116.57717285156,0.39318788051605225,-0.0007708561346589704,0.0053612255,0.2,2610,-1.9333689965307712,9511.626953125,,
495.0,2961.6997,524288,1413,371,16,0.043182373046875,0.0001,0.4397428035736084,34527.20833435059,0.39308252930641174,0.0005525293356186012,0.0059924372,0.2,2620,-1.9324181945994496,13265.8994140625,,
497.92,2972.4194,557056,1508,369,17,0.0455474853515625,0.0001,0.4573494791984558,37203.49342956543,0.3930679261684418,-0.00017343161680400955,0.005674403,0.2,2630,-1.9317435843870043,14935.740234375,,
497.89,3092.52,589824,1605,367,18,0.04095458984375,0.0001,0.526886522769928,35918.529934692386,0.39299851655960083,0.00010863970819627867,0.0055801766,0.2,2640,-1.9312919840216636,15332.6240234375,,
458.65,2535.069,622592,1697,366,19,0.0446380615234375,0.0001,0.5330165922641754,31634.15533294678,0.3929419219493866,-0.001530285758599348,0.005888739,0.2,2650,-1.9306422188878058,8925.7392578125,,
470.42,2847.3594,655360,1792,365,20,0.03294677734375,0.0001,0.5367614328861237,35732.505960083006,0.3929294943809509,-0.0006984309648032649,0.005249875,0.2,2660,-1.9302422311156988,10793.916015625,,
468.03,2842.8757,688128,1888,364,21,0.0358795166015625,0.0001,0.6016040444374084,43469.559774780275,0.39289742708206177,0.00013862905580026564,0.0055256635,0.2,2670,-1.9299765316769482,15387.1611328125,,
451.02,2346.8306,720896,1977,364,22,0.0352294921875,0.0001,0.649316668510437,36731.66664123535,0.39281681180000305,7.974331037985394e-05,0.005787371,0.2,2680,-1.9294218752533197,12124.3359375,,
452.02,2289.5198,753664,2066,364,23,0.0361114501953125,0.0001,0.6322525441646576,36141.07484741211,0.39278724789619446,-0.00024700372414372397,0.0049274103,0.2,2690,-1.928847703523934,14600.41015625,,
455.44,2382.2915,786432,2151,365,24,0.01910400390625,0.0001,0.6585897207260132,37402.99147338867,0.39276736974716187,3.290294753242051e-05,0.0040540993,0.2,2700,-1.9286197513341903,13178.6884765625,,
436.38,2010.3912,819200,2237,366,25,0.02686767578125,0.0001,0.678822934627533,33226.19327697754,0.3926907777786255,-0.00042608794938132634,0.004509422,0.2,2710,-1.9281100809574128,16422.708984375,,
440.35,1991.9677,851968,2321,367,26,0.0232513427734375,0.0001,0.6739169061183929,37733.6924621582,0.3926994204521179,-3.759138962777797e-06,0.004342549,0.2,2720,-1.9277421813458204,9744.5693359375,,
