time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/iterations,train/approx_kl,train/n_updates,train/entropy_loss,train/explained_variance,train/loss,train/policy_gradient_loss,train/std,train/clip_fraction,train/value_loss,train/clip_range,train/learning_rate,eval/mean_reward,eval/mean_ep_length
205,917504,572.69,2760.751,4459,28,0.019526,2120,-2.3437376379966737,0.7229132056236267,553.6876220703125,0.002519769852005993,0.4353945851325989,0.199078369140625,5380.820055389404,0.2,0.001,,
205,950272,576.34,2754.0825,4618,29,0.019980079,2130,-2.339079774916172,0.6927007734775543,851.78955078125,0.0029628465556015724,0.43503618240356445,0.211700439453125,6380.6426090240475,0.2,0.001,,
205,983040,596.31,2923.1265,4777,30,0.017959233,2140,-2.3279263466596603,0.6881103515625,543.3819580078125,0.0035809865379633266,0.43297481536865234,0.197393798828125,5918.042124938965,0.2,0.001,,
205,1015808,594.65,2754.8135,4936,31,0.020342197,2150,-2.3185132585465906,0.7303195297718048,462.8515625,0.004605505989457015,0.4331868290901184,0.209613037109375,4419.264961242676,0.2,0.001,,
205,1048576,587.17,2727.797,5096,32,0.01813061,2160,-2.3094692170619964,0.7814353257417679,698.6450805664062,0.0009284976891649422,0.43084463477134705,0.1969146728515625,5443.6931800842285,0.2,0.001,,
205,1081344,597.83,2675.9795,5256,33,0.019968662,2170,-2.2984616316854956,0.7572073638439178,695.5157470703125,0.0014893820949509972,0.43083882331848145,0.2032501220703125,5662.244003677368,0.2,0.001,,
205,1114112,596.32,3015.387,5415,34,0.022472717,2180,-2.284191796183586,0.7876486331224442,515.9395751953125,0.003691323632665444,0.42794471979141235,0.234515380859375,4491.453088378907,0.2,0.001,,
205,1146880,588.88,2975.9338,5574,35,0.019945558,2190,-2.2625136569142343,0.753738209605217,829.542724609375,0.0027181117118743716,0.42580223083496094,0.2091552734375,5832.317246627807,0.2,0.001,,
205,1179648,591.56,3078.7346,5733,36,0.023224395,2200,-2.2519717052578927,0.7469207346439362,654.9237670898438,0.004346248505316908,0.4259479343891144,0.2427947998046875,5283.092890167236,0.2,0.001,,
205,1212416,573.73,2799.1152,5892,37,0.018411817,2210,-2.242846728861332,0.7575328648090363,651.1759033203125,0.0010136071705346694,0.42342859506607056,0.1948089599609375,5311.348749351501,0.2,0.001,,
205,1245184,579.42,2598.9229,6051,38,0.01946257,2220,-2.2278628654778005,0.7166935801506042,1543.1363525390625,0.0036366337622894206,0.4231036901473999,0.21812744140625,6324.993361282349,0.2,0.001,,
