time/iterations,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_fraction,train/entropy_loss,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/std,train/clip_range,train/explained_variance,train/loss,train/learning_rate,train/value_loss
1,32768,574,57,301.0,-213.60078,,,,,,,,,,,
2,65536,434,150,301.0,-441.57678,0.9943145751953125,-6.072791164927184,51.995766,10,0.3145283817008021,1.1092126369476318,0.2,-0.00040280818939208984,50.07212829589844,0.01,104.57598931193351
3,98304,398,246,301.0,-494.4598,0.9933929443359375,-6.364688865840435,258.43488,20,0.25440353832091206,1.2110278606414795,0.2,0.0,13.220393180847168,0.01,38.14591160416603
4,131072,383,341,301.0,-496.89053,0.9960357666015625,-7.983899144828319,318.2884,30,0.22636331417033945,1.8123823404312134,0.2,0.0,57.771934509277344,0.01,79.84802769757808
5,163840,373,438,301.0,-496.75195,0.9959686279296875,-8.503925946727396,83.914986,40,0.22416569454908314,2.077791213989258,0.2,0.0,67.03691864013672,0.01,128.0441526092589
6,196608,367,534,301.0,-661.8356,0.998291015625,-9.31420319378376,366.53766,50,0.2231442109481577,2.6015384197235107,0.2,-1.1920928955078125e-07,94.44558715820312,0.01,178.98969528973103
7,229376,364,629,161.51,-1708.2032,0.99630126953125,-9.882170454785228,185.06564,60,0.22115106436613133,2.9799718856811523,0.2,0.0,130.9897003173828,0.01,228.5454126343131
8,262144,357,733,157.62,-1689.4192,0.973095703125,-10.165005573630333,79.07005,70,0.2680067535913622,3.2978978157043457,0.2,0.0,20399.080078125,0.01,38088.34573249817
9,294912,355,828,139.85,-1792.0747,0.984588623046875,-10.485429491475225,425.8376,80,0.2695528676367758,3.785207748413086,0.2,5.960464477539063e-08,10803.037109375,0.01,32259.365507125854
10,327680,354,924,301.0,-679.87616,0.9860595703125,-11.605959060788155,348.20258,90,0.2726181607613398,5.252251625061035,0.2,-1.1920928955078125e-07,13325.80859375,0.01,26329.668990707396
11,360448,353,1019,301.0,-507.1353,0.9881439208984375,-12.42896323055029,155.06659,100,0.20298578413894575,6.701385021209717,0.2,0.0,2891.3369140625,0.01,5753.308806657791
12,393216,351,1118,301.0,-496.52313,0.988360595703125,-13.111099759489298,82.484085,110,0.20799074113274402,7.459079265594482,0.2,0.0,1059.879150390625,0.01,3375.066003727913
13,425984,350,1214,178.94,-2078.8071,0.986004638671875,-14.067036879062652,150.30165,120,0.20858589576673695,9.236400604248047,0.2,0.0,735.17626953125,0.01,2638.741859304905
14,458752,348,1317,301.0,-557.5032,0.9714019775390625,-13.406592548266053,82.64021,130,0.26065748944074585,7.562618255615234,0.2,5.960464477539063e-08,18347.955078125,0.01,23875.505881118774
15,491520,347,1415,148.88,-1831.7008,0.9817352294921875,-13.43043511211872,165.5274,140,0.20713338986988675,7.588973045349121,0.2,0.0,2751.27685546875,0.01,3856.698355484009
16,524288,346,1511,301.0,-858.33124,0.9662506103515625,-13.534698773920535,30.091946,150,0.2672245179326637,7.546908855438232,0.2,0.0,19756.8046875,0.01,25049.41063308716
17,557056,346,1608,301.0,-514.84564,0.98262939453125,-13.596050936728716,59.79068,160,0.20298391030974017,8.880321502685547,0.2,0.0,2103.84423828125,0.01,5151.260644578933
18,589824,346,1703,301.0,-496.4823,0.983587646484375,-13.972939668223262,60.86277,170,0.20794838862830148,10.948171615600586,0.2,0.0,2976.587646484375,0.01,3283.2255777001383
19,622592,345,1803,301.0,-497.15698,0.9855255126953125,-14.476381496340036,83.03249,180,0.2140771855390085,13.04841136932373,0.2,0.0,1182.390869140625,0.01,2700.191868853569
20,655360,345,1898,301.0,-496.1709,0.9820556640625,-15.909341329708695,22.385132,190,0.2174835907513625,16.770505905151367,0.2,0.0,481.3193054199219,0.01,2150.018453788757
21,688128,345,1993,301.0,-496.55035,0.9765380859375,-16.884040969237684,15.923097,200,0.2175187024832212,18.042682647705078,0.2,0.0,768.9243774414062,0.01,1674.1402208089828
22,720896,345,2087,301.0,-496.5126,0.4056060791015625,-17.142191748321057,0.03086015,210,0.037026896833685895,17.99056053161621,0.2,0.0,548.6966552734375,0.01,1336.7316326200962
23,753664,345,2182,301.0,-497.11923,0.3463958740234375,-17.103015702217817,0.03266437,220,0.02492679124279675,17.588685989379883,0.2,0.0,441.49957275390625,0.01,971.2566959917546
