time/total_timesteps,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/entropy_loss,train/loss,train/value_loss,train/learning_rate,train/std,train/n_updates,train/approx_kl,train/explained_variance,train/clip_fraction,train/clip_range,eval/mean_reward,eval/mean_ep_length
688128,21,296.09,147,4677,1074.0281,-0.00024677309056642116,-2.4518418464343994,3430.894287109375,24861.20167684555,1e-05,0.4483180344104767,2660,0.00268685,0.6549830734729767,0.0063262939453125,0.2,,
720896,22,301.0,147,4902,1285.2012,-0.00047177608162201067,-2.451471475325525,8894.13671875,25852.34803419113,1e-05,0.44828319549560547,2670,0.0030669365,0.6621222794055939,0.0078521728515625,0.2,,
753664,23,296.72,146,5132,1266.3579,-0.0008153407957252057,-2.451000717561692,13487.7431640625,25641.444431114196,1e-05,0.44822290539741516,2680,0.0037686517,0.6701799631118774,0.01337890625,0.2,,
786432,24,295.51,146,5361,974.18713,-0.00030049714932829376,-2.450706997467205,13259.646484375,27761.948082542418,1e-05,0.44822174310684204,2690,0.0024933533,0.6690138280391693,0.0062255859375,0.2,,
819200,25,294.86,146,5597,1274.7427,-0.0008353479554671139,-2.450455379160121,10982.1318359375,24678.852168560028,1e-05,0.44815585017204285,2700,0.002742987,0.6845130324363708,0.009381103515625,0.2,,
851968,26,293.5,146,5833,975.2971,0.0005550654603894145,-2.449963569501415,11110.3271484375,24921.756564807893,1e-05,0.44811299443244934,2710,0.0038232673,0.7153341472148895,0.01502685546875,0.2,,
884736,27,301.0,145,6067,967.479,-0.00035873739443559316,-2.449604273866862,18504.029296875,23853.31102733612,1e-05,0.44806548953056335,2720,0.0032944856,0.7057461738586426,0.0111663818359375,0.2,,
917504,28,297.73,145,6298,1003.69366,-0.0005065111759449791,-2.4491437077056615,10102.0986328125,21981.716191196443,1e-05,0.4480039179325104,2730,0.0036729714,0.7140120267868042,0.0125823974609375,0.2,,
950272,29,288.58,145,6528,969.6362,-0.000448894251803722,-2.4485436735674737,10337.98828125,26726.77233734131,1e-05,0.4479292333126068,2740,0.0031354595,0.6808724403381348,0.00947265625,0.2,,
983040,30,293.98,145,6753,1142.1815,-0.00015718510941269414,-2.447845783177763,9505.666015625,26893.3476749897,1e-05,0.44785064458847046,2750,0.0036333725,0.6588508784770966,0.012774658203125,0.2,,
