time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/explained_variance,train/loss,train/clip_range,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/std,train/value_loss,eval/mean_ep_length,eval/mean_reward
1664,884736,27,301.0,531,828.91,260,0.001,0.04057466983795166,1918.782958984375,0.2,-5.2845954116433855,0.2029815673828125,0.0012685273395618424,0.017944647,0.9080573320388794,3941.5781685352326,,
1724,917504,28,301.0,532,800.5826,270,0.001,0.0337943434715271,361.2040100097656,0.2,-5.279061309993267,0.217376708984375,-0.00021843681606696918,0.019960841,0.9086809754371643,4188.682707500458,,
1786,950272,29,299.14,531,1098.0917,280,0.001,0.13645994663238525,2871.143798828125,0.2,-5.254920607805252,0.227252197265625,-0.00036795129635720515,0.020775251,0.9010454416275024,3871.8218244791033,,
1847,983040,30,301.0,532,1175.3595,290,0.001,0.055792033672332764,900.4102172851562,0.2,-5.226164177060127,0.232733154296875,0.0014820275964666507,0.021620579,0.8934913277626038,5873.466525936126,,
1907,1015808,31,301.0,532,1193.8239,300,0.001,0.02531445026397705,830.5401000976562,0.2,-5.186250941827893,0.245556640625,0.0024439279059151886,0.021835014,0.8844000697135925,6617.27705283165,,
1967,1048576,32,298.67,533,1183.8735,310,0.001,-0.0005303621292114258,796.6304931640625,0.2,-5.149012003466487,0.2291748046875,0.0026158140104598714,0.019749206,0.8761191368103027,6710.447719860077,,
2027,1081344,33,300.44,533,1205.0356,320,0.001,0.012735962867736816,961.1588134765625,0.2,-5.112990983948111,0.219091796875,0.0013555458546761657,0.019753832,0.8696479797363281,6994.808564281464,,
2086,1114112,34,301.0,533,1186.1433,330,0.001,0.04566514492034912,815.810546875,0.2,-5.0929426368325945,0.2417266845703125,0.002975756610976532,0.022016875,0.8645773530006409,7663.6479857444765,,
2146,1146880,35,299.57,534,1264.6964,340,0.001,0.08555299043655396,711.1090698242188,0.2,-5.081284606456757,0.223382568359375,0.0020645076328946743,0.019360663,0.8627290725708008,6751.148062801361,,
2205,1179648,36,301.0,534,1871.6953,350,0.001,0.11849629878997803,958.2357788085938,0.2,-5.051399959251285,0.2289520263671875,0.004795804127206793,0.020910587,0.8548702001571655,7828.191494083405,,
2266,1212416,37,299.61,535,1542.3264,360,0.001,0.14681410789489746,2671.36376953125,0.2,-5.024772897735238,0.2093353271484375,0.002073197826939577,0.018658374,0.8503514528274536,11761.743643379212,,
2326,1245184,38,299.46,535,1706.9106,370,0.001,0.16053146123886108,1743.4527587890625,0.2,-5.008733986318111,0.208831787109375,0.0034359120591034298,0.017987955,0.8479722142219543,9367.51022901535,,
2387,1277952,39,301.0,535,1525.4094,380,0.001,0.18947339057922363,990.6871948242188,0.2,-4.998085082694888,0.2030517578125,0.003592354005013476,0.017670777,0.844858705997467,11267.058071994781,,
2448,1310720,40,299.6,535,1867.1179,390,0.001,0.2571374177932739,3545.87939453125,0.2,-4.974633272364736,0.2011810302734375,0.002649076383022475,0.018672701,0.8389297723770142,9172.421301174163,,
2509,1343488,41,297.3,535,1444.7186,400,0.001,0.15623122453689575,1580.0670166015625,0.2,-4.949203004315495,0.2066741943359375,0.002178243451635353,0.01800139,0.8339333534240723,12567.758882522583,,
2569,1376256,42,301.0,535,1961.8043,410,0.001,0.16773277521133423,2964.34033203125,0.2,-4.924195828288793,0.2124053955078125,0.002253382847629837,0.01921279,0.8300029039382935,8938.30025587082,,
2628,1409024,43,301.0,535,1899.7711,420,0.001,0.25643253326416016,2305.9404296875,0.2,-4.90579552911222,0.2120361328125,0.004812783977104118,0.01879446,0.8262784481048584,11060.607382202148,,
2689,1441792,44,301.0,536,1943.2532,430,0.001,0.2075793743133545,3477.97802734375,0.2,-4.888835159316659,0.188897705078125,0.003549860750354128,0.01665502,0.8224043846130371,11435.558004570008,,
2748,1474560,45,301.0,536,2016.7745,440,0.001,0.24714523553848267,2846.73046875,0.2,-4.872178803011775,0.2125579833984375,0.003451356499135727,0.018619504,0.8199597597122192,11215.75004415512,,
2808,1507328,46,301.0,536,2305.63,450,0.001,0.281843900680542,4954.9248046875,0.2,-4.857919896394014,0.1873992919921875,0.003259705311211292,0.016705865,0.8163117170333862,11749.601624298095,,
2868,1540096,47,301.0,536,2812.7764,460,0.001,0.3095671534538269,1578.0889892578125,0.2,-4.836970632895827,0.20721435546875,0.0035144012919772647,0.018741254,0.8112323880195618,13149.683060264588,,
2928,1572864,48,298.76,537,2533.7354,470,0.001,0.35773879289627075,2299.622314453125,0.2,-4.822098910063505,0.183355712890625,0.0036088481218030212,0.01594738,0.8099190592765808,16473.15733680725,,
,1600000,,,,,480,0.001,0.3359587788581848,7100.4130859375,0.2,-4.803461806848645,0.20048828125,0.003409961357647262,0.017532079,0.8041418790817261,16141.425734710694,301.0,4385.40380859375
3044,1605632,49,299.72,527,2870.6157,,,,,,,,,,,,,
3110,1638400,50,301.0,526,2770.4087,490,0.001,0.32954156398773193,4418.16796875,0.2,-4.775533973425627,0.1955169677734375,0.004260071371572849,0.017415188,0.7984442710876465,19144.184266662596,,
3172,1671168,51,298.65,526,2954.1685,500,0.001,0.3728560209274292,3822.361083984375,0.2,-4.754935963451862,0.1899810791015625,0.003196017601476342,0.016804473,0.795345664024353,17586.5498380661,,
3233,1703936,52,301.0,526,3115.1206,510,0.001,0.3913772702217102,3771.551513671875,0.2,-4.73853824660182,0.1886474609375,0.003124922644201433,0.016830537,0.791771650314331,18525.097584152223,,
3295,1736704,53,301.0,527,3438.9272,520,0.001,0.4199262857437134,2988.30322265625,0.2,-4.715911724045872,0.2001495361328125,0.0036735210902406833,0.018193454,0.786266565322876,18374.749115562438,,
3356,1769472,54,299.95,527,3229.919,530,0.001,0.42030197381973267,4615.7587890625,0.2,-4.696645964682102,0.2111114501953125,0.004505236902332399,0.018331997,0.7839716672897339,20908.013455963133,,
3417,1802240,55,300.23,527,3251.6816,540,0.001,0.434054434299469,5021.92138671875,0.2,-4.683936083316803,0.223834228515625,0.00646288398620527,0.019490182,0.7811387777328491,19050.926417160033,,
3477,1835008,56,298.7,527,3814.0254,550,0.001,0.4152662754058838,5290.31494140625,0.2,-4.670905666798353,0.194989013671875,0.005249910780366918,0.017454054,0.7788431644439697,21777.888354301453,,
3538,1867776,57,301.0,527,3996.124,560,0.001,0.3930739760398865,2833.402099609375,0.2,-4.653967683762312,0.2096038818359375,0.0058380425092764195,0.019316897,0.7740079760551453,25820.029808807372,,
3599,1900544,58,298.92,527,3871.4082,570,0.001,0.40795350074768066,5101.27294921875,0.2,-4.630359795317053,0.21617431640625,0.006285507660140866,0.019138448,0.7703208923339844,25956.60717430115,,
3661,1933312,59,301.0,528,4297.084,580,0.001,0.3758555054664612,3852.135498046875,0.2,-4.614819265902042,0.2313140869140625,0.006020799424732104,0.020840287,0.7676331400871277,27323.511153030395,,
3724,1966080,60,301.0,527,4179.497,590,0.001,0.3315109610557556,5903.5537109375,0.2,-4.595308854058385,0.2154052734375,0.0056670631031011,0.018967958,0.7629116773605347,29052.953363037108,,
3785,1998848,61,299.64,528,4105.262,600,0.001,0.42610621452331543,3479.887451171875,0.2,-4.571056348085404,0.2109619140625,0.004832219449963304,0.018904373,0.7586150169372559,25229.04493484497,,
3846,2031616,62,301.0,528,4091.1707,610,0.001,0.3859933614730835,4061.39013671875,0.2,-4.5542175874114035,0.2033477783203125,0.005263729081707425,0.018183995,0.7565162181854248,28531.193282699584,,
