time/time_elapsed,time/iterations,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/std,train/n_updates,train/clip_range,train/clip_fraction,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/entropy_loss,train/loss,eval/mean_ep_length,eval/mean_reward
2141,13,425984,198,595.69,1096.5962,0.6346845626831055,1350,0.2,0.335516357421875,0.001,0.03577213,0.010200744204848889,3965.819756317139,0.39425694942474365,-3.8398671288043262,592.62353515625,,
2305,14,458752,198,587.68,1342.1311,0.6337876915931702,1360,0.2,0.3257080078125,0.001,0.033321053,0.008223374192493794,5486.7338031768795,0.3557325005531311,-3.8357636749744417,669.807861328125,,
2469,15,491520,199,591.24,1183.0858,0.6314099431037903,1370,0.2,0.313812255859375,0.001,0.032113086,0.008054519636516488,7620.681412696838,0.2696051597595215,-3.827004948630929,2969.489013671875,,
2633,16,524288,199,583.18,1131.1417,0.6292087435722351,1380,0.2,0.284393310546875,0.001,0.027807187,0.007299210118799237,5635.756993865967,0.39831721782684326,-3.8133279755711555,1031.441162109375,,
2798,17,557056,199,580.94,1194.612,0.6276388168334961,1390,0.2,0.2730560302734375,0.001,0.026245648,0.0052532144907672775,5998.624011421203,0.404937207698822,-3.799086727946997,924.0704345703125,,
2962,18,589824,199,575.99,1017.07135,0.6254838109016418,1400,0.2,0.231292724609375,0.001,0.021379448,0.004683547152126266,4977.2237163543705,0.47827959060668945,-3.788404691964388,742.135498046875,,
3126,19,622592,199,572.31,1108.8168,0.6218258142471313,1410,0.2,0.2490509033203125,0.001,0.022301313,0.003948585826947237,4964.687847137451,0.39752447605133057,-3.7697188958525656,834.057861328125,,
3289,20,655360,199,587.85,1188.1023,0.6171263456344604,1420,0.2,0.2662994384765625,0.001,0.024677,0.005900726216532348,5173.655966377259,0.3877473473548889,-3.7436643254011868,1332.4111328125,,
3453,21,688128,199,599.3,1396.4045,0.6118419766426086,1430,0.2,0.2536163330078125,0.001,0.023733333,0.0027972780409982077,4413.186514186859,0.4604030251502991,-3.7091513071209192,675.1715087890625,,
3617,22,720896,199,595.56,1514.1586,0.6086726188659668,1440,0.2,0.238531494140625,0.001,0.02128581,0.0029084442925523036,5097.780601501465,0.5039665997028351,-3.6820171128958465,714.4478759765625,,
3780,23,753664,199,583.63,1185.6372,0.6048825979232788,1450,0.2,0.23079833984375,0.001,0.022064475,0.002593354192049446,4633.580307388305,0.547760933637619,-3.661510269716382,683.2074584960938,,
3944,24,786432,199,583.88,1286.7914,0.6073824167251587,1460,0.2,0.2370452880859375,0.001,0.022106044,0.002131102399835072,3839.374183654785,0.5376491248607635,-3.6568994011729954,511.4400329589844,,
4111,25,819200,199,590.51,1490.884,0.6058454513549805,1470,0.2,0.2469329833984375,0.001,0.023004733,0.0028466535091865807,4767.143346500397,0.533382385969162,-3.6584076054394243,1056.5833740234375,,
4277,26,851968,199,584.52,1329.773,0.604651689529419,1480,0.2,0.2204925537109375,0.001,0.020698078,0.0017759576550815837,4823.673083972931,0.5309973061084747,-3.6501778665930034,866.9649658203125,,
4441,27,884736,199,566.68,1394.8225,0.6000800132751465,1490,0.2,0.204254150390625,0.001,0.018914986,0.0013915063278545857,4018.3333961486815,0.5797753632068634,-3.631122625619173,593.1595458984375,,
4605,28,917504,199,572.44,1567.7605,0.5951919555664062,1500,0.2,0.229180908203125,0.001,0.02083581,0.003001803107690648,5521.612704467773,0.5087374150753021,-3.599188934266567,612.2031860351562,,
4769,29,950272,199,579.72,1451.8855,0.5927621126174927,1510,0.2,0.2146942138671875,0.001,0.019988956,0.0009135827100180905,4903.902363777161,0.5811494886875153,-3.5758235890418293,617.7322387695312,,
4935,30,983040,199,581.76,1520.3036,0.5914040803909302,1520,0.2,0.248809814453125,0.001,0.022507433,0.002450907305319561,4089.9169311523438,0.5985806286334991,-3.562560994550586,550.3936157226562,,
5101,31,1015808,199,581.32,1771.2972,0.5871401429176331,1530,0.2,0.202886962890625,0.001,0.019597743,0.0008735686147701927,4350.7460064888,0.6056614816188812,-3.5412044476717712,763.2622680664062,,
