time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/learning_rate,train/value_loss,train/clip_fraction,train/loss,train/explained_variance,train/policy_gradient_loss,train/std,train/n_updates,train/entropy_loss,train/approx_kl,train/clip_range
1,32768,57,301.0,567,-227.73517,,,,,,,,,,,
2,65536,121,301.0,538,-148.7987,0.0001,98.91183218955993,0.116949462890625,48.897621154785156,0.0008014440536499023,-0.0127400401779596,0.9961690306663513,10,-5.665682309120894,0.007970925,0.2
3,98304,186,301.0,528,-12.1953945,0.0001,104.42547761201858,0.124041748046875,42.98703384399414,0.027372658252716064,-0.015065839772069012,0.9938623905181885,20,-5.656142345815897,0.009050094,0.2
4,131072,250,301.0,523,172.74565,0.0001,104.26020659208298,0.124078369140625,48.26131820678711,0.21023273468017578,-0.01617573267849366,0.9931817650794983,30,-5.649958063662052,0.010302942,0.2
5,163840,314,301.0,520,386.32324,0.0001,2006.4955705165862,0.0293060302734375,159.56597900390625,0.06806367635726929,-0.0035858756411471402,0.9930693507194519,40,-5.648267377912998,0.0076004104,0.2
6,196608,378,301.0,519,391.56415,0.0001,5719.163210773468,0.04715576171875,3476.262939453125,0.038689613342285156,-0.003195319191854651,0.9926600456237793,50,-5.647141633182764,0.0074752006,0.2
7,229376,442,301.0,517,614.863,0.0001,6853.043412780762,0.05140380859375,3434.15380859375,0.014680027961730957,-0.0025695320962768166,0.9922630190849304,60,-5.645613880455494,0.005809807,0.2
8,262144,507,301.0,516,410.1597,0.0001,14777.965344619752,0.030133056640625,7833.24267578125,0.00400155782699585,-0.0015322947971071698,0.9907213449478149,70,-5.642241851240397,0.0050520645,0.2
9,294912,571,301.0,515,410.59143,0.0001,8072.426930999756,0.1001220703125,2571.798828125,5.960464477539063e-08,-0.0003803790477832081,0.9883397817611694,80,-5.634953124821186,0.012256094,0.2
10,327680,636,301.0,515,377.35458,0.0001,7496.775415802002,0.0623260498046875,1777.099365234375,-1.1920928955078125e-07,-0.0003655992029962363,0.9836208820343018,90,-5.6234504647552965,0.005504553,0.2
