rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,train/clip_fraction,train/clip_range,train/value_loss,train/entropy_loss,train/approx_kl,train/std,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/loss,train/explained_variance
-220.05975,32768,301.0,57,568,1,,,,,,,,,,,
-123.39611,65536,301.0,142,459,2,0.1316436767578125,0.2,82.1599587738514,-5.641942731849849,0.009048027,0.9899729490280151,10,-0.01164182811480714,0.001,32.53996658325195,-0.0003262758255004883
8.993728,98304,301.0,229,428,3,0.1569366455078125,0.2,106.12054079025984,-5.611108938232064,0.010555049,0.9797247648239136,20,-0.018582702654111927,0.001,46.13344955444336,0.3374776840209961
178.86922,131072,301.0,318,411,4,0.181024169921875,0.2,396.2683092743158,-5.555208677053452,0.011902345,0.9642821550369263,30,-0.01828116917349689,0.001,122.18875885009766,0.25727540254592896
173.94441,163840,301.0,410,399,5,0.1480010986328125,0.2,2044.6207960218192,-5.497772928327322,0.011165552,0.956479549407959,40,-0.008711446528877786,0.001,3866.9580078125,0.1148480772972107
98.65231,196608,301.0,501,392,6,0.1083251953125,0.2,2990.4654955625533,-5.459197418019175,0.0075272406,0.9458815455436707,50,-0.0044359705391798345,0.001,630.0799560546875,0.04943585395812988
72.465485,229376,301.0,592,387,7,0.1000732421875,0.2,1339.9051095664502,-5.4124023770913485,0.008456216,0.9292556047439575,60,-0.004631680616080302,0.001,3228.89697265625,0.13494932651519775
82.03149,262144,301.0,684,382,8,0.101666259765625,0.2,1060.0415105223656,-5.348050325363874,0.009192658,0.9214072823524475,70,-0.0057292820428301635,0.001,104.34003448486328,0.15341126918792725
87.081154,294912,301.0,777,379,9,0.1125518798828125,0.2,1059.7474585235118,-5.3024895066395406,0.007942377,0.911155104637146,80,-0.0038342431383171062,0.001,150.74374389648438,0.21169620752334595
80.8252,327680,301.0,869,376,10,0.086151123046875,0.2,793.793261986971,-5.282384841889143,0.007284674,0.9082428216934204,90,-0.003483242568836431,0.001,96.31471252441406,0.351962149143219
115.784485,360448,301.0,960,375,11,0.098773193359375,0.2,487.88533423542975,-5.264825725182891,0.008515559,0.9029593467712402,100,-0.003622615720223621,0.001,107.9022445678711,0.5236171782016754
172.4103,393216,301.0,1052,373,12,0.1062652587890625,0.2,495.35091399550436,-5.231651549972594,0.007846484,0.8936758041381836,110,-0.00519416184106376,0.001,121.0676040649414,0.5533261895179749
148.53822,425984,301.0,1142,373,13,0.127685546875,0.2,1623.7588312327862,-5.179784524999559,0.009813495,0.880932629108429,120,-0.002235812567278117,0.001,178.9453582763672,0.29483819007873535
145.59467,458752,301.0,1232,372,14,0.1072235107421875,0.2,776.5947091817856,-5.153534527681768,0.00901419,0.8791972398757935,130,-0.002274932326781709,0.001,129.5400848388672,0.5161686539649963
153.22423,491520,301.0,1320,372,15,0.13392333984375,0.2,509.001850348711,-5.124509124830365,0.010458995,0.8678196668624878,140,-0.002911924196678228,0.001,189.80780029296875,0.6220888197422028
225.28096,524288,301.0,1410,371,16,0.117626953125,0.2,222.50655875205993,-5.0903202733024955,0.009604175,0.8651803731918335,150,-0.0010923374831691036,0.001,123.57152557373047,0.799397349357605
215.57254,557056,301.0,1500,371,17,0.1534027099609375,0.2,1416.5234637737274,-5.061552603915334,0.011989166,0.8545840978622437,160,-0.0010521143181904335,0.001,899.9595947265625,0.3665037751197815
183.35977,589824,301.0,1588,371,18,0.1281585693359375,0.2,1119.1109572350979,-5.03362675383687,0.010492066,0.8521077632904053,170,2.369723418951253e-05,0.001,146.01742553710938,0.4421904683113098
227.76097,622592,301.0,1677,371,19,0.1456298828125,0.2,566.3869741022587,-5.0152205497026445,0.010628305,0.8479386568069458,180,-0.0023969847638454665,0.001,132.8286590576172,0.6289030909538269
333.7063,655360,301.0,1765,371,20,0.158636474609375,0.2,582.435605853796,-4.99606824554503,0.011336226,0.8431872725486755,190,-0.0012254147137355175,0.001,136.7586212158203,0.6258554458618164
363.31723,688128,301.0,1854,371,21,0.1666748046875,0.2,2320.986027216911,-4.9651253037154675,0.014104135,0.8351224660873413,200,0.0010377019616271354,0.001,1609.145751953125,0.2751455307006836
351.69617,720896,301.0,1943,370,22,0.1731231689453125,0.2,1716.5766451239585,-4.929863686114549,0.015601873,0.8293874859809875,210,0.0025731422904300416,0.001,180.1480255126953,0.2336115837097168
402.0148,753664,301.0,2032,370,23,0.1770263671875,0.2,959.2202651977539,-4.878417806327343,0.0152119575,0.8185049891471863,220,0.005436789766736183,0.001,181.9198455810547,0.3141239881515503
448.735,786432,301.0,2121,370,24,0.1672515869140625,0.2,1560.435639488697,-4.833132131397724,0.01456299,0.8110326528549194,230,0.0030620746280419554,0.001,1632.3480224609375,0.31326740980148315
450.41116,819200,301.0,2210,370,25,0.1778839111328125,0.2,3328.3144486546516,-4.80474196691066,0.01434047,0.8028476238250732,240,0.004450362308398325,0.001,1711.2528076171875,0.18693608045578003
431.9678,851968,301.0,2299,370,26,0.21531982421875,0.2,3693.7270664691923,-4.759068057686091,0.017345384,0.7924350500106812,250,0.006134378175102029,0.001,2559.990234375,0.1744557023048401
