time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/policy_gradient_loss,train/explained_variance,train/loss,train/learning_rate,train/value_loss,train/clip_fraction,train/n_updates,train/std,train/entropy_loss,train/approx_kl,train/clip_range,eval/mean_ep_length,eval/mean_reward
950272,3623,29,468.02,3033.5603,262,-6.8217383523006e-05,0.7225763201713562,14902.9970703125,0.0001,38037.91543273926,0.0284759521484375,2750,0.3934602439403534,-1.9362515553832054,0.0051447703,0.2,,
983040,3750,30,456.63,2783.0728,262,0.0011864905117363379,0.6696804463863373,11072.9091796875,0.0001,42556.81065673828,0.0320465087890625,2760,0.3934463858604431,-1.935842252522707,0.00491061,0.2,,
1015808,3876,31,464.45,2973.2266,262,0.0011026951544408803,0.6283550262451172,9790.099609375,0.0001,44694.2155456543,0.033099365234375,2770,0.3934266269207001,-1.9356374137103558,0.004618394,0.2,,
1048576,4000,32,511.96,3420.235,262,-0.0004443325598003867,0.6055165529251099,17175.560546875,0.0001,43486.124612426756,0.0242340087890625,2780,0.39339715242385864,-1.9353571647778154,0.004300637,0.2,,
1081344,4124,33,473.32,3049.0789,262,0.0005346104202544666,0.6349728107452393,10693.34765625,0.0001,36977.49827270508,0.039141845703125,2790,0.3933482766151428,-1.9349987419322132,0.0056258207,0.2,,
1114112,4248,34,435.71,2275.506,262,5.014845628465991e-05,0.6507320404052734,19323.5390625,0.0001,43159.41489257813,0.0280548095703125,2800,0.3933056592941284,-1.9345480838790536,0.004457906,0.2,,
1146880,4371,35,459.63,2869.1943,262,0.0006426024159736698,0.6179350316524506,18118.689453125,0.0001,44848.33637084961,0.0239776611328125,2810,0.39328646659851074,-1.9341977655887603,0.004268903,0.2,,
1179648,4496,36,477.3,3061.0505,262,0.0002564043688835227,0.6454347670078278,13526.869140625,0.0001,40412.51103820801,0.02908935546875,2820,0.3932344913482666,-1.9338331496343018,0.0045182607,0.2,,
1212416,4620,37,476.63,2889.5203,262,-0.0006333011593596894,0.6608376502990723,11493.287109375,0.0001,38000.075158691405,0.0350250244140625,2830,0.39320510625839233,-1.9334340542554855,0.0047235857,0.2,,
1245184,4743,38,458.97,2630.492,262,-0.00044771613902412356,0.6634575724601746,10755.0908203125,0.0001,38269.152780151366,0.030364990234375,2840,0.39315271377563477,-1.9330255813896655,0.0045582675,0.2,,
1277952,4866,39,440.95,2569.46,262,-0.0008448245826912171,0.644318014383316,17657.2265625,0.0001,44969.596899414064,0.037249755859375,2850,0.3931252956390381,-1.9326382290571928,0.00524869,0.2,,
1310720,4989,40,438.64,2651.4595,262,-5.359452479751781e-05,0.6097772717475891,12392.8642578125,0.0001,46816.684271240236,0.029156494140625,2860,0.3931020498275757,-1.9323946867138146,0.0049559143,0.2,,
1343488,5111,41,464.34,2791.6375,262,-0.0010025848290752038,0.6922448575496674,14926.591796875,0.0001,38960.334973144534,0.02540283203125,2870,0.3930507302284241,-1.932058365084231,0.0048366957,0.2,,
1376256,5234,42,448.18,2561.4517,262,2.1940782062301878e-05,0.655046671628952,13498.1806640625,0.0001,41648.68792114258,0.0278106689453125,2880,0.3930662274360657,-1.9318139066919684,0.0046266606,0.2,,
1409024,5355,43,428.49,2378.7278,263,-0.00030669898187625223,0.6877594590187073,13173.3037109375,0.0001,37686.99766235352,0.032452392578125,2890,0.3930465281009674,-1.9318493662402034,0.005087097,0.2,,
1441792,5480,44,434.23,2341.83,263,-0.00041831736507447204,0.6795969307422638,13647.912109375,0.0001,38911.2560546875,0.025238037109375,2900,0.39304524660110474,-1.9317274898290635,0.0045334985,0.2,,
1474560,5604,45,444.41,2465.541,263,-0.0001175437968413462,0.6661256551742554,15145.54296875,0.0001,39757.16012573242,0.0410858154296875,2910,0.393042653799057,-1.9316949669271708,0.005763868,0.2,,
1507328,5727,46,453.85,2721.647,263,-0.0009652125987486216,0.6809130907058716,12100.9794921875,0.0001,36091.41520690918,0.02578125,2920,0.3930445611476898,-1.9316872507333755,0.004972145,0.2,,
1540096,5850,47,442.83,2629.6304,263,0.0003015912131559162,0.6926112174987793,9838.36328125,0.0001,35414.47239074707,0.0298126220703125,2930,0.39301565289497375,-1.9315582197159529,0.0047347066,0.2,,
1572864,5971,48,452.97,2570.3914,263,0.000569234950671671,0.6612271964550018,18965.640625,0.0001,40240.971173095706,0.0332061767578125,2940,0.3929663300514221,-1.9311688352376222,0.005683393,0.2,,
1600000,,,,,,4.015397416878841e-05,0.6663197875022888,19209.12890625,0.0001,36156.907382202146,0.035076904296875,2950,0.392921507358551,-1.9306435234844685,0.005006307,0.2,378.15,856.5332641601562
1605632,6267,49,441.57,2566.6816,256,,,,,,,,,,,,,
1638400,6388,50,455.66,2492.698,256,0.0008310057521157433,0.6247483789920807,11743.9072265625,0.0001,40094.203945922854,0.0223541259765625,2960,0.39292463660240173,-1.9304550509899854,0.004268998,0.2,,
1671168,6510,51,433.92,1924.5669,256,0.000566916837124154,0.615231454372406,12116.6298828125,0.0001,40313.46423645019,0.036993408203125,2970,0.3928925395011902,-1.9303629549220205,0.0047398917,0.2,,
1703936,6629,52,413.77,2070.0645,257,-0.00012228938230691712,0.6533092856407166,11034.431640625,0.0001,39390.081539916995,0.03538818359375,2980,0.39288386702537537,-1.9301308633759617,0.0054610744,0.2,,
1736704,6750,53,391.89,1795.1165,257,0.00011386379101168132,0.6201691627502441,12271.4873046875,0.0001,40414.996273803714,0.03017578125,2990,0.39289259910583496,-1.9301079738885165,0.0047049318,0.2,,
1769472,6870,54,420.03,2286.9321,257,3.730708940565819e-05,0.6383951306343079,12314.119140625,0.0001,36765.95386962891,0.0317352294921875,3000,0.3929133415222168,-1.9302105981856585,0.004638658,0.2,,
1802240,6991,55,434.46,2268.9888,257,0.0012733295247016941,0.6528629958629608,14529.7109375,0.0001,38851.35037841797,0.037713623046875,3010,0.3929153382778168,-1.9302986152470112,0.0049721384,0.2,,
1835008,7112,56,406.26,1831.0948,257,0.0004669310598728771,0.6115264892578125,11070.11328125,0.0001,39930.56318359375,0.0256927490234375,3020,0.3929123282432556,-1.930272543244064,0.0046139117,0.2,,
1867776,7235,57,421.69,2126.2656,258,0.0001451100901249447,0.6276608407497406,10895.845703125,0.0001,42370.49987792969,0.0272247314453125,3030,0.3929237723350525,-1.9303355032578111,0.004499995,0.2,,
1900544,7359,58,462.09,2496.5593,258,-0.00025442034730076556,0.6040928661823273,9435.544921875,0.0001,33750.993452453615,0.0292633056640625,3040,0.3929130434989929,-1.9303217664361,0.004319073,0.2,,
1933312,7481,59,414.46,2112.8047,258,-0.00028829228667746063,0.5828834474086761,17794.1953125,0.0001,41508.41935424805,0.02327880859375,3050,0.392914354801178,-1.9302504282444715,0.00445009,0.2,,
1966080,7602,60,447.57,2350.612,258,-2.553479225753108e-05,0.6331852972507477,15690.6982421875,0.0001,38664.752685546875,0.0254058837890625,3060,0.39286601543426514,-1.9300177598372101,0.004093713,0.2,,
1998848,7722,61,450.91,2380.5632,258,0.00042923554701701505,0.6546734869480133,12622.890625,0.0001,39125.40841674805,0.0296478271484375,3070,0.3928203284740448,-1.9295122869312764,0.004827899,0.2,,
2031616,7843,62,443.67,2317.7642,259,-3.070250786549877e-05,0.6424322426319122,14362.767578125,0.0001,40065.07728881836,0.0253326416015625,3080,0.3927944600582123,-1.9291505843400956,0.004487972,0.2,,
