rollout/ep_len_mean,time/fps,time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/loss,train/explained_variance,train/clip_range,train/learning_rate,train/std,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/n_updates,train/clip_fraction,eval/mean_reward,eval/mean_ep_length
301.0,268,1,8192,-235.0905,30,,,,,,,,,,,,,
301.0,269,2,16384,-182.44826,60,70.32935333251953,0.0011301636695861816,0.2,0.001,1.000763177871704,-5.674524694681168,-0.0017121046854299492,0.0103621,137.52950510978698,10,0.1347412109375,,
301.0,269,3,24576,-160.70172,91,62.59443664550781,7.748603820800781e-07,0.2,0.001,1.0103747844696045,-5.700541108846664,-0.00048396470374427735,0.0067935386,109.56045017242431,20,0.12249755859375,,
301.0,270,4,32768,-127.13327,121,74.23313903808594,1.1920928955078125e-07,0.2,0.001,1.0078880786895752,-5.70257805287838,0.0009482995665166527,0.013596681,139.32724452018738,30,0.14490966796875,,
301.0,271,5,40960,-72.275955,151,984.5621337890625,3.5762786865234375e-07,0.2,0.001,0.997545599937439,-5.68385773897171,-0.0007164734932302963,0.006411468,1273.3299339294433,40,0.11898193359375,,
301.0,271,6,49152,-49.719482,180,400.1959533691406,2.980232238769531e-07,0.2,0.001,0.9924407601356506,-5.658923259377479,0.0019475627574138342,0.010221165,2478.2179033279417,50,0.15640869140625,,
301.0,271,7,57344,4.3197126,211,2798.97509765625,1.627206802368164e-05,0.2,0.001,0.993106484413147,-5.646685728430748,-0.0005442252433567774,0.0025978887,2298.9648616790773,60,0.01273193359375,,
301.0,271,8,65536,67.623764,241,775.3765869140625,0.1375630497932434,0.2,0.001,0.9930883646011353,-5.647184792160988,-0.0009662272779678461,0.0011927722,3219.9297868728636,70,0.0013671875,,
301.0,272,9,73728,99.288155,270,3646.25,0.0985943078994751,0.2,0.001,0.9930748343467712,-5.647096928954125,-0.0007904844736913219,0.0007111538,6945.913317489624,80,0.00013427734375,,
301.0,271,10,81920,162.67734,301,1228.0830078125,0.29346567392349243,0.2,0.001,0.9932873249053955,-5.647638055682182,-0.0017489944701083004,0.0029242649,3283.5611589431765,90,0.0044921875,,
301.0,271,11,90112,172.21689,331,5142.916015625,0.23249518871307373,0.2,0.001,0.9934024810791016,-5.647987046837807,-0.0007095453154761344,0.000962455,8133.361645507813,100,0.00133056640625,,
301.0,272,12,98304,182.91872,361,2255.1015625,0.33356308937072754,0.2,0.001,0.9935480952262878,-5.648409143090248,-0.0006457733441493474,0.0054249307,5664.733628463745,110,0.0236083984375,,
301.0,272,13,106496,207.25922,390,2213.25634765625,0.3911202549934387,0.2,0.001,0.9933638572692871,-5.648630872368813,-0.0005961184921034146,0.0021084049,3942.3207153320313,120,0.0047607421875,,
301.0,272,14,114688,250.59195,420,2496.866943359375,0.3375781774520874,0.2,0.001,0.9930634498596191,-5.647545909881591,0.0008129076639306731,0.002923062,4743.019303894043,130,0.008349609375,,
301.0,272,15,122880,303.5475,450,1763.7342529296875,0.21130388975143433,0.2,0.001,0.9930170774459839,-5.646699133515358,0.0005820441612740979,0.0014562756,11062.238012695312,140,0.0089599609375,,
301.0,273,16,131072,307.82745,480,2198.27734375,0.24619168043136597,0.2,0.001,0.9930591583251953,-5.6467460811138155,-0.0005293113899824675,0.0021424058,7575.165167236328,150,0.01180419921875,,
301.0,273,17,139264,295.08966,509,881.4571533203125,0.35201382637023926,0.2,0.001,0.9929731488227844,-5.6467057228088375,9.987395951611688e-05,0.0026929774,4880.490107345581,160,0.0058349609375,,
301.0,273,18,147456,280.05444,539,3115.465087890625,0.32534003257751465,0.2,0.001,0.9929109215736389,-5.646376010775566,-0.000299767261458328,0.0011629395,4552.237051391601,170,0.00811767578125,,
301.0,273,19,155648,255.36943,569,2963.491455078125,0.31318336725234985,0.2,0.001,0.9929860830307007,-5.646371614933014,-0.0008311541019793367,0.00090988574,4894.372071838379,180,0.00343017578125,,
301.0,273,20,163840,293.51962,599,1237.068115234375,0.32965362071990967,0.2,0.001,0.9929372072219849,-5.6464754194021225,-0.001335414542700164,0.0022361162,4494.6844470977785,190,0.00615234375,,
301.0,273,21,172032,328.18628,629,14568.6650390625,0.2623652219772339,0.2,0.001,0.9930475950241089,-5.646541491150856,0.0001696215636911802,0.00431221,9349.796244812012,200,0.03302001953125,,
301.0,273,22,180224,327.3309,659,5095.8798828125,0.25166434049606323,0.2,0.001,0.9929548501968384,-5.64664124250412,0.000338263317826204,0.0017417928,7701.42947845459,210,0.01356201171875,,
301.0,273,23,188416,461.90384,688,353.13690185546875,0.3789101839065552,0.2,0.001,0.9927545785903931,-5.6461737006902695,-0.0021804987081850413,0.0016244045,4348.329949188233,220,0.00703125,,
301.0,273,24,196608,542.76495,718,6041.53564453125,0.22547101974487305,0.2,0.001,0.9926156997680664,-5.645352640748024,-0.0007103912554157432,0.0041187843,21473.268756103516,230,0.0628173828125,,
301.0,273,25,204800,580.4959,747,8228.2294921875,0.22904819250106812,0.2,0.001,0.9925456047058105,-5.644912004470825,0.0023397577911964617,0.0023987172,17909.615505981445,240,0.02733154296875,,
301.0,274,26,212992,649.0599,776,5229.73779296875,0.3427863121032715,0.2,0.001,0.992101788520813,-5.64404267668724,-0.0019362698425538839,0.0031960574,11554.670774841308,250,0.01796875,,
301.0,274,27,221184,577.0428,805,4479.01904296875,0.26390236616134644,0.2,0.001,0.9919546842575073,-5.642641630768776,-0.0005607353879895527,0.0025099074,12853.379223632812,260,0.02325439453125,,
301.0,274,28,229376,585.49994,834,5147.607421875,0.3696655035018921,0.2,0.001,0.9917957186698914,-5.6420962572097775,0.0001722506814985536,0.0021479009,9109.093086242676,270,0.01827392578125,,
301.0,275,29,237568,602.5983,862,9345.9462890625,0.2820601463317871,0.2,0.001,0.9918579459190369,-5.641958093643188,0.0009039593584020622,0.004679164,17047.39417114258,280,0.04957275390625,,
301.0,275,30,245760,615.82416,891,3250.79541015625,0.43230170011520386,0.2,0.001,0.9919484853744507,-5.642111045122147,0.0012807168590370567,0.0029368203,8832.938536071777,290,0.01971435546875,,
