time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/value_loss,train/approx_kl,train/loss,train/n_updates,train/std,train/explained_variance,train/clip_range,train/clip_fraction
217,1,-36.02118,8192,37,301.0,,,,,,,,,,,
207,2,-34.027096,16384,79,301.0,0.001,-0.0015734674841951346,-5.677825490385294,3162.5353209793566,0.0044690548,45.460819244384766,10,0.997519314289093,-6.079673767089844e-05,0.2,0.0692138671875
204,3,8.037338,24576,120,301.0,0.001,-0.0034454636963346273,-5.667693682014942,994.7676194369793,0.0049516954,103.55516815185547,20,0.995823860168457,0.15433824062347412,0.2,0.0428466796875
202,4,20.881699,32768,161,301.0,0.001,-0.002221164994261926,-5.660986652225256,9903.67667095661,0.0065839943,38.161903381347656,30,0.997896671295166,0.02207159996032715,0.2,0.0506103515625
