time/iterations,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_fraction,train/entropy_loss,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/std,train/clip_range,train/explained_variance,train/loss,train/learning_rate,train/value_loss
1,32768,570,57,301.0,-233.51233,,,,,,,,,,,
2,65536,421,155,158.43,-1706.0865,0.9900238037109375,-6.163590287975967,64.58261,10,0.31308802331768676,1.1344659328460693,0.2,-0.0002486705780029297,44.012290954589844,0.01,100.8925700739026
3,98304,386,254,159.12,-1719.2479,0.9581268310546875,-6.267183238454163,96.12453,20,0.26087236157409277,1.1616976261138916,0.2,5.960464477539063e-08,26700.166015625,0.01,46110.49006500244
4,131072,374,349,301.0,-546.5208,0.97325439453125,-6.823299170099199,527.0548,30,0.26553581966891215,1.3524413108825684,0.2,0.0,23546.98046875,0.01,35815.13813056946
5,163840,367,445,301.0,-496.6542,0.9963653564453125,-7.257801158353686,247.41599,40,0.1992733302686247,1.489158272743225,0.2,0.0,1126.5826416015625,0.01,2901.858809733391
6,196608,362,543,301.0,-496.77695,0.9962646484375,-7.505505795218051,204.41846,50,0.2211236351635307,1.6134247779846191,0.2,0.0,861.8966674804688,0.01,1782.4800684154034
7,229376,358,639,301.0,-496.95987,0.9987396240234375,-7.882743508368731,307.3395,60,0.2108078002333059,1.8202763795852661,0.2,0.0,620.0578002929688,0.01,1202.8069929778576
8,262144,356,735,301.0,-496.90094,0.9993194580078125,-8.490898657776416,133.40414,70,0.22270001613796922,2.116164207458496,0.2,0.0,612.1892700195312,0.01,1158.4649571239947
9,294912,355,830,301.0,-496.72372,0.9995452880859375,-9.12743811905384,229.39153,80,0.2225827398717229,2.61476469039917,0.2,0.0,572.4744873046875,0.01,976.1854874551296
10,327680,354,925,301.0,-496.60767,0.999237060546875,-10.22300864905119,370.9574,90,0.22273033118690364,3.1938297748565674,0.2,0.0,472.7082824707031,0.01,851.8217736065387
11,360448,352,1023,301.0,-497.01007,0.998529052734375,-11.08627917021513,96.68976,100,0.22191129477869254,4.031771183013916,0.2,0.0,407.0135498046875,0.01,749.3190381288529
12,393216,351,1118,301.0,-496.36987,0.998333740234375,-11.410465366393328,158.8703,110,0.2102528039853496,4.333571910858154,0.2,1.1920928955078125e-07,495.6031494140625,0.01,586.5200478047133
13,425984,351,1212,301.0,-496.31738,0.9969085693359375,-12.655687808990479,54.258984,120,0.22146347049929319,5.8578925132751465,0.2,0.0,538.1695556640625,0.01,619.201621928811
14,458752,350,1308,301.0,-496.98398,0.9975341796875,-12.803416091576219,107.59603,130,0.22202525568245618,6.145137310028076,0.2,0.0,155.76966857910156,0.01,548.7722287893296
15,491520,349,1405,198.07,-1911.6925,0.9959075927734375,-14.329462315514684,102.72324,140,0.2239186004280782,9.831717491149902,0.2,-1.1920928955078125e-07,156.34654235839844,0.01,522.5699372053147
16,524288,347,1507,301.0,-509.83826,0.9532470703125,-14.479443241283297,58.512955,150,0.2517458705510762,10.674251556396484,0.2,-1.1920928955078125e-07,16061.9775390625,0.01,34399.088481521605
17,557056,347,1600,301.0,-496.59613,0.9827850341796875,-14.743705120310187,37.254032,160,0.21180537448217365,11.500944137573242,0.2,0.0,318.3017272949219,0.01,1608.0140261292458
18,589824,348,1694,301.0,-485.43243,0.98983154296875,-15.888089296966792,30.155815,170,0.20856095258222923,15.89887523651123,0.2,0.0,636.93603515625,0.01,1172.3067267477513
