time/time_elapsed,time/iterations,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/std,train/n_updates,train/clip_range,train/clip_fraction,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/entropy_loss,train/loss,eval/mean_ep_length,eval/mean_reward
157,1,32768,208,544.8888888888889,1318.1395,,,,,,,,,,,,,
374,2,65536,175,581.49,1221.8933,0.6482985615730286,1240,0.2,0.64669189453125,0.001,0.13670492,0.08306446108404089,27550.58588991165,0.12159913778305054,-3.9031557992566377,3872.29541015625,,
590,3,98304,166,601.0,1057.5719,0.6558627486228943,1250,0.2,0.5312744140625,0.001,0.08626093,0.04216906284227662,10551.440912270546,0.4192776679992676,-3.94886664962396,1476.6883544921875,,
808,4,131072,162,595.78,1062.1582,0.662100613117218,1260,0.2,0.49808349609375,0.001,0.07578143,0.03100443509745219,7923.601617753506,0.5119136571884155,-3.991987993242219,2044.4501953125,,
1025,5,163840,159,591.71,1146.6868,0.6612017154693604,1270,0.2,0.480889892578125,0.001,0.07197918,0.026234890730870576,8151.119888281823,0.4236544966697693,-3.9966851101256906,1502.7606201171875,,
1242,6,196608,158,591.66,843.1792,0.6656168103218079,1280,0.2,0.457965087890625,0.001,0.06443094,0.021703279401617693,6649.884796690941,0.3398880362510681,-4.014502278668806,1516.139892578125,,
1460,7,229376,157,595.73,911.5442,0.6637341976165771,1290,0.2,0.43671875,0.001,0.062101163,0.016974646795097213,4741.8137372612955,0.47500747442245483,-4.012176790228113,725.328125,,
1679,8,262144,156,601.0,965.7522,0.6701862812042236,1300,0.2,0.475469970703125,0.001,0.06849192,0.020378069128264543,5295.587176847458,0.36374568939208984,-4.028290803357959,954.788818359375,,
1901,9,294912,155,601.0,887.56537,0.6783667206764221,1310,0.2,0.4287353515625,0.001,0.05711273,0.016368015500484036,4546.635088258981,0.3688034415245056,-4.072932975273579,807.8855590820312,,
2122,10,327680,154,601.0,618.7865,0.6839903593063354,1320,0.2,0.4112548828125,0.001,0.05115521,0.0142726308048168,4179.5272792041305,0.3075377345085144,-4.122511697001755,1029.4378662109375,,
2342,11,360448,153,601.0,330.44528,0.6847434043884277,1330,0.2,0.422564697265625,0.001,0.058215898,0.014608710988704842,2442.4018297046423,0.365237295627594,-4.125977998040616,703.3494262695312,,
2562,12,393216,153,601.0,358.75916,0.6841329336166382,1340,0.2,0.4457855224609375,0.001,0.06149798,0.016775370632194607,3353.047532683611,0.2499184012413025,-4.138024243153632,519.201416015625,,
2786,13,425984,152,590.39,376.89578,0.6828658580780029,1350,0.2,0.454449462890625,0.001,0.072786376,0.016856322770991028,3117.7675702512265,0.3368428349494934,-4.125772154796868,971.1189575195312,,
3010,14,458752,152,590.39,233.79083,0.6861789226531982,1360,0.2,0.47242431640625,0.001,0.06951286,0.018699161629433546,3164.487476861477,0.3711421489715576,-4.137263888306916,446.8269958496094,,
3233,15,491520,152,600.55,233.438,0.6842890381813049,1370,0.2,0.4967742919921875,0.001,0.078225605,0.022631471145541582,2686.974101442099,0.35271137952804565,-4.16395235862583,349.17706298828125,,
3457,16,524288,151,599.98,437.81586,0.6849086284637451,1380,0.2,0.4816925048828125,0.001,0.07481045,0.020946729487468473,3832.465202409029,0.2750885486602783,-4.151675492338836,735.2454223632812,,
3681,17,557056,151,600.05,503.9005,0.686099648475647,1390,0.2,0.43941650390625,0.001,0.058735818,0.01455142814561441,4063.87799949646,0.30910396575927734,-4.135262520145625,726.376708984375,,
3904,18,589824,151,600.12,318.0154,0.6874895095825195,1400,0.2,0.398095703125,0.001,0.045300774,0.012163959055169472,4444.557712441683,0.2046107053756714,-4.150988176558167,1397.8824462890625,,
4127,19,622592,150,594.14,60.529106,0.6905708312988281,1410,0.2,0.3826385498046875,0.001,0.04740364,0.013355255457099702,3561.496345490217,0.16020143032073975,-4.168666722439229,1746.266845703125,,
4349,20,655360,150,592.57,109.75694,0.6926015615463257,1420,0.2,0.3609039306640625,0.001,0.04321269,0.011341303604467612,4124.070013868809,0.21388638019561768,-4.178996009938419,983.5369873046875,,
4572,21,688128,150,600.04,296.2314,0.6888294816017151,1430,0.2,0.3453643798828125,0.001,0.040365208,0.01108394872082954,4840.553455036878,0.35863780975341797,-4.184951021615416,551.5504760742188,,
4795,22,720896,150,593.26,311.69104,0.6833058595657349,1440,0.2,0.361932373046875,0.001,0.040959533,0.010896678914377844,4903.609492415189,0.37217408418655396,-4.153842659946531,1539.6953125,,
5018,23,753664,150,591.55,226.07098,0.6828186511993408,1450,0.2,0.3483367919921875,0.001,0.04434676,0.008712980575955953,5192.036239695549,0.3863946199417114,-4.12754627102986,673.3031616210938,,
5241,24,786432,150,594.53,190.61949,0.6845107078552246,1460,0.2,0.3551116943359375,0.001,0.039313074,0.011623422921888959,5453.46327059269,0.435474693775177,-4.142936210613698,2707.816650390625,,
5465,25,819200,149,594.85,216.71982,0.6842080950737,1470,0.2,0.3506103515625,0.001,0.038643472,0.008527874238257026,6401.00452105999,0.42494094371795654,-4.1450427966192365,940.16552734375,,
5688,26,851968,149,597.37,455.23727,0.681722104549408,1480,0.2,0.376092529296875,0.001,0.0449836,0.009786507995045213,4886.228632992506,0.5427841246128082,-4.132655673101544,1214.0350341796875,,
5913,27,884736,149,597.92,732.0418,0.682471752166748,1490,0.2,0.353955078125,0.001,0.038082875,0.010019703200987351,7405.424426913261,0.45683664083480835,-4.132539880741388,544.9429931640625,,
6137,28,917504,149,597.32,608.63904,0.6830993890762329,1500,0.2,0.3416961669921875,0.001,0.037287064,0.006619750509321421,6098.065563964844,0.5033326148986816,-4.127019027899951,2376.565185546875,,
